老磊,辆格内靛,辆格疙,辆啊,措厚,矫啊,绊啊,历啊,郴犁函悼己,劳老扁霖啊,芭贰樊,芭贰措陛,固搬力距沥
"2000/12/26 (林埃)","20111057","KOSPI 200 妮可记 0101  57.5","6.10","0.60","6.50","6.70","5.70","57.00","6.10","80","49115000","415"
"2000/12/26 (林埃)","20111060","KOSPI 200 妮可记 0101  60.0","4.20","0.25","4.30","5.05","4.10","52.00","4.20","933","416755000","3235"
"2000/12/26 (林埃)","20111062","KOSPI 200 妮可记 0101  62.5","2.71","0.41","3.00","3.35","2.66","50.00","2.71","4405","1301896000","6008"
"2000/12/26 (林埃)","20111065","KOSPI 200 妮可记 0101  65.0","1.77","0.27","1.85","2.13","1.61","51.80","1.77","22720","4330330000","27556"
"2000/12/26 (林埃)","20111067","KOSPI 200 妮可记 0101  67.5","1.02","0.16","1.05","1.32","0.93","51.00","1.02","8348","951077000","19281"
"2000/12/26 (林埃)","20111070","KOSPI 200 妮可记 0101  70.0","0.58","0.05","0.66","0.83","0.52","51.30","0.58","225421","15169549000","101622"
"2000/12/26 (林埃)","20111072","KOSPI 200 妮可记 0101  72.5","0.31","0.04","0.34","0.43","0.29","51.30","0.31","19792","713157000","29073"
"2000/12/26 (林埃)","20111075","KOSPI 200 妮可记 0101  75.0","0.14","-0.01","0.20","0.21","0.14","50.00","0.14","153466","2678745000","142192"
"2000/12/26 (林埃)","30111057","KOSPI 200 遣可记 0101  57.5","0.60","-0.09","0.46","0.65","0.43","44.30","0.60","221732","12330739000","97926"
"2000/12/26 (林埃)","30111060","KOSPI 200 遣可记 0101  60.0","1.25","-0.30","1.11","1.43","1.05","43.80","1.25","47390","5760272000","31177"
"2000/12/26 (林埃)","30111062","KOSPI 200 遣可记 0101  62.5","2.40","-0.35","2.00","2.85","1.93","45.00","2.40","3100","679596000","11498"
"2000/12/26 (林埃)","30111065","KOSPI 200 遣可记 0101  65.0","4.25","-0.15","3.70","4.25","3.10","52.00","4.25","8101","2965675000","32248"
"2000/12/26 (林埃)","30111067","KOSPI 200 遣可记 0101  67.5","5.50","-0.65","5.40","5.70","4.75","39.00","5.50","372","191550000","6504"
"2000/12/26 (林埃)","30111070","KOSPI 200 遣可记 0101  70.0","7.00","-1.40","7.10","7.85","6.85","3.00","7.00","743","543890000","14194"
"2000/12/26 (林埃)","30111072","KOSPI 200 遣可记 0101  72.5","9.80","-0.65","9.05","10.45","9.05","3.00","9.80","6","5910000","543"
"2000/12/26 (林埃)","30111075","KOSPI 200 遣可记 0101  75.0","12.15","-0.35","10.05","12.85","10.05","3.00","12.15","13","15680000","1178"
"2000/12/22 (林埃)","20111057","KOSPI 200 妮可记 0101  57.5","5.50","-1.50","7.25","7.40","5.50","46.00","5.50","43","26170000","360"
"2000/12/22 (林埃)","20111060","KOSPI 200 妮可记 0101  60.0","3.95","-1.30","5.25","5.55","3.70","48.00","3.95","978","436695000","2995"
"2000/12/22 (林埃)","20111062","KOSPI 200 妮可记 0101  62.5","2.30","-1.20","3.90","4.00","2.30","42.50","2.30","2275","670920000","4307"
"2000/12/22 (林埃)","20111065","KOSPI 200 妮可记 0101  65.0","1.50","-0.97","2.50","2.54","1.46","45.00","1.50","20411","4158279000","25957"
"2000/12/22 (林埃)","20111067","KOSPI 200 妮可记 0101  67.5","0.86","-0.59","1.50","1.52","0.82","44.80","0.86","10416","1212162000","17386"
"2000/12/22 (林埃)","20111070","KOSPI 200 妮可记 0101  70.0","0.53","-0.35","0.93","0.93","0.48","46.60","0.53","223705","15923802000","87695"
"2000/12/22 (林埃)","20111072","KOSPI 200 妮可记 0101  72.5","0.27","-0.24","0.52","0.53","0.25","46.10","0.27","24561","905718000","27684"
"2000/12/22 (林埃)","20111075","KOSPI 200 妮可记 0101  75.0","0.15","-0.13","0.30","0.31","0.14","47.20","0.15","233272","5034635000","145376"
"2000/12/22 (林埃)","30111057","KOSPI 200 遣可记 0101  57.5","0.69","0.19","0.45","0.74","0.38","40.00","0.69","279203","14992648000","91770"
