일자,종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일기준가,거래량,거래대금,미결제약정
"2018/12/28 (주간)","201P1220","코스피200 C 201901 220.0","41.90","1.95","42.15","42.70","41.85","32.00","41.90","73","771025000","1991"
"2018/12/28 (주간)","201P1222","코스피200 C 201901 222.5",,"0.00","0.00","0.00","0.00","14.90","39.60","0","0","0"
"2018/12/28 (주간)","201P1225","코스피200 C 201901 225.0",,"0.00","0.00","0.00","0.00","14.90","37.10","0","0","4"
"2018/12/28 (주간)","201P1227","코스피200 C 201901 227.5",,"0.00","0.00","0.00","0.00","14.90","34.60","0","0","15"
"2018/12/28 (주간)","201P1230","코스피200 C 201901 230.0",,"0.00","0.00","0.00","0.00","14.90","32.10","0","0","0"
"2018/12/28 (주간)","201P1232","코스피200 C 201901 232.5",,"0.00","0.00","0.00","0.00","14.90","29.60","0","0","3"
"2018/12/28 (주간)","201P1235","코스피200 C 201901 235.0",,"0.00","0.00","0.00","0.00","14.90","27.10","0","0","0"
"2018/12/28 (주간)","201P1237","코스피200 C 201901 237.5",,"0.00","0.00","0.00","0.00","14.90","24.60","0","0","0"
"2018/12/28 (주간)","201P1240","코스피200 C 201901 240.0","22.00","1.10","21.80","22.00","21.75","16.00","22.00","4","21837500","108"
"2018/12/28 (주간)","201P1242","코스피200 C 201901 242.5",,"0.00","0.00","0.00","0.00","14.90","19.60","0","0","10"
"2018/12/28 (주간)","201P1245","코스피200 C 201901 245.0","17.80","1.05","17.40","17.80","17.40","16.00","17.80","2","8800000","33"
"2018/12/28 (주간)","201P1247","코스피200 C 201901 247.5",,"0.00","0.00","0.00","0.00","14.90","14.60","0","0","40"
"2018/12/28 (주간)","201P1250","코스피200 C 201901 250.0","12.45","1.10","12.80","13.20","12.45","19.00","12.45","37","118900000","201"
"2018/12/28 (주간)","201P1252","코스피200 C 201901 252.5","10.60","1.37","9.85","10.90","9.77","17.00","10.60","24","63167500","178"
"2018/12/28 (주간)","201P1255","코스피200 C 201901 255.0","7.88","0.60","7.28","8.86","7.28","15.00","7.88","559","1161575000","1061"
"2018/12/28 (주간)","201P1257","코스피200 C 201901 257.5","5.94","0.40","5.70","6.95","5.65","15.00","5.94","4253","6889102500","2337"
"2018/12/28 (주간)","201P1260","코스피200 C 201901 260.0","4.31","0.21","4.14","5.20","4.07","15.30","4.31","11736","14012427500","7915"
"2018/12/28 (주간)","201P1262","코스피200 C 201901 262.5","2.95","0.17","2.79","3.69","2.74","15.10","2.95","33480","27911165000","11596"
"2018/12/28 (주간)","201P1265","코스피200 C 201901 265.0","1.90","0.14","1.76","2.45","1.75","15.10","1.90","83768","45521320000","20305"
"2018/12/28 (주간)","201P1267","코스피200 C 201901 267.5","1.11","0.07","1.04","1.51","1.01","14.90","1.11","137169","45030850000","30700"
"2018/12/28 (주간)","201P1270","코스피200 C 201901 270.0","0.58","0.02","0.56","0.85","0.55","14.40","0.58","172526","31127012500","51411"
