date,market,category,sell_volume,buy_volume,net_buy_volume,sell_value_krw,buy_value_krw,net_buy_value_krw
2002-01-02,ALL,차익,1278342,3753316,2474974,25027015230,76056424480,51029409250
2002-01-02,ALL,비차익,4584090,6291670,1707580,159839243650,184975791750,25136548100
2002-01-02,ALL,전체,5862432,10044986,4182554,184866258880,261032216230,76165957350
2002-01-03,ALL,차익,1592244,5568460,3976216,33652473190,115559253900,81906780710
2002-01-03,ALL,비차익,3654130,4348770,694640,114887822800,116472931050,1585108250
2002-01-03,ALL,전체,5246374,9917230,4670856,148540295990,232032184950,83491888960
2002-01-04,ALL,차익,2309476,4744180,2434704,59311090720,105884592700,46573501980
2002-01-04,ALL,비차익,3349760,5121170,1771410,108917170350,134621220300,25704049950
2002-01-04,ALL,전체,5659236,9865350,4206114,168228261070,240505813000,72277551930
2002-01-07,ALL,차익,4147620,3764170,-383450,90667766330,83169763830,-7498002500
2002-01-07,ALL,비차익,7229740,3388030,-3841710,238169457100,97106210750,-141063246350
2002-01-07,ALL,전체,11377360,7152200,-4225160,328837223430,180275974580,-148561248850
2002-01-08,ALL,차익,2619545,970280,-1649265,56135733350,22036427750,-34099305600
2002-01-08,ALL,비차익,2950054,1448100,-1501954,86858056700,47835958200,-39022098500
2002-01-08,ALL,전체,5569599,2418380,-3151219,142993790050,69872385950,-73121404100
2002-01-09,ALL,차익,7006037,297995,-6708042,147619592060,7073057410,-140546534650
2002-01-09,ALL,비차익,6632883,2083230,-4549653,167880964400,63605558550,-104275405850
2002-01-09,ALL,전체,13638920,2381225,-11257695,315500556460,70678615960,-244821940500
2002-01-10,ALL,차익,8674180,1907069,-6767111,192164304400,36745895420,-155418408980
2002-01-10,ALL,비차익,13070210,3350440,-9719770,329971928100,89075091400,-240896836700
2002-01-10,ALL,전체,21744390,5257509,-16486881,522136232500,125820986820,-396315245680
2002-01-11,ALL,차익,2608771,1047119,-1561652,54602400520,22179649440,-32422751080
2002-01-11,ALL,비차익,3563121,3020629,-542492,98728733300,85275048700,-13453684600
2002-01-11,ALL,전체,6171892,4067748,-2104144,153331133820,107454698140,-45876435680
2002-01-14,ALL,차익,609308,719267,109959,13918237840,15935294070,2017056230
2002-01-14,ALL,비차익,2347680,2335260,-12420,76961392500,63934346750,-13027045750
2002-01-14,ALL,전체,2956988,3054527,97539,90879630340,79869640820,-11009989520
2002-01-15,ALL,차익,4705058,872090,-3832968,111410017230,18587744800,-92822272430
2002-01-15,ALL,비차익,5728356,1364726,-4363630,160037828050,44562515600,-115475312450
2002-01-15,ALL,전체,10433414,2236816,-8196598,271447845280,63150260400,-208297584880
2002-01-16,ALL,차익,1236654,1210584,-26070,30604043360,26828656480,-3775386880
2002-01-16,ALL,비차익,2275800,2191320,-84480,66139722400,67703932900,1564210500
2002-01-16,ALL,전체,3512454,3401904,-110550,96743765760,94532589380,-2211176380
2002-01-17,ALL,차익,512860,3937652,3424792,9348669800,85903651480,76554981680
2002-01-17,ALL,비차익,1099419,4528090,3428671,31582930750,114871123350,83288192600
2002-01-17,ALL,전체,1612279,8465742,6853463,40931600550,200774774830,159843174280
2002-01-18,ALL,차익,4082126,933080,-3149046,97352883850,18734351300,-78618532550
2002-01-18,ALL,비차익,2925790,2678166,-247624,69450434850,65081627650,-4368807200
2002-01-18,ALL,전체,7007916,3611246,-3396670,166803318700,83815978950,-82987339750
2002-01-21,ALL,차익,565270,2704217,2138947,13683009010,59366259760,45683250750
2002-01-21,ALL,비차익,1539640,4385270,2845630,37960417100,112536525050,74576107950
2002-01-21,ALL,전체,2104910,7089487,4984577,51643426110,171902784810,120259358700
2002-01-22,ALL,차익,2555315,189330,-2365985,59705395160,4302835400,-55402559760
2002-01-22,ALL,비차익,3691097,2260075,-1431022,89242715000,52303291400,-36939423600
