"업종코드별","BSI코드별","시점","기업경기조사(전망)",
"전 산 업","기업심리지수전망","2003.02 월","104.4",
"전 산 업","기업심리지수전망","2003.03 월","105.4",
"전 산 업","기업심리지수전망","2003.04 월","93.1",
"전 산 업","기업심리지수전망","2003.05 월","100",
"전 산 업","기업심리지수전망","2003.06 월","97.5",
"전 산 업","기업심리지수전망","2003.07 월","92",
"전 산 업","기업심리지수전망","2003.08 월","91.2",
"전 산 업","기업심리지수전망","2003.09 월","99.1",
"전 산 업","기업심리지수전망","2003.10 월","99.6",
"전 산 업","기업심리지수전망","2003.11 월","98.9",
"전 산 업","기업심리지수전망","2003.12 월","103.3",
"전 산 업","기업심리지수전망","2004.01 월","101.9",
"전 산 업","기업심리지수전망","2004.02 월","103.7",
"전 산 업","기업심리지수전망","2004.03 월","107.5",
"전 산 업","기업심리지수전망","2004.04 월","105.3",
"전 산 업","기업심리지수전망","2004.05 월","109.8",
"전 산 업","기업심리지수전망","2004.06 월","99.8",
"전 산 업","기업심리지수전망","2004.07 월","95.9",
"전 산 업","기업심리지수전망","2004.08 월","95.1",
"전 산 업","기업심리지수전망","2004.09 월","97.9",
"전 산 업","기업심리지수전망","2004.10 월","99.8",
"전 산 업","기업심리지수전망","2004.11 월","98.5",
"전 산 업","기업심리지수전망","2004.12 월","96.3",
"전 산 업","기업심리지수전망","2005.01 월","91.6",
"전 산 업","기업심리지수전망","2005.02 월","93.5",
"전 산 업","기업심리지수전망","2005.03 월","107.8",
"전 산 업","기업심리지수전망","2005.04 월","112.1",
"전 산 업","기업심리지수전망","2005.05 월","112.4",
"전 산 업","기업심리지수전망","2005.06 월","105.1",
"전 산 업","기업심리지수전망","2005.07 월","103.7",
"전 산 업","기업심리지수전망","2005.08 월","100.3",
"전 산 업","기업심리지수전망","2005.09 월","105.4",
"전 산 업","기업심리지수전망","2005.10 월","108.8",
"전 산 업","기업심리지수전망","2005.11 월","105.9",
"전 산 업","기업심리지수전망","2005.12 월","107.6",
"전 산 업","기업심리지수전망","2006.01 월","111",
"전 산 업","기업심리지수전망","2006.02 월","112.2",
"전 산 업","기업심리지수전망","2006.03 월","116.5",
"전 산 업","기업심리지수전망","2006.04 월","118.3",
"전 산 업","기업심리지수전망","2006.05 월","118.2",
"전 산 업","기업심리지수전망","2006.06 월","112.4",
"전 산 업","기업심리지수전망","2006.07 월","107.9",
"전 산 업","기업심리지수전망","2006.08 월","104.7",
"전 산 업","기업심리지수전망","2006.09 월","108.4",
"전 산 업","기업심리지수전망","2006.10 월","108.5",
"전 산 업","기업심리지수전망","2006.11 월","111.4",
"전 산 업","기업심리지수전망","2006.12 월","111.6",
"전 산 업","기업심리지수전망","2007.01 월","106.6",
"전 산 업","기업심리지수전망","2007.02 월","105.7",
"전 산 업","기업심리지수전망","2007.03 월","113.2",
"전 산 업","기업심리지수전망","2007.04 월","115.5",
"전 산 업","기업심리지수전망","2007.05 월","116.7",
"전 산 업","기업심리지수전망","2007.06 월","115",
"전 산 업","기업심리지수전망","2007.07 월","113.2",
"전 산 업","기업심리지수전망","2007.08 월","112.7",
"전 산 업","기업심리지수전망","2007.09 월","114.6",
"전 산 업","기업심리지수전망","2007.10 월","115.3",
"전 산 업","기업심리지수전망","2007.11 월","112.6",
"전 산 업","기업심리지수전망","2007.12 월","114.2",
"전 산 업","기업심리지수전망","2008.01 월","111.3",
"전 산 업","기업심리지수전망","2008.02 월","109.4",
"전 산 업","기업심리지수전망","2008.03 월","114",
"전 산 업","기업심리지수전망","2008.04 월","108.9",
"전 산 업","기업심리지수전망","2008.05 월","114",
"전 산 업","기업심리지수전망","2008.06 월","109.2",
"전 산 업","기업심리지수전망","2008.07 월","100.7",
"전 산 업","기업심리지수전망","2008.08 월","98.7",
"전 산 업","기업심리지수전망","2008.09 월","103.5",
"전 산 업","기업심리지수전망","2008.10 월","98.3",
"전 산 업","기업심리지수전망","2008.11 월","84.5",
"전 산 업","기업심리지수전망","2008.12 월","74.8",
"전 산 업","기업심리지수전망","2009.01 월","65.4",
"전 산 업","기업심리지수전망","2009.02 월","71.1",
"전 산 업","기업심리지수전망","2009.03 월","75.4",
"전 산 업","기업심리지수전망","2009.04 월","79.5",
"전 산 업","기업심리지수전망","2009.05 월","95.4",
"전 산 업","기업심리지수전망","2009.06 월","98.4",
"전 산 업","기업심리지수전망","2009.07 월","100.3",
"전 산 업","기업심리지수전망","2009.08 월","102.2",
"전 산 업","기업심리지수전망","2009.09 월","109.2",
"전 산 업","기업심리지수전망","2009.10 월","109.8",
