name,calm_target,stress_target,trend_window,normal_target,dd_stress,dd_calm,calm_vol_ratio,stress_vol_ratio,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,MDDPass,SharpePass
ct0.090_st0.055_tw6,0.09,0.055,6,0.08,-0.025,-0.01,1.1,1.35,129.0,0.07621718260100896,0.058082178544644626,1.2970549518655812,2.6844625381664624,-0.0751190096840385,1.0146191080205866,2.2025417895446204,0.6589147286821705,0.05285194218783428,True,True
ct0.090_st0.055_tw12,0.09,0.055,12,0.08,-0.025,-0.01,1.1,1.35,129.0,0.07746541642441263,0.05803583594294145,1.318137760412162,2.751391207086757,-0.07511900976807573,1.0312358571230005,2.2301593678331293,0.6589147286821705,0.05159002833009615,True,True
ct0.090_st0.065_tw6,0.09,0.065,6,0.08,-0.025,-0.01,1.1,1.35,129.0,0.0757347282122911,0.06174874498318405,1.2162902170336753,2.3719680725277903,-0.08479518200816927,0.8931489551493,2.191950714190518,0.6511627906976745,0.04270637062080888,True,True
ct0.090_st0.065_tw12,0.09,0.065,12,0.08,-0.025,-0.01,1.1,1.35,129.0,0.07624256828298215,0.06189605497583732,1.221210200010455,2.3885188424792827,-0.08479518233908634,0.8991379719911061,2.2031003516588155,0.6511627906976745,0.0434651681395471,True,True
ct0.090_st0.075_tw6,0.09,0.075,6,0.08,-0.025,-0.01,1.1,1.35,129.0,0.07499220228466763,0.06521888222122152,1.1443098612233442,2.1346225991567715,-0.08779719891550941,0.8541525607990693,2.175740648336244,0.6356589147286822,0.03511832302450253,True,True
ct0.090_st0.075_tw12,0.09,0.075,12,0.08,-0.025,-0.01,1.1,1.35,129.0,0.07553712621004283,0.06534708308803079,1.1499906550936871,2.15180177415302,-0.08779719869742153,0.8603591837863642,2.18762620794635,0.6356589147286822,0.035876977212240355,True,True
ct0.100_st0.055_tw6,0.1,0.055,6,0.08,-0.025,-0.01,1.1,1.35,129.0,0.07645685881088471,0.05833122108529535,1.295603069280123,2.680225382421188,-0.0751190013324814,1.0178098411143923,2.207820516286236,0.6589147286821705,0.05703882861357037,True,True
ct0.100_st0.055_tw12,0.1,0.055,12,0.08,-0.025,-0.01,1.1,1.35,129.0,0.07794290598825215,0.05841508679216659,1.3175811004459845,2.7570148480399217,-0.07511900121036486,1.0375924164643666,2.240806762657868,0.6589147286821705,0.056487591755305974,True,True
ct0.100_st0.065_tw6,0.1,0.065,6,0.08,-0.025,-0.01,1.1,1.35,129.0,0.07597418782544518,0.06198303582955147,1.2155360662759398,2.3707355259441685,-0.08479519022347959,0.895972844983466,2.197201661667469,0.6511627906976745,0.04689312571323055,True,True
ct0.100_st0.065_tw12,0.1,0.065,12,0.08,-0.025,-0.01,1.1,1.35,129.0,0.0767211170832478,0.06225506542218232,1.2217019501158375,2.395888788403344,-0.08479519028459803,0.90478147198855,2.21365394638166,0.6511627906976745,0.04836119265568306,True,True
ct0.100_st0.075_tw6,0.1,0.075,6,0.08,-0.025,-0.01,1.1,1.35,129.0,0.0752665474623464,0.06543293508177976,1.144700414440878,2.136494307823264,-0.08778282972048157,0.857417648781777,2.1817171630421566,0.6356589147286822,0.03928851159549744,True,True
ct0.100_st0.075_tw12,0.1,0.075,12,0.08,-0.025,-0.01,1.1,1.35,129.0,0.0760599699212201,0.06567457104281038,1.1520200031145376,2.1621478659318054,-0.0877828295457399,0.8664561203462744,2.199085492851634,0.6356589147286822,0.04075744657129942,True,True
ct0.110_st0.055_tw6,0.11,0.055,6,0.08,-0.025,-0.01,1.1,1.35,129.0,0.07625520590284918,0.058402214610179186,1.2908703520738434,2.6682073597393376,-0.07511900133604554,1.0151253949945476,2.203378465579313,0.6589147286821705,0.05894211557061736,True,True
ct0.110_st0.055_tw12,0.11,0.055,12,0.08,-0.025,-0.01,1.1,1.35,129.0,0.07723639875747867,0.058720902604488125,1.2997848015417568,2.7078041918267375,-0.07511900118874149,1.0281872433769066,2.2250688725050014,0.6589147286821705,0.06055750848294677,True,True
