,signal_date,factor_name,p_up,score,p_extra_trees,p_hist_gradient_boosting,p_logistic,train_rows,feature_count,realized_10d_return,realized_up
2005-01,2004-12-30,technical_ml_ensemble,0.6526165741830293,1.0,0.6928985653650279,0.7295910733399749,0.5353600838440851,1217.0,53.0,0.022299349240780808,1.0
2005-02,2004-12-30,technical_ml_ensemble,0.6526165741830293,1.0,0.6928985653650279,0.7295910733399749,0.5353600838440851,1217.0,53.0,0.022299349240780808,1.0
2005-03,2004-12-30,technical_ml_ensemble,0.6526165741830293,1.0,0.6928985653650279,0.7295910733399749,0.5353600838440851,1217.0,53.0,0.022299349240780808,1.0
2005-04,2005-03-31,technical_ml_ensemble,0.6729782919654069,1.0,0.8198446134861671,0.6861098471511811,0.5129804152588725,1260.0,53.0,-0.018993428434043946,0.0
2005-05,2005-03-31,technical_ml_ensemble,0.6729782919654069,1.0,0.8198446134861671,0.6861098471511811,0.5129804152588725,1260.0,53.0,-0.018993428434043946,0.0
2005-06,2005-03-31,technical_ml_ensemble,0.6729782919654069,1.0,0.8198446134861671,0.6861098471511811,0.5129804152588725,1260.0,53.0,-0.018993428434043946,0.0
2005-07,2005-06-30,technical_ml_ensemble,0.6406275351359868,0.9375169009065787,0.616755384057433,0.6498287658222072,0.6552984555283201,1260.0,53.0,0.058332689484663414,1.0
2005-08,2005-06-30,technical_ml_ensemble,0.6406275351359868,0.9375169009065787,0.616755384057433,0.6498287658222072,0.6552984555283201,1260.0,53.0,0.058332689484663414,1.0
2005-09,2005-06-30,technical_ml_ensemble,0.6406275351359868,0.9375169009065787,0.616755384057433,0.6498287658222072,0.6552984555283201,1260.0,53.0,0.058332689484663414,1.0
2005-10,2005-09-30,technical_ml_ensemble,0.5104017467027213,0.0693449780181421,0.4608928123432109,0.4286974539173219,0.6416149738476311,1260.0,53.0,-0.0425261821643923,0.0
2005-11,2005-09-30,technical_ml_ensemble,0.5104017467027213,0.0693449780181421,0.4608928123432109,0.4286974539173219,0.6416149738476311,1260.0,53.0,-0.0425261821643923,0.0
2005-12,2005-09-30,technical_ml_ensemble,0.5104017467027213,0.0693449780181421,0.4608928123432109,0.4286974539173219,0.6416149738476311,1260.0,53.0,-0.0425261821643923,0.0
2006-01,2005-12-29,technical_ml_ensemble,0.6508780501333106,1.0,0.5870942035074533,0.6899203717128125,0.675619575179666,1260.0,53.0,0.02412218903229424,1.0
2006-02,2005-12-29,technical_ml_ensemble,0.6508780501333106,1.0,0.5870942035074533,0.6899203717128125,0.675619575179666,1260.0,53.0,0.02412218903229424,1.0
2006-03,2005-12-29,technical_ml_ensemble,0.6508780501333106,1.0,0.5870942035074533,0.6899203717128125,0.675619575179666,1260.0,53.0,0.02412218903229424,1.0
2006-04,2006-03-31,technical_ml_ensemble,0.7573272251753714,1.0,0.725586287600607,0.7655780247866,0.7808173631389074,1260.0,53.0,0.05368594290902884,1.0
2006-05,2006-03-31,technical_ml_ensemble,0.7573272251753714,1.0,0.725586287600607,0.7655780247866,0.7808173631389074,1260.0,53.0,0.05368594290902884,1.0
2006-06,2006-03-31,technical_ml_ensemble,0.7573272251753714,1.0,0.725586287600607,0.7655780247866,0.7808173631389074,1260.0,53.0,0.05368594290902884,1.0
2006-07,2006-06-30,technical_ml_ensemble,0.5380675558510056,0.2537837056733709,0.42082360083616627,0.49703439317492215,0.6963446735419283,1260.0,53.0,-0.030576291430277625,0.0
