month,p_tail_raw,tail_event,risk_percentile,risk_severity,p_up,score
2007-04,,0.0,,,,
2007-05,,0.0,,,,
2007-06,,0.0,,,,
2007-07,,0.0,,,,
2007-08,,0.0,,,,
2007-09,,0.0,,,,
2007-10,,0.0,,,,
2007-11,,1.0,,,,
2007-12,,0.0,,,,
2008-01,,0.0,,,,
2008-02,,0.0,,,,
2008-03,,0.0,,,,
2008-04,,0.0,,,,
2008-05,,0.0,,,,
2008-06,,0.0,,,,
2008-07,,1.0,,,,
2008-08,,0.0,,,,
2008-09,,0.0,,,,
2008-10,,1.0,,,,
2008-11,,0.0,,,,
2008-12,,0.0,,,,
2009-01,,0.0,,,,
2009-02,,0.0,,,,
2009-03,,1.0,,,,
2009-04,,1.0,,,,
2009-05,,0.0,,,,
2009-06,,0.0,,,,
2009-07,,0.0,,,,
2009-08,,0.0,,,,
2009-09,,0.0,,,,
2009-10,,0.0,,,,
2009-11,,0.0,,,,
2009-12,,0.0,,,,
2010-01,,0.0,,,,
2010-02,,0.0,,,,
2010-03,,0.0,,,,
2010-04,,0.0,,,,
2010-05,,0.0,,,,
2010-06,0.15309602604583963,0.0,0.5,0.0,0.5,-0.0
2010-07,0.27298484170897175,0.0,0.5,0.0,0.5,-0.0
2010-08,0.29953206666633553,0.0,0.5,0.0,0.5,-0.0
2010-09,0.2740811568693995,0.0,0.5,0.0,0.5,-0.0
2010-10,0.33574325431470153,0.0,0.5,0.0,0.5,-0.0
2010-11,0.24028596946336847,0.0,0.5,0.0,0.5,-0.0
2010-12,0.20276677869137286,0.0,0.5,0.0,0.5,-0.0
2011-01,0.3786046158988054,0.0,0.5,0.0,0.5,-0.0
2011-02,0.28183046825373376,0.0,0.5,0.0,0.5,-0.0
2011-03,0.1620134595902692,0.0,0.5,0.0,0.5,-0.0
2011-04,0.34504247821425343,0.0,0.5,0.0,0.5,-0.0
2011-05,0.24852249461033366,1.0,0.5,0.0,0.5,-0.0
2011-06,0.11389760074404964,1.0,0.07692307692307693,0.0,0.5,-0.0
2011-07,0.13901151767289482,0.0,0.14285714285714285,0.0,0.5,-0.0
2011-08,0.7175251828187873,0.0,1.0,0.9999999999999998,0.35000000000000003,-0.9999999999999998
2011-09,0.929060828859235,0.0,1.0,0.9999999999999998,0.35000000000000003,-0.9999999999999998
2011-10,0.9629301540241277,0.0,1.0,0.9999999999999998,0.35000000000000003,-0.9999999999999998
2011-11,0.8531142654665416,0.0,0.8888888888888888,0.444444444444444,0.4333333333333334,-0.444444444444444
2011-12,0.8027504825019437,1.0,0.8421052631578947,0.21052631578947323,0.468421052631579,-0.21052631578947323
2012-01,0.6968118534670558,0.0,0.75,0.0,0.5,-0.0
2012-02,0.6163726473633723,0.0,0.7142857142857143,0.0,0.5,-0.0
2012-03,0.45747146679051565,0.0,0.6818181818181818,0.0,0.5,-0.0
2012-04,0.3420576966394112,0.0,0.5652173913043478,0.0,0.5,-0.0
2012-05,0.353059501577773,0.0,0.625,0.0,0.5,-0.0
2012-06,0.3092725488646545,0.0,0.48,0.0,0.5,-0.0
2012-07,0.31501504040895806,0.0,0.5,0.0,0.5,-0.0
2012-08,0.2921915877998819,0.0,0.4074074074074074,0.0,0.5,-0.0
2012-09,0.2413733315452798,0.0,0.25,0.0,0.5,-0.0
2012-10,0.19809848886985768,0.0,0.1724137931034483,0.0,0.5,-0.0
