name,sleeve,vol_cap,trend_window,top_k,brake_fraction,early_guard_start,early_guard_strength,dd_gate,bond_floor,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgSleeve,AvgBrake,AvgEarlyGuard,MDDPass,SharpePass
sl0.10_vc0.100_tw12_k2_bf0.25_egs0.015_eg0.35,0.1,0.1,12,2,0.25,-0.015,0.35,-0.025,0.18,129.0,0.07748807907964683,0.0703990796741178,1.0981788242302624,2.042578693231869,-0.08904777434023059,0.8701854667763297,2.2306636764021244,0.6124031007751938,0.05712295056422405,0.033026802382929356,0.007522769349144962,0.10734725248414737,True,True
sl0.15_vc0.100_tw12_k2_bf0.25_egs0.010_eg0.50,0.15,0.1,12,2,0.25,-0.01,0.5,-0.025,0.18,129.0,0.07714628603567686,0.07129549420598731,1.0807861255591356,1.9954103092436322,-0.09097526303899295,0.8479918986616302,2.223068780787514,0.6124031007751938,0.06703658106673677,0.04201091951409824,0.007390567061605189,0.18197307695140086,False,True
sl0.15_vc0.100_tw12_k2_bf0.25_egs0.010_eg0.65,0.15,0.1,12,2,0.25,-0.01,0.65,-0.025,0.18,129.0,0.07653692565293513,0.07079257825412835,1.0799194115871011,1.9973618156382453,-0.09028315926472363,0.8477431037666449,2.2095864962877934,0.6124031007751938,0.06860943204627322,0.04183464997753534,0.007395144266106292,0.23482040341434504,False,True
sl0.15_vc0.100_tw12_k2_bf0.25_egs0.015_eg0.50,0.15,0.1,12,2,0.25,-0.015,0.5,-0.025,0.18,129.0,0.07704817879330661,0.0715074269161003,1.0765129157623414,1.9834682172855334,-0.09123045594952994,0.8445444889142154,2.2208931012962307,0.6046511627906976,0.06678524655309001,0.042140625362809526,0.007415160178229884,0.16045931293482868,False,True
sl0.15_vc0.100_tw12_k2_bf0.25_egs0.015_eg0.65,0.15,0.1,12,2,0.25,-0.015,0.65,-0.025,0.18,129.0,0.07694123980923373,0.07110219605516656,1.0808389412195483,1.9962728738673317,-0.09047108479353239,0.8504511688438837,2.2185237642802393,0.6124031007751938,0.06848087785263678,0.041972539192631816,0.0074049117463830215,0.20614310162739108,False,True
sl0.15_vc0.100_tw12_k2_bf0.25_egs0.020_eg0.50,0.15,0.1,12,2,0.25,-0.02,0.5,-0.025,0.18,129.0,0.07720057330645158,0.07172476976119849,1.0754526369186614,1.979478694710482,-0.09144597323952375,0.844220588086921,2.224273515409063,0.6046511627906976,0.06511892682827183,0.04221386413446076,0.00746322731913292,0.138904761641281,False,True
sl0.15_vc0.100_tw12_k2_bf0.25_egs0.020_eg0.65,0.15,0.1,12,2,0.25,-0.02,0.65,-0.025,0.18,129.0,0.07721213605326405,0.07138450000086373,1.0803910056870552,1.99365449759145,-0.09061826482246871,0.8520593084024642,2.2245301905571684,0.6046511627906976,0.06608361049747775,0.04211156256481144,0.0074537929120699,0.17632962295113644,False,True
sl0.15_vc0.100_tw12_k2_bf0.50_egs0.010_eg0.50,0.15,0.1,12,2,0.5,-0.01,0.5,-0.025,0.18,129.0,0.07694388106924865,0.07069336740574839,1.086696904513817,2.0287955634704065,-0.09095521800609707,0.8459534566130205,2.2185822563367332,0.5968992248062015,0.07123449258196969,0.04232162550466843,0.0147111190871197,0.18076851075115702,False,True
sl0.15_vc0.100_tw12_k2_bf0.50_egs0.010_eg0.65,0.15,0.1,12,2,0.5,-0.01,0.65,-0.025,0.18,129.0,0.07610696339078493,0.0702152284744478,1.0824841008305826,2.0194368004616203,-0.09027479706182606,0.8430588145067989,2.2001181212771987,0.5968992248062015,0.07275373745625144,0.04209394261475961,0.014735781706263955,0.2348850206211413,False,True
sl0.15_vc0.100_tw12_k2_bf0.50_egs0.015_eg0.50,0.15,0.1,12,2,0.5,-0.015,0.5,-0.025,0.18,129.0,0.07684397656478748,0.07088254780121855,1.0826675574785343,2.018371192187515,-0.09115695141409919,0.842985371633458,2.2163707937269876,0.5891472868217055,0.07120933422986779,0.042407915021350044,0.014735143355610169,0.1603978765881964,False,True
sl0.15_vc0.100_tw12_k2_bf0.50_egs0.015_eg0.65,0.15,0.1,12,2,0.5,-0.015,0.65,-0.025,0.18,129.0,0.07660951792820447,0.07054483436199334,1.0844111328680555,2.023037896379059,-0.09043100525175718,0.8471598619845693,2.211188722079153,0.5968992248062015,0.07245276590664271,0.04225803074717329,0.014713451617281192,0.20611906547516462,False,True
sl0.15_vc0.100_tw12_k2_bf0.50_egs0.020_eg0.50,0.15,0.1,12,2,0.5,-0.02,0.5,-0.025,0.18,129.0,0.07707862608591909,0.07108431972381679,1.0828788201540467,2.0180755456269606,-0.09131694817180291,0.8440779902204356,2.2215681102312685,0.5891472868217055,0.06962998300633041,0.04242072019502049,0.01483234841031817,0.13700553746479402,False,True
