name,max_exposure,target_vol,sleeve_stop,safe_exposure,cooldown_days,global_stop,global_cooldown_days,vix_threshold,vix_multiplier,rebalance_band,financing_rate,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgExposure,StoppedDays,MDD9Pass,CAGRRetention
mx1.00_tv0.25_ss0.04_se0.00_cd5_gs0.08,1.0,0.25,0.04,0.0,5,0.08,10,35.0,0.5,0.1,0.04,129.0,-0.04718040682292535,0.09139088877713587,-0.4833524970007179,-0.7257889814717813,-0.6070515485294044,-0.07772059380660656,0.5947915644435442,0.3488372093023256,2.5340717052434507,0.18240642909983795,190,False,-0.30954314661678906
mx1.00_tv0.25_ss0.04_se0.00_cd5_gs0.09,1.0,0.25,0.04,0.0,5,0.09,10,35.0,0.5,0.1,0.04,129.0,-0.05112782122598769,0.07217673866884752,-0.6903401724813052,-0.9551064865675687,-0.5584986246350689,-0.09154511572771616,0.5688305549138912,0.3643410852713178,2.6687042294974965,0.11191395580759912,190,False,-0.33544150480412505
mx1.00_tv0.25_ss0.04_se0.00_cd5_gs0.10,1.0,0.25,0.04,0.0,5,0.1,10,35.0,0.5,0.1,0.04,129.0,-0.0700620305170595,0.08349778536692434,-0.8263201957879954,-1.0936446574687615,-0.6471401513954969,-0.10826407597485233,0.4580156196979088,0.3023255813953488,2.7558703368697075,0.1146649009068107,190,False,-0.4596658410769383
mx1.00_tv0.25_ss0.04_se0.00_cd10_gs0.08,1.0,0.25,0.04,0.0,10,0.08,10,35.0,0.5,0.1,0.04,129.0,-0.03993629662262377,0.0697178393564194,-0.5496860397045374,-0.806005551043073,-0.4991880409800511,-0.0800025107657171,0.6452463354646631,0.3488372093023256,2.578868903355039,0.10985112354847222,300,False,-0.2620156915387513
mx1.00_tv0.25_ss0.04_se0.00_cd10_gs0.09,1.0,0.25,0.04,0.0,10,0.09,10,35.0,0.5,0.1,0.04,129.0,0.011055969971851543,0.08941707827378095,0.1662263154989212,0.30843831364252117,-0.4145256570135394,0.02667137675265883,1.1254685858578684,0.43410852713178294,2.3802800801311808,0.20000896662030954,300,False,0.07253646088368902
mx1.00_tv0.25_ss0.04_se0.00_cd10_gs0.10,1.0,0.25,0.04,0.0,10,0.1,10,35.0,0.5,0.1,0.04,129.0,0.04669455181960358,0.12205216702366556,0.43342889005454727,0.8450293976750421,-0.4388592972356724,0.10639982361938678,1.633294910850251,0.4496124031007752,1.927857400210788,0.3285423147385219,300,False,0.3063555291998351
mx1.00_tv0.25_ss0.04_se0.00_cd20_gs0.08,1.0,0.25,0.04,0.0,20,0.08,10,35.0,0.5,0.1,0.04,129.0,-0.013331766842660353,0.09599639662034878,-0.09335119650427945,-0.16093461930487601,-0.5301532700120685,-0.02514700483193637,0.865644986093759,0.4263565891472868,2.2200754039165247,0.18591784730702962,460,False,-0.0874676022596998
mx1.00_tv0.25_ss0.04_se0.00_cd20_gs0.09,1.0,0.25,0.04,0.0,20,0.09,10,35.0,0.5,0.1,0.04,129.0,-0.025675281414602402,0.06758975105129518,-0.35171146276323617,-0.5740949400224128,-0.4241665481267348,-0.060531132235659,0.756075208337359,0.3488372093023256,2.418827609196891,0.10471572051783881,460,False,-0.16845143852141992
mx1.00_tv0.25_ss0.04_se0.00_cd20_gs0.10,1.0,0.25,0.04,0.0,20,0.1,10,35.0,0.5,0.1,0.04,129.0,0.03513820363140718,0.11893802334272695,0.3483425094124981,0.6614344112654231,-0.3839470767107064,0.09151835178024512,1.4495464142375942,0.46511627906976744,1.690574730290165,0.3374453120918407,460,False,0.2305361664080044
mx1.00_tv0.25_ss0.04_se0.25_cd5_gs0.08,1.0,0.25,0.04,0.25,5,0.08,10,35.0,0.5,0.1,0.04,129.0,0.008284706917662366,0.10463393625356579,0.12936997181252624,0.2318826577582986,-0.444846749595073,0.01862373261174465,1.0927459012588392,0.4573643410852713,1.9577811987389757,0.35880343230235123,190,False,0.05435464466671341
mx1.00_tv0.25_ss0.04_se0.25_cd5_gs0.09,1.0,0.25,0.04,0.25,5,0.09,10,35.0,0.5,0.1,0.04,129.0,0.04031447595507198,0.12352803242689936,0.38026862710886206,0.6983322064668513,-0.37631994131732116,0.10712819473225295,1.5293958189554857,0.4883720930232558,1.6272629867619133,0.4438729937468066,190,False,0.2644968660015068
mx1.00_tv0.25_ss0.04_se0.25_cd5_gs0.10,1.0,0.25,0.04,0.25,5,0.1,10,35.0,0.5,0.1,0.04,129.0,0.06654742450858753,0.13955159575615528,0.5307270772737194,0.9689922025940567,-0.25495451714669626,0.26101684823374727,1.9988805476477929,0.5038759689922481,1.454431376137002,0.5126854040267338,190,False,0.4366070699420515
mx1.00_tv0.25_ss0.04_se0.25_cd10_gs0.08,1.0,0.25,0.04,0.25,10,0.08,10,35.0,0.5,0.1,0.04,129.0,0.03165577280472198,0.11816843540940011,0.3215588943022519,0.5606938306449962,-0.3320901596402569,0.09532282690644527,1.3979744573493984,0.4806201550387597,1.559379618799318,0.4517079567382055,300,False,0.20768849152437766
mx1.00_tv0.25_ss0.04_se0.25_cd10_gs0.09,1.0,0.25,0.04,0.25,10,0.09,10,35.0,0.5,0.1,0.04,129.0,0.06375550256003559,0.13284132954564323,0.5302494672273005,1.0630466615478684,-0.332090159640257,0.1919825104998593,1.9433434492553314,0.4883720930232558,1.5856337471810937,0.453463310785248,300,False,0.4182897140043042
mx1.00_tv0.25_ss0.04_se0.25_cd10_gs0.10,1.0,0.25,0.04,0.25,10,0.1,10,35.0,0.5,0.1,0.04,129.0,0.0683892649833786,0.1318097751986667,0.5671254852288076,1.0835527557951,-0.33646330133520774,0.203259210475512,2.0363024940459082,0.4883720930232558,1.4191732174548737,0.5001803326859371,300,False,0.4486910924108014
mx1.00_tv0.25_ss0.04_se0.25_cd20_gs0.08,1.0,0.25,0.04,0.25,20,0.08,10,35.0,0.5,0.1,0.04,129.0,0.0061574663653880535,0.0964681404422511,0.110507874674489,0.18856116812553889,-0.31696821371310224,0.019426132018907635,1.0682158280165301,0.4806201550387597,1.6405076210207201,0.3844097593338022,460,False,0.040398157673433195
mx1.00_tv0.25_ss0.04_se0.25_cd20_gs0.09,1.0,0.25,0.04,0.25,20,0.09,10,35.0,0.5,0.1,0.04,129.0,0.05865469465641171,0.12005981453547199,0.5336008467404042,1.0883762112664,-0.3467690575744006,0.169146275814494,1.84547864189457,0.49612403100775193,1.4543911531627483,0.4425437534016946,460,False,0.38482412447046593
mx1.00_tv0.25_ss0.04_se0.25_cd20_gs0.10,1.0,0.25,0.04,0.25,20,0.1,10,35.0,0.5,0.1,0.04,129.0,0.08871191103468679,0.1370588676123491,0.6879889946982884,1.4816056557298347,-0.2869528997955274,0.30915147084382066,2.493529290856604,0.5038759689922481,1.1764642626132185,0.5289060151827276,460,False,0.5820247414806623
mx1.00_tv0.25_ss0.06_se0.00_cd5_gs0.08,1.0,0.25,0.06,0.0,5,0.08,10,35.0,0.5,0.1,0.04,129.0,-0.04512003586787339,0.07708568143829846,-0.5599677520504933,-0.7688636827618185,-0.5275035630406222,-0.08553503526647983,0.6087646051120048,0.4108527131782946,2.8019791102809966,0.10983838137552358,107,False,-0.2960253804173945
mx1.00_tv0.25_ss0.06_se0.00_cd5_gs0.09,1.0,0.25,0.06,0.0,5,0.09,10,35.0,0.5,0.1,0.04,129.0,0.04401315378482806,0.13902517870852282,0.37723405030209833,0.7137865615743205,-0.4405218922966978,0.09991138818405096,1.588872991471771,0.4806201550387597,2.2526751094118658,0.2529012557456263,107,False,0.2887633030850492
mx1.00_tv0.25_ss0.06_se0.00_cd5_gs0.10,1.0,0.25,0.06,0.0,5,0.1,10,35.0,0.5,0.1,0.04,129.0,0.040799571715578464,0.13353691183394492,0.36536306099385696,0.620432934771228,-0.44052189229669814,0.09261644524149855,1.5370796650675997,0.5038759689922481,2.0983263045945035,0.31729013683295265,107,False,0.2676795021470832
mx1.00_tv0.25_ss0.06_se0.00_cd10_gs0.08,1.0,0.25,0.06,0.0,10,0.08,10,35.0,0.5,0.1,0.04,129.0,-0.05650471952459557,0.0740531232441282,-0.747484285886074,-1.035975929875208,-0.5877372703704701,-0.09613941870485565,0.5351211545784551,0.3333333333333333,2.7178088970168686,0.10810316244949505,192,False,-0.3707184795160261
mx1.00_tv0.25_ss0.06_se0.00_cd10_gs0.09,1.0,0.25,0.06,0.0,10,0.09,10,35.0,0.5,0.1,0.04,129.0,-0.021680527606950162,0.10957796158289361,-0.14817933209101303,-0.28876927594471,-0.6096480880236934,-0.03556236463765891,0.7900735105260435,0.3333333333333333,2.586624475672949,0.1380943040228148,192,False,-0.14224249402840158
mx1.00_tv0.25_ss0.06_se0.00_cd10_gs0.10,1.0,0.25,0.06,0.0,10,0.1,10,35.0,0.5,0.1,0.04,129.0,0.041607071740566104,0.13129815716109197,0.3750553538690467,0.6553312730417773,-0.41853565424087646,0.09941105690513125,1.5499480339135294,0.49612403100775193,1.9805163551164988,0.31299986767130644,192,False,0.2729773814037401
mx1.00_tv0.25_ss0.06_se0.00_cd20_gs0.08,1.0,0.25,0.06,0.0,20,0.08,10,35.0,0.5,0.1,0.04,129.0,-0.03340002139277698,0.08932117793844285,-0.33639581964720094,-0.5237861800107425,-0.565937625982445,-0.05901714227746544,0.6940694001153932,0.3875968992248062,2.4421606291648037,0.180133812220766,278,False,-0.21913222914314875
mx1.00_tv0.25_ss0.06_se0.00_cd20_gs0.09,1.0,0.25,0.06,0.0,20,0.09,10,35.0,0.5,0.1,0.04,129.0,-0.018446284139572278,0.11042017803542077,-0.11642902203495328,-0.22881806749633252,-0.5955497776970731,-0.030973538787810607,0.8186085354368852,0.35658914728682173,2.548802061129689,0.13619768685512892,278,False,-0.12102313694285642
mx1.00_tv0.25_ss0.06_se0.00_cd20_gs0.10,1.0,0.25,0.06,0.0,20,0.1,10,35.0,0.5,0.1,0.04,129.0,0.03825338745299556,0.12440628661768587,0.3626406458273669,0.6543957945243604,-0.39398014340556364,0.09709470919608625,1.4971354187495503,0.4883720930232558,1.9461308137728468,0.29770242704074446,278,False,0.2509743920901879
mx1.00_tv0.25_ss0.06_se0.25_cd5_gs0.08,1.0,0.25,0.06,0.25,5,0.08,10,35.0,0.5,0.1,0.04,129.0,0.03431714012124365,0.11839994243792425,0.3432221056369564,0.5821335229462818,-0.32372657803195715,0.10600655753960363,1.4372340825000094,0.5503875968992248,1.7394755733990541,0.41540407428589715,107,False,0.2251492992819509
mx1.00_tv0.25_ss0.06_se0.25_cd5_gs0.09,1.0,0.25,0.06,0.25,5,0.09,10,35.0,0.5,0.1,0.04,129.0,0.06734756851420531,0.13549969977937756,0.547588850788969,1.070993718604606,-0.34550368874556736,0.194925758271139,2.0150603127995095,0.5116279069767442,1.69254358600897,0.44609909848880014,107,False,0.4418566875253645
mx1.00_tv0.25_ss0.06_se0.25_cd5_gs0.10,1.0,0.25,0.06,0.25,5,0.1,10,35.0,0.5,0.1,0.04,129.0,0.0652729035300823,0.1376499312456741,0.5276936248011935,0.9489696310855433,-0.30293949474495474,0.2154651495178457,1.9733515629239222,0.5116279069767442,1.6137823183557187,0.476114079317333,107,False,0.42824514047424717
mx1.00_tv0.25_ss0.06_se0.25_cd10_gs0.08,1.0,0.25,0.06,0.25,10,0.08,10,35.0,0.5,0.1,0.04,129.0,0.04054516107576411,0.11739751670863004,0.39638098513024883,0.6911407712251718,-0.3044929800224977,0.13315630814466856,1.5330454825098765,0.5426356589147286,1.6919100549532171,0.40564853392500727,192,False,0.26601035439521054
mx1.00_tv0.25_ss0.06_se0.25_cd10_gs0.09,1.0,0.25,0.06,0.25,10,0.09,10,35.0,0.5,0.1,0.04,129.0,0.05929175347229876,0.13088146065869444,0.5042209145727317,0.9754816468603643,-0.34745543610511975,0.17064563483865175,1.8574520311073182,0.5116279069767442,1.673957564972384,0.4372142449749248,192,False,0.3890037660574864
