month,p_tail_raw,tail_event,risk_percentile,risk_severity,p_up,score,factor_name
2007-04,,0.0,,,,,final_loss_1sigma
2007-05,,0.0,,,,,final_loss_1sigma
2007-06,,0.0,,,,,final_loss_1sigma
2007-07,,0.0,,,,,final_loss_1sigma
2007-08,,0.0,,,,,final_loss_1sigma
2007-09,,0.0,,,,,final_loss_1sigma
2007-10,,0.0,,,,,final_loss_1sigma
2007-11,,0.0,,,,,final_loss_1sigma
2007-12,,0.0,,,,,final_loss_1sigma
2008-01,,0.0,,,,,final_loss_1sigma
2008-02,,0.0,,,,,final_loss_1sigma
2008-03,,0.0,,,,,final_loss_1sigma
2008-04,,0.0,,,,,final_loss_1sigma
2008-05,,0.0,,,,,final_loss_1sigma
2008-06,,0.0,,,,,final_loss_1sigma
2008-07,,1.0,,,,,final_loss_1sigma
2008-08,,0.0,,,,,final_loss_1sigma
2008-09,,0.0,,,,,final_loss_1sigma
2008-10,,1.0,,,,,final_loss_1sigma
2008-11,,0.0,,,,,final_loss_1sigma
2008-12,,0.0,,,,,final_loss_1sigma
2009-01,,0.0,,,,,final_loss_1sigma
2009-02,,0.0,,,,,final_loss_1sigma
2009-03,,1.0,,,,,final_loss_1sigma
2009-04,,0.0,,,,,final_loss_1sigma
2009-05,,0.0,,,,,final_loss_1sigma
2009-06,,0.0,,,,,final_loss_1sigma
2009-07,,0.0,,,,,final_loss_1sigma
2009-08,,0.0,,,,,final_loss_1sigma
2009-09,,0.0,,,,,final_loss_1sigma
2009-10,,0.0,,,,,final_loss_1sigma
2009-11,,0.0,,,,,final_loss_1sigma
2009-12,,0.0,,,,,final_loss_1sigma
2010-01,,0.0,,,,,final_loss_1sigma
2010-02,,0.0,,,,,final_loss_1sigma
2010-03,,0.0,,,,,final_loss_1sigma
2010-04,,0.0,,,,,final_loss_1sigma
2010-05,,0.0,,,,,final_loss_1sigma
2010-06,,0.0,,,,,final_loss_1sigma
2010-07,,0.0,,,,,final_loss_1sigma
2010-08,,0.0,,,,,final_loss_1sigma
2010-09,,0.0,,,,,final_loss_1sigma
2010-10,,0.0,,,,,final_loss_1sigma
2010-11,,0.0,,,,,final_loss_1sigma
2010-12,,0.0,,,,,final_loss_1sigma
2011-01,,0.0,,,,,final_loss_1sigma
2011-02,,0.0,,,,,final_loss_1sigma
2011-03,,0.0,,,,,final_loss_1sigma
2011-04,,0.0,,,,,final_loss_1sigma
2011-05,,1.0,,,,,final_loss_1sigma
2011-06,,1.0,,,,,final_loss_1sigma
2011-07,0.37244913017896797,0.0,0.5,0.0,0.5,-0.0,final_loss_1sigma
2011-08,0.7070250324359224,0.0,0.5,0.0,0.5,-0.0,final_loss_1sigma
2011-09,0.8670233159768076,0.0,0.5,0.0,0.5,-0.0,final_loss_1sigma
2011-10,0.695528292453745,0.0,0.5,0.0,0.5,-0.0,final_loss_1sigma
2011-11,0.3978831313477912,0.0,0.5,0.0,0.5,-0.0,final_loss_1sigma
2011-12,0.5795009817145708,1.0,0.5,0.0,0.5,-0.0,final_loss_1sigma
2012-01,0.38600191765518843,0.0,0.5,0.0,0.5,-0.0,final_loss_1sigma
2012-02,0.6239279213696065,0.0,0.5,0.0,0.5,-0.0,final_loss_1sigma
2012-03,0.30011665562810225,0.0,0.5,0.0,0.5,-0.0,final_loss_1sigma
2012-04,0.34096473746040806,0.0,0.5,0.0,0.5,-0.0,final_loss_1sigma
2012-05,0.31099742662941054,0.0,0.5,0.0,0.5,-0.0,final_loss_1sigma
2012-06,0.2806573626917318,0.0,0.5,0.0,0.5,-0.0,final_loss_1sigma
2012-07,0.28471198886583776,0.0,0.15384615384615385,0.0,0.5,-0.0,final_loss_1sigma
2012-08,0.2581896702507096,0.0,0.07142857142857142,0.0,0.5,-0.0,final_loss_1sigma
