Episode,Strategy,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths
GlobalFinancialCrisis,Hard,18.0,0.5013397920806784,0.4288788545104427,1.1650041615743052,2.142446484898402,-0.2524790884161743,1.9856685764576834,1.8395792118422765,0.6111111111111112
GlobalFinancialCrisis,CurrentDefensive,18.0,0.10467056981111122,0.11096444893451521,0.9534077350929221,1.5879872635325627,-0.08269991511926611,1.2656671976042542,1.1610453295341105,0.5555555555555556
GlobalFinancialCrisis,FinalBlend,18.0,0.3084761862465819,0.2753998557227474,1.1169253862512694,2.015024490790587,-0.13994884146395348,2.2042067874212155,1.4967481657272224,0.6111111111111112
EuroCommodityShock,Hard,14.0,-0.0873147165448267,0.22584743468915341,-0.29911607774775717,-0.4313859366614258,-0.09273385280135493,-0.941562481307268,0.8988927737700824,0.5
EuroCommodityShock,CurrentDefensive,14.0,0.020274381957897436,0.06309948581247822,0.3475570984334262,0.5856440500930923,-0.028395428049429627,0.7140016316219852,1.0236931858705332,0.5
EuroCommodityShock,FinalBlend,14.0,-0.03340896471671484,0.142361900634101,-0.17265782182658662,-0.2604737760911034,-0.05900383627656869,-0.5662168229217672,0.9611324127192671,0.35714285714285715
OilDowncycle,Hard,20.0,-0.0018596213917397852,0.06874535718650629,0.0054274157891633775,0.008515576704167947,-0.07716936777798222,-0.024097921821647578,0.9969025526286067,0.45
OilDowncycle,CurrentDefensive,20.0,0.0426687870781397,0.04444134983186369,0.9627286351867366,2.1968866958228106,-0.019707110983657516,2.1651467388357215,1.0721213752560974,0.6
OilDowncycle,FinalBlend,20.0,0.021859764771892776,0.0562148934116217,0.411552292398034,0.7369578576912359,-0.04543753867123712,0.48109482624177546,1.0366977729849745,0.5
2018Selloff,Hard,3.0,-0.4170807405095972,0.5157506446663315,-0.8332483682079224,-1.0388208586630001,-0.20684431751953192,-2.0163993166996868,0.8737800024849801,0.6666666666666666
2018Selloff,CurrentDefensive,3.0,-0.01944250095798339,0.04475664502855274,-0.42330692027874095,-0.5742346266131414,0.0,,0.99510352886747,0.6666666666666666
2018Selloff,FinalBlend,3.0,-0.22011362588021033,0.2300138400621019,-0.9894020614572562,-1.1898742869350951,-0.09563034096120315,-2.3017132812431313,0.939740260020054,0.6666666666666666
COVID,Hard,4.0,-0.1950758089393435,0.27964535417421105,-0.6583985371291053,-0.8222657411758747,-0.1276819376391951,-1.5278261948889802,0.9302185446467417,0.5
COVID,CurrentDefensive,4.0,0.07796245139580749,0.1058142718528256,0.7515634192242788,1.3184243798621043,-0.03482523283349925,2.238677104286679,1.0253399471733409,0.75
COVID,FinalBlend,4.0,-0.05457327175996396,0.2103001115799562,-0.18500693460391945,-0.25690998550761884,-0.08701985277584678,-0.6271358778385718,0.9814675804974226,0.5
InflationShock,Hard,10.0,0.6967647596035444,0.27326947808389784,2.095877556879554,6.25515131730312,-0.10130607618703824,6.877818052266968,1.5536434665137744,0.6
InflationShock,CurrentDefensive,10.0,-0.057356845437512294,0.05430293165654374,-1.0604752006074845,-1.2142338348446238,-0.051371185507070205,-1.1165178469478436,0.9519689097466455,0.4
InflationShock,FinalBlend,10.0,0.23952156005573455,0.13865145887584746,1.6238297300682885,4.17675491599651,-0.07843101448454981,3.0539138328105917,1.1959464601287328,0.6
Recent2026,Hard,7.0,0.023018188864648348,0.4818781073685656,0.26364020024206747,0.3878532709394796,-0.25617966321934027,0.08985174145123394,1.013363577238515,0.5714285714285714
Recent2026,CurrentDefensive,7.0,0.1537166874418625,0.1819647583652763,0.8667397875299493,1.9257597401600883,-0.08051673733810638,1.9091271271508985,1.0869874211483528,0.5714285714285714
Recent2026,FinalBlend,7.0,0.12450391185266163,0.3359135720908085,0.4958427880126782,0.8241880399706482,-0.1490055972547002,0.8355653354406746,1.0708465278195072,0.5714285714285714
