name,model_name,probability_threshold,protection_fraction,vix_threshold,fsi_threshold,vol_cap,dd_start,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgProtection,MDD9Pass,MDD10Pass,ReturnRetention
none_pt0.45_pf0.75_vx25_fs1_vc0.18_dd0.03,none,0.45,0.75,25.0,1.0,0.18,-0.03,129.0,0.08836788188693734,0.0957770392669621,0.9340049185309759,1.7968533010186678,-0.1063351385127459,0.8310318030605197,2.485071902339731,0.6434108527131783,0.1559527085579315,0.7308425118804754,False,False,0.5797676209492109
none_pt0.45_pf0.75_vx25_fs1_vc0.18_dd0.05,none,0.45,0.75,25.0,1.0,0.18,-0.05,129.0,0.08915458254052666,0.1021938833948236,0.8888038555992259,1.5934512012389674,-0.11355170458313246,0.7851452593144967,2.5044500429796264,0.6434108527131783,0.195289852245275,0.46207786430014713,False,False,0.5849290388376042
none_pt0.45_pf0.75_vx25_fs1_vc0.22_dd0.03,none,0.45,0.75,25.0,1.0,0.22,-0.03,129.0,0.09377954218681772,0.10210035539881755,0.9309646710677041,1.8216850938236209,-0.10631209787708462,0.882115432387039,2.621170724774954,0.6434108527131783,0.15751009179599695,0.7205725285884704,False,False,0.6152726636236662
none_pt0.45_pf0.75_vx25_fs1_vc0.22_dd0.05,none,0.45,0.75,25.0,1.0,0.22,-0.05,129.0,0.09511670488500212,0.10864256878765996,0.8927945052888584,1.6024036175770324,-0.1298246605708404,0.7326551401465097,2.655824299086447,0.6434108527131783,0.19703042285250874,0.46263458961622433,False,False,0.6240455754531054
none_pt0.45_pf0.75_vx25_fs1_vc0.26_dd0.03,none,0.45,0.75,25.0,1.0,0.26,-0.03,129.0,0.099084670076657,0.10607147828083205,0.9456234777127823,1.9241512645457608,-0.10617937251775522,0.9331819140303184,2.7611173627107917,0.6434108527131783,0.16208905845862998,0.7087746361007552,False,False,0.6500787640964454
none_pt0.45_pf0.75_vx25_fs1_vc0.26_dd0.05,none,0.45,0.75,25.0,1.0,0.26,-0.05,129.0,0.09671772041372884,0.10887780090511585,0.9043407860161321,1.697217226291002,-0.14096756031305224,0.6860991294659847,2.69786213465291,0.6434108527131783,0.16495980868345972,0.701748828635964,False,False,0.6345495837463022
none_pt0.45_pf0.75_vx25_fs1_vc99.00_dd0.03,none,0.45,0.75,25.0,1.0,99.0,-0.03,129.0,0.10288717236039635,0.11064166051331642,0.9420012525943156,1.9921788087065293,-0.10617937251775533,0.9689939761434505,2.8655577745503398,0.6434108527131783,0.16429873504463371,0.7031675770451381,False,False,0.6750263769125832
none_pt0.45_pf0.75_vx25_fs1_vc99.00_dd0.05,none,0.45,0.75,25.0,1.0,99.0,-0.05,129.0,0.10042930167731035,0.11335094826670417,0.9025855794326261,1.7581525636516488,-0.14096756031305224,0.7124284583934277,2.7976479956590157,0.6434108527131783,0.16715769303067105,0.6962250766405588,False,False,0.658900678207291
none_pt0.45_pf0.75_vx25_fs2_vc0.18_dd0.03,none,0.45,0.75,25.0,2.0,0.18,-0.03,129.0,0.08988553306437419,0.10457077836694353,0.8769405589486606,1.6913798345895863,-0.10633513851274545,0.84530414237059,2.522577656456081,0.6356589147286822,0.15948338741592885,0.7091094885830241,False,False,0.5897246889900529
none_pt0.45_pf0.75_vx25_fs2_vc0.18_dd0.05,none,0.45,0.75,25.0,2.0,0.18,-0.05,129.0,0.09176549483829244,0.11092228602661396,0.8486316001186472,1.544566801894997,-0.11355170458313246,0.8081384174300078,2.5697487690682315,0.6356589147286822,0.1995184287256824,0.43855040265113726,False,False,0.6020588192403917
