name,model_name,rank_threshold,protection_fraction,vix_threshold,vix_fraction,vol_cap,dd_start,dd_fraction,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgProtection,MDD9Pass,CAGRRetention
logit_s_l5_c01_rq0.80_pf0.75_vx30_vf0.75_vc0.22_dd0.03_df0.50,logit_s_l5_c01,0.8,0.75,30.0,0.75,0.22,-0.03,0.5,129.0,0.12372496953346634,0.1364935009277306,0.9249251453318093,1.8238896974493783,-0.1436629309622951,0.8612170773958276,3.5042520389385925,0.6124031007751938,0.14104794543455274,0.3996822410616629,False,0.8117398505738639
logit_s_l5_c01_rq0.80_pf0.75_vx30_vf0.75_vc0.22_dd0.03_df0.75,logit_s_l5_c01,0.8,0.75,30.0,0.75,0.22,-0.03,0.75,129.0,0.12200389440656623,0.12937655550361518,0.9566570771613058,1.9290489875694807,-0.13682354094538707,0.8916878891130579,3.4469851829293923,0.6124031007751938,0.13300515971904653,0.4941064636836177,False,0.8004481503487254
logit_s_l5_c01_rq0.80_pf0.75_vx30_vf0.75_vc0.22_dd0.05_df0.50,logit_s_l5_c01,0.8,0.75,30.0,0.75,0.22,-0.05,0.5,129.0,0.12359269636603165,0.13851545443702604,0.9125020229032279,1.7994553466499021,-0.14190329348181485,0.8709642555397791,3.499820380075022,0.6201550387596899,0.15519281472256158,0.36392909130962275,False,0.81087202735618
logit_s_l5_c01_rq0.80_pf0.75_vx30_vf0.75_vc0.22_dd0.05_df0.75,logit_s_l5_c01,0.8,0.75,30.0,0.75,0.22,-0.05,0.75,129.0,0.12169056830202307,0.13254938236892524,0.9347876869153567,1.846030766986333,-0.1333546422531131,0.9125334240037096,3.436651409421762,0.6124031007751938,0.1424612331181771,0.47562626131502683,False,0.7983924676014045
logit_s_l5_c01_rq0.80_pf0.75_vx30_vf0.75_vc0.26_dd0.03_df0.50,logit_s_l5_c01,0.8,0.75,30.0,0.75,0.26,-0.03,0.5,129.0,0.12489717395621858,0.13991102152332563,0.9131032181613263,1.7952217091863139,-0.15520724073922376,0.8047122889457743,3.5437483696347654,0.6124031007751938,0.13881868608737696,0.3921207370478633,False,0.8194304973895784
logit_s_l5_c01_rq0.80_pf0.75_vx30_vf0.75_vc0.26_dd0.03_df0.75,logit_s_l5_c01,0.8,0.75,30.0,0.75,0.26,-0.03,0.75,129.0,0.12097764436143765,0.13260170793568443,0.9295917857893864,1.8321615620827272,-0.1478739365314976,0.8181133687184221,3.4132431648068597,0.6201550387596899,0.1320199716410971,0.5037485539450526,False,0.7937150869951818
logit_s_l5_c01_rq0.80_pf0.75_vx30_vf0.75_vc0.26_dd0.05_df0.50,logit_s_l5_c01,0.8,0.75,30.0,0.75,0.26,-0.05,0.5,129.0,0.12690911835244711,0.14398649347503756,0.9036342004287269,1.777267438971975,-0.15203951769423807,0.8347113979121539,3.6124812330042064,0.6201550387596899,0.14877825963573663,0.3651071371371161,False,0.8326305446372418
logit_s_l5_c01_rq0.80_pf0.75_vx30_vf0.75_vc0.26_dd0.05_df0.75,logit_s_l5_c01,0.8,0.75,30.0,0.75,0.26,-0.05,0.75,129.0,0.1243431198428151,0.13832394702339418,0.9183906305217067,1.8103062687424414,-0.13934363159933094,0.8923487813232229,3.5250299943020083,0.6201550387596899,0.14090005379436568,0.47991311744105736,False,0.8157954364562854
logit_s_l5_c01_rq0.80_pf0.75_vx30_vf0.75_vc0.30_dd0.03_df0.50,logit_s_l5_c01,0.8,0.75,30.0,0.75,0.3,-0.03,0.5,129.0,0.12597652018781513,0.1442792205417105,0.8962423846559314,1.7591202626768043,-0.15520724073922398,0.8116665149629088,3.580472513565251,0.6124031007751938,0.14122740784856594,0.38647617324616246,False,0.8265119163792728
logit_s_l5_c01_rq0.80_pf0.75_vx30_vf0.75_vc0.30_dd0.03_df0.75,logit_s_l5_c01,0.8,0.75,30.0,0.75,0.3,-0.03,0.75,129.0,0.12175969947259646,0.137153905731945,0.9081017644298008,1.785471255399945,-0.1478739365314976,0.8234020296515286,3.438928998008834,0.6201550387596899,0.13520792959801234,0.49828826920968117,False,0.7988460262184148
logit_s_l5_c01_rq0.80_pf0.75_vx30_vf0.75_vc0.30_dd0.05_df0.50,logit_s_l5_c01,0.8,0.75,30.0,0.75,0.3,-0.05,0.5,129.0,0.1287853343789871,0.14856948937820486,0.8913296509474868,1.7546132450543674,-0.1520395176942383,0.8470517161070129,3.6776644465348602,0.6201550387596899,0.14566191999338868,0.3594949906751064,False,0.8449400996346742
logit_s_l5_c01_rq0.80_pf0.75_vx30_vf0.75_vc0.30_dd0.05_df0.75,logit_s_l5_c01,0.8,0.75,30.0,0.75,0.3,-0.05,0.75,129.0,0.12601870261539205,0.14303283651981438,0.9030415713476617,1.7806325740091256,-0.13934363159933116,0.9043736062351696,3.5819147297370075,0.6201550387596899,0.13908251803675672,0.4746131580981776,False,0.8267886685788267
logit_s_l5_c01_rq0.80_pf0.75_vx30_vf0.75_vc99.00_dd0.03_df0.50,logit_s_l5_c01,0.8,0.75,30.0,0.75,99.0,-0.03,0.5,129.0,0.12007497514788179,0.15331859844990828,0.8180308670660346,1.490753265018311,-0.18240150790159138,0.6583003426301948,3.383812290517156,0.6124031007751938,0.14136751335574074,0.38049671152522063,False,0.787792817825972
logit_s_l5_c01_rq0.80_pf0.75_vx30_vf0.75_vc99.00_dd0.03_df0.75,logit_s_l5_c01,0.8,0.75,30.0,0.75,99.0,-0.03,0.75,129.0,0.11429203170958879,0.14589288318621718,0.8165171514411317,1.472502376424402,-0.1805560771489696,0.6330001931493616,3.200659817922545,0.6201550387596899,0.13761594285031592,0.4934554030544606,False,0.7498518455212076
logit_s_l5_c01_rq0.80_pf0.75_vx30_vf0.75_vc99.00_dd0.05_df0.50,logit_s_l5_c01,0.8,0.75,30.0,0.75,99.0,-0.05,0.5,129.0,0.12294882067794544,0.15729824770700734,0.8175305018502351,1.4987667456003468,-0.18240150790159138,0.6740559444512836,3.4783205801692887,0.6201550387596899,0.1441372210625292,0.3535542014199269,False,0.8066476613546684
logit_s_l5_c01_rq0.80_pf0.75_vx30_vf0.75_vc99.00_dd0.05_df0.75,logit_s_l5_c01,0.8,0.75,30.0,0.75,99.0,-0.05,0.75,129.0,0.11864258578232523,0.15130299415463908,0.8184057498715848,1.4878020281373716,-0.1805560771489696,0.6570954999450834,3.3375824009854322,0.6201550387596899,0.13972914717689927,0.46981851276533104,False,0.7783951389746875
