month,systemic_correlation_stress,breadth_dispersion_stress,volume_stress,tail_shape_stress,sector_linkage_stress,index_volume_proxy_stress
2007-04,,,,,,
2007-05,,,,,,
2007-06,,,,,,
2007-07,,,,,,
2007-08,,,,,,
2007-09,,,,,,
2007-10,,,,,,
2007-11,,,,,,
2007-12,,,,,,
2008-01,,,,,,
2008-02,,,,,,
2008-03,,,,,,
2008-04,,,,,,
2008-05,,,,,,
2008-06,,,,,,
2008-07,,,,,,
2008-08,,,,,,
2008-09,,,,,,
2008-10,,,,,,
2008-11,,,,,,
2008-12,,,,,,
2009-01,,,,,,
2009-02,,,,,,
2009-03,,,,,,
2009-04,0.027244842602242542,0.15193820552116463,-0.3260577717273389,-0.4409108933609738,0.6540827010446292,0.017588755689279534
2009-05,-0.1901428226524914,-0.3242349442418525,0.15507646525744478,-1.035504211506568,0.3582283872264534,0.6168915827755134
2009-06,-0.02919211522485211,0.1769606075630366,0.13469904205169514,-0.5304647685054884,0.13816818034934444,0.4014642060067592
2009-07,0.6928980460348259,0.24966111382757297,-0.14667797432200486,-0.5576083986409224,0.5731125962357438,-0.4887130352857149
2009-08,-0.4749585002817131,-0.7807411032360796,-1.1541537152087964,0.026197473026053703,0.36265600655003877,-0.8007652013658862
2009-09,-1.0563731474959714,-0.17150307167875622,-0.23396232468756217,0.25940260915974495,0.002267280916747503,0.11588546506116405
2009-10,-1.4249772892827781,0.12295412115209284,-0.1539382806520877,0.4218129498291407,-0.7396141770136869,0.031596299912610114
2009-11,-0.42117105042609015,0.31982511824839344,-0.08645148663678659,-0.40965568762994636,-0.9807574270783821,-0.6372250658490212
2009-12,0.9238537251977235,0.4167209346297804,0.04572291074180637,1.0033691215898102,-0.25679428792088665,-0.277606015487265
2010-01,-1.5107783287833678,-0.6822153396438957,-0.9006988014126973,1.7395405210315769,0.2047486169801163,-0.5907885001950356
2010-02,-1.3281548753708512,0.42993891250373406,0.6905685196432844,1.9243539224165935,0.21034710696844397,0.7396817593891729
2010-03,0.40731457929103526,-0.8113936252858032,-0.2204016642185666,1.3802939747368583,0.5381385995222385,-0.670502629569429
2010-04,-1.1181928458992583,-0.9006725341138803,-0.3208824130531266,0.4686503099304078,0.14347631414364329,-0.3069791778883079
2010-05,-1.3017122501501335,0.18851963479124823,0.7259859482635581,0.444170638410803,0.35737991885330556,0.8381203815117994
2010-06,-0.17061698707470507,0.2841444668580445,0.9909715154186602,0.2444275902456048,0.06949962219827142,0.7049469652553642
2010-07,-0.5138136831578292,-0.6333879019188149,-0.38807081746328376,-0.291749865477279,-0.09862969766278536,-0.45216795500730655
2010-08,-1.5398490272232426,-0.19123001153153363,-0.6733118517253409,-0.38062257847642095,-0.17425829990585354,-0.49988442939212857
2010-09,-0.12735722451572448,-0.33162176170336044,0.3252529967018638,-0.707466370841291,-0.8012012518951335,0.012191562532191336
2010-10,-1.6772920094980963,-0.9127979987731956,-0.26426738516550624,-0.3610881479799111,-1.0160538855080967,0.19644282127806267
2010-11,-1.1527553715412036,0.21881472031866392,0.46110434058694527,-0.17940221476859097,-1.563694181996902,0.6574887074142051
2010-12,-0.7976437097718337,0.13681303912053827,-0.8381415735284411,0.7205405125392054,-1.7549119265680255,-0.6080238882413961
2011-01,-1.569249598211691,-0.5483845514106795,-0.9670129605374326,1.007008962454633,-1.86148383019788,-0.8364094160919544
2011-02,-1.2924599610548209,-0.4528330809787513,0.37239958923607797,2.0461862013520213,-1.8090946753071533,0.5670800559143844
2011-03,-0.06021342157337337,0.25441616820530677,0.622030853604803,-0.109431103497588,-1.0085992665346641,0.17334007742136848
2011-04,-0.6781358309722814,-0.5833991636186051,-0.47974477815572464,-0.3457526143538765,-0.32967048625117773,-0.16811525805497873
2011-05,-1.6398314282013384,0.29154691778040137,1.061847505621772,-0.5834110544118342,-1.236430108799275,1.2382020835394862
