month,p_tail_raw,tail_event,risk_percentile,risk_severity,p_up,score,factor_name
2007-04,,0.0,,,,,loss3_corr_domestic
2007-05,,0.0,,,,,loss3_corr_domestic
2007-06,,0.0,,,,,loss3_corr_domestic
2007-07,,0.0,,,,,loss3_corr_domestic
2007-08,,0.0,,,,,loss3_corr_domestic
2007-09,,0.0,,,,,loss3_corr_domestic
2007-10,,0.0,,,,,loss3_corr_domestic
2007-11,,1.0,,,,,loss3_corr_domestic
2007-12,,0.0,,,,,loss3_corr_domestic
2008-01,,1.0,,,,,loss3_corr_domestic
2008-02,,0.0,,,,,loss3_corr_domestic
2008-03,,0.0,,,,,loss3_corr_domestic
2008-04,,0.0,,,,,loss3_corr_domestic
2008-05,,0.0,,,,,loss3_corr_domestic
2008-06,,0.0,,,,,loss3_corr_domestic
2008-07,,1.0,,,,,loss3_corr_domestic
2008-08,,0.0,,,,,loss3_corr_domestic
2008-09,,0.0,,,,,loss3_corr_domestic
2008-10,,1.0,,,,,loss3_corr_domestic
2008-11,,0.0,,,,,loss3_corr_domestic
2008-12,,0.0,,,,,loss3_corr_domestic
2009-01,,0.0,,,,,loss3_corr_domestic
2009-02,,0.0,,,,,loss3_corr_domestic
2009-03,,1.0,,,,,loss3_corr_domestic
2009-04,,1.0,,,,,loss3_corr_domestic
2009-05,,0.0,,,,,loss3_corr_domestic
2009-06,,0.0,,,,,loss3_corr_domestic
2009-07,,0.0,,,,,loss3_corr_domestic
2009-08,,0.0,,,,,loss3_corr_domestic
2009-09,,0.0,,,,,loss3_corr_domestic
2009-10,,0.0,,,,,loss3_corr_domestic
2009-11,,0.0,,,,,loss3_corr_domestic
2009-12,,0.0,,,,,loss3_corr_domestic
2010-01,,0.0,,,,,loss3_corr_domestic
2010-02,,0.0,,,,,loss3_corr_domestic
2010-03,,0.0,,,,,loss3_corr_domestic
2010-04,,0.0,,,,,loss3_corr_domestic
2010-05,0.21545707938379502,0.0,0.5,0.0,0.5,-0.0,loss3_corr_domestic
2010-06,0.18334971615529352,0.0,0.5,0.0,0.5,-0.0,loss3_corr_domestic
2010-07,0.1697129407734351,0.0,0.5,0.0,0.5,-0.0,loss3_corr_domestic
2010-08,0.1639450574961261,0.0,0.5,0.0,0.5,-0.0,loss3_corr_domestic
2010-09,0.12231773412544494,0.0,0.5,0.0,0.5,-0.0,loss3_corr_domestic
2010-10,0.10203432621897425,0.0,0.5,0.0,0.5,-0.0,loss3_corr_domestic
2010-11,0.07697012691348623,0.0,0.5,0.0,0.5,-0.0,loss3_corr_domestic
2010-12,0.09803548862583827,0.0,0.5,0.0,0.5,-0.0,loss3_corr_domestic
2011-01,0.14262552654670443,0.0,0.5,0.0,0.5,-0.0,loss3_corr_domestic
2011-02,0.13212641012830545,1.0,0.5,0.0,0.5,-0.0,loss3_corr_domestic
2011-03,0.4154736993990012,0.0,0.5,0.0,0.5,-0.0,loss3_corr_domestic
2011-04,0.4180053904954199,0.0,0.5,0.0,0.5,-0.0,loss3_corr_domestic
2011-05,0.48122024339862574,1.0,1.0,1.0,0.35,-1.0,loss3_corr_domestic
2011-06,0.38888122195943786,1.0,0.7857142857142857,0.0,0.5,-0.0,loss3_corr_domestic
2011-07,0.49551223184903564,0.0,1.0,1.0,0.35,-1.0,loss3_corr_domestic
2011-08,0.6425748396340669,0.0,1.0,1.0,0.35,-1.0,loss3_corr_domestic
