month,p_tail_raw,tail_event,risk_percentile,risk_severity,p_up,score,factor_name
2007-04,,0.0,,,,,loss3_structure_domestic
2007-05,,0.0,,,,,loss3_structure_domestic
2007-06,,0.0,,,,,loss3_structure_domestic
2007-07,,0.0,,,,,loss3_structure_domestic
2007-08,,0.0,,,,,loss3_structure_domestic
2007-09,,0.0,,,,,loss3_structure_domestic
2007-10,,0.0,,,,,loss3_structure_domestic
2007-11,,1.0,,,,,loss3_structure_domestic
2007-12,,0.0,,,,,loss3_structure_domestic
2008-01,,1.0,,,,,loss3_structure_domestic
2008-02,,0.0,,,,,loss3_structure_domestic
2008-03,,0.0,,,,,loss3_structure_domestic
2008-04,,0.0,,,,,loss3_structure_domestic
2008-05,,0.0,,,,,loss3_structure_domestic
2008-06,,0.0,,,,,loss3_structure_domestic
2008-07,,1.0,,,,,loss3_structure_domestic
2008-08,,0.0,,,,,loss3_structure_domestic
2008-09,,0.0,,,,,loss3_structure_domestic
2008-10,,1.0,,,,,loss3_structure_domestic
2008-11,,0.0,,,,,loss3_structure_domestic
2008-12,,0.0,,,,,loss3_structure_domestic
2009-01,,0.0,,,,,loss3_structure_domestic
2009-02,,0.0,,,,,loss3_structure_domestic
2009-03,,1.0,,,,,loss3_structure_domestic
2009-04,,1.0,,,,,loss3_structure_domestic
2009-05,,0.0,,,,,loss3_structure_domestic
2009-06,,0.0,,,,,loss3_structure_domestic
2009-07,,0.0,,,,,loss3_structure_domestic
2009-08,,0.0,,,,,loss3_structure_domestic
2009-09,,0.0,,,,,loss3_structure_domestic
2009-10,,0.0,,,,,loss3_structure_domestic
2009-11,,0.0,,,,,loss3_structure_domestic
2009-12,,0.0,,,,,loss3_structure_domestic
2010-01,,0.0,,,,,loss3_structure_domestic
2010-02,,0.0,,,,,loss3_structure_domestic
2010-03,,0.0,,,,,loss3_structure_domestic
2010-04,,0.0,,,,,loss3_structure_domestic
2010-05,0.20576691247097106,0.0,0.5,0.0,0.5,-0.0,loss3_structure_domestic
2010-06,0.2301430868343171,0.0,0.5,0.0,0.5,-0.0,loss3_structure_domestic
2010-07,0.2502706398003609,0.0,0.5,0.0,0.5,-0.0,loss3_structure_domestic
2010-08,0.25469718528018825,0.0,0.5,0.0,0.5,-0.0,loss3_structure_domestic
2010-09,0.2483543316280268,0.0,0.5,0.0,0.5,-0.0,loss3_structure_domestic
2010-10,0.16477418874288266,0.0,0.5,0.0,0.5,-0.0,loss3_structure_domestic
2010-11,0.1560085038637312,0.0,0.5,0.0,0.5,-0.0,loss3_structure_domestic
2010-12,0.17050386962651606,0.0,0.5,0.0,0.5,-0.0,loss3_structure_domestic
2011-01,0.15513238940524457,0.0,0.5,0.0,0.5,-0.0,loss3_structure_domestic
2011-02,0.13995365599667586,1.0,0.5,0.0,0.5,-0.0,loss3_structure_domestic
2011-03,0.4363951560670675,0.0,0.5,0.0,0.5,-0.0,loss3_structure_domestic
2011-04,0.4197045052816465,0.0,0.5,0.0,0.5,-0.0,loss3_structure_domestic
2011-05,0.2903014001251688,1.0,0.8461538461538461,0.23076923076923056,0.4653846153846154,-0.23076923076923056,loss3_structure_domestic
2011-06,0.18605976549439476,1.0,0.42857142857142855,0.0,0.5,-0.0,loss3_structure_domestic
2011-07,0.3051147096021252,0.0,0.8666666666666667,0.3333333333333333,0.45,-0.3333333333333333,loss3_structure_domestic
2011-08,0.712145163789423,0.0,1.0,1.0,0.35,-1.0,loss3_structure_domestic
2011-09,0.8452990711539381,0.0,1.0,1.0,0.35,-1.0,loss3_structure_domestic
2011-10,0.3748372209482173,0.0,0.7777777777777778,0.0,0.5,-0.0,loss3_structure_domestic
2011-11,0.269575852356463,0.0,0.631578947368421,0.0,0.5,-0.0,loss3_structure_domestic
2011-12,0.3259819272389018,1.0,0.75,0.0,0.5,-0.0,loss3_structure_domestic
