month,p_tail_raw,tail_event,risk_percentile,risk_severity,p_up,score,factor_name
2007-04,,0.0,,,,,oap_lowrisk_domestic
2007-05,,0.0,,,,,oap_lowrisk_domestic
2007-06,,0.0,,,,,oap_lowrisk_domestic
2007-07,,0.0,,,,,oap_lowrisk_domestic
2007-08,,0.0,,,,,oap_lowrisk_domestic
2007-09,,0.0,,,,,oap_lowrisk_domestic
2007-10,,0.0,,,,,oap_lowrisk_domestic
2007-11,,1.0,,,,,oap_lowrisk_domestic
2007-12,,0.0,,,,,oap_lowrisk_domestic
2008-01,,1.0,,,,,oap_lowrisk_domestic
2008-02,,0.0,,,,,oap_lowrisk_domestic
2008-03,,0.0,,,,,oap_lowrisk_domestic
2008-04,,0.0,,,,,oap_lowrisk_domestic
2008-05,,0.0,,,,,oap_lowrisk_domestic
2008-06,,0.0,,,,,oap_lowrisk_domestic
2008-07,,1.0,,,,,oap_lowrisk_domestic
2008-08,,0.0,,,,,oap_lowrisk_domestic
2008-09,,0.0,,,,,oap_lowrisk_domestic
2008-10,,1.0,,,,,oap_lowrisk_domestic
2008-11,,0.0,,,,,oap_lowrisk_domestic
2008-12,,0.0,,,,,oap_lowrisk_domestic
2009-01,,0.0,,,,,oap_lowrisk_domestic
2009-02,,0.0,,,,,oap_lowrisk_domestic
2009-03,,1.0,,,,,oap_lowrisk_domestic
2009-04,,1.0,,,,,oap_lowrisk_domestic
2009-05,,0.0,,,,,oap_lowrisk_domestic
2009-06,,0.0,,,,,oap_lowrisk_domestic
2009-07,,0.0,,,,,oap_lowrisk_domestic
2009-08,,0.0,,,,,oap_lowrisk_domestic
2009-09,,0.0,,,,,oap_lowrisk_domestic
2009-10,,0.0,,,,,oap_lowrisk_domestic
2009-11,,0.0,,,,,oap_lowrisk_domestic
2009-12,,0.0,,,,,oap_lowrisk_domestic
2010-01,,0.0,,,,,oap_lowrisk_domestic
2010-02,,0.0,,,,,oap_lowrisk_domestic
2010-03,,0.0,,,,,oap_lowrisk_domestic
2010-04,,0.0,,,,,oap_lowrisk_domestic
2010-05,0.12132228482733423,0.0,0.5,0.0,0.5,-0.0,oap_lowrisk_domestic
2010-06,0.14855085279682445,0.0,0.5,0.0,0.5,-0.0,oap_lowrisk_domestic
2010-07,0.1450737797946798,0.0,0.5,0.0,0.5,-0.0,oap_lowrisk_domestic
2010-08,0.18028429623185213,0.0,0.5,0.0,0.5,-0.0,oap_lowrisk_domestic
2010-09,0.16935081809227925,0.0,0.5,0.0,0.5,-0.0,oap_lowrisk_domestic
2010-10,0.18031742775964396,0.0,0.5,0.0,0.5,-0.0,oap_lowrisk_domestic
2010-11,0.1658616069248763,0.0,0.5,0.0,0.5,-0.0,oap_lowrisk_domestic
2010-12,0.1932654643750874,0.0,0.5,0.0,0.5,-0.0,oap_lowrisk_domestic
2011-01,0.22958471566954214,0.0,0.5,0.0,0.5,-0.0,oap_lowrisk_domestic
2011-02,0.20033884845839828,1.0,0.5,0.0,0.5,-0.0,oap_lowrisk_domestic
2011-03,0.43176846707970085,0.0,0.5,0.0,0.5,-0.0,oap_lowrisk_domestic
2011-04,0.4108624856218498,0.0,0.5,0.0,0.5,-0.0,oap_lowrisk_domestic
2011-05,0.384889032227957,1.0,0.8461538461538461,0.23076923076923056,0.4653846153846154,-0.23076923076923056,oap_lowrisk_domestic
2011-06,0.28077066217342095,1.0,0.7857142857142857,0.0,0.5,-0.0,oap_lowrisk_domestic
2011-07,0.3493485392617129,0.0,0.8,0.0,0.5,-0.0,oap_lowrisk_domestic
2011-08,0.5701587626299912,0.0,1.0,1.0,0.35,-1.0,oap_lowrisk_domestic
2011-09,0.7374627735609262,0.0,1.0,1.0,0.35,-1.0,oap_lowrisk_domestic
2011-10,0.6837060552928417,0.0,0.9444444444444444,0.722222222222222,0.3916666666666667,-0.722222222222222,oap_lowrisk_domestic
2011-11,0.4788204918861154,0.0,0.8421052631578947,0.21052631578947328,0.468421052631579,-0.21052631578947328,oap_lowrisk_domestic
2011-12,0.4808101687516844,1.0,0.85,0.24999999999999972,0.4625,-0.24999999999999972,oap_lowrisk_domestic
2012-01,0.44320526476378325,0.0,0.7619047619047619,0.0,0.5,-0.0,oap_lowrisk_domestic
2012-02,0.5156590402721802,0.0,0.8636363636363636,0.31818181818181807,0.45227272727272727,-0.31818181818181807,oap_lowrisk_domestic
2012-03,0.27276026615733684,0.0,0.4782608695652174,0.0,0.5,-0.0,oap_lowrisk_domestic
2012-04,0.270310737607582,0.0,0.4583333333333333,0.0,0.5,-0.0,oap_lowrisk_domestic
2012-05,0.24218514094320867,0.0,0.44,0.0,0.5,-0.0,oap_lowrisk_domestic
2012-06,0.23575087757993857,0.0,0.4230769230769231,0.0,0.5,-0.0,oap_lowrisk_domestic
2012-07,0.2406507693711513,0.0,0.4444444444444444,0.0,0.5,-0.0,oap_lowrisk_domestic
2012-08,0.22686493046110726,0.0,0.35714285714285715,0.0,0.5,-0.0,oap_lowrisk_domestic
2012-09,0.2141590923074039,0.0,0.3448275862068966,0.0,0.5,-0.0,oap_lowrisk_domestic
2012-10,0.23726760946280928,0.0,0.4666666666666667,0.0,0.5,-0.0,oap_lowrisk_domestic
2012-11,0.2174551989812888,0.0,0.3548387096774194,0.0,0.5,-0.0,oap_lowrisk_domestic
2012-12,0.23285033550055242,0.0,0.4375,0.0,0.5,-0.0,oap_lowrisk_domestic
2013-01,0.2232090397708764,0.0,0.36363636363636365,0.0,0.5,-0.0,oap_lowrisk_domestic
2013-02,0.21308912959148085,0.0,0.29411764705882354,0.0,0.5,-0.0,oap_lowrisk_domestic
2013-03,0.2166825864762171,0.0,0.34285714285714286,0.0,0.5,-0.0,oap_lowrisk_domestic
2013-04,0.20126166461326017,0.0,0.2777777777777778,0.0,0.5,-0.0,oap_lowrisk_domestic
2013-05,0.2048796990194758,0.0,0.2972972972972973,0.0,0.5,-0.0,oap_lowrisk_domestic
2013-06,0.19580770558848315,1.0,0.23684210526315788,0.0,0.5,-0.0,oap_lowrisk_domestic
2013-07,0.20087193478573126,0.0,0.28205128205128205,0.0,0.5,-0.0,oap_lowrisk_domestic
2013-08,0.28248834697882214,0.0,0.725,0.0,0.5,-0.0,oap_lowrisk_domestic
2013-09,0.26990573332656675,0.0,0.6341463414634146,0.0,0.5,-0.0,oap_lowrisk_domestic
2013-10,0.25965810751141627,0.0,0.6190476190476191,0.0,0.5,-0.0,oap_lowrisk_domestic
2013-11,0.24241362152353488,0.0,0.6046511627906976,0.0,0.5,-0.0,oap_lowrisk_domestic
2013-12,0.2617132788683469,0.0,0.6363636363636364,0.0,0.5,-0.0,oap_lowrisk_domestic
2014-01,0.27226523859342305,0.0,0.6888888888888889,0.0,0.5,-0.0,oap_lowrisk_domestic
2014-02,0.27946662518253707,0.0,0.717391304347826,0.0,0.5,-0.0,oap_lowrisk_domestic
2014-03,0.2487919781698526,0.0,0.574468085106383,0.0,0.5,-0.0,oap_lowrisk_domestic
2014-04,0.24093349606793565,0.0,0.5208333333333334,0.0,0.5,-0.0,oap_lowrisk_domestic
2014-05,0.20414996904144758,0.0,0.2653061224489796,0.0,0.5,-0.0,oap_lowrisk_domestic
2014-06,0.21819792688299688,0.0,0.38,0.0,0.5,-0.0,oap_lowrisk_domestic
2014-07,0.2214993847311349,0.0,0.39215686274509803,0.0,0.5,-0.0,oap_lowrisk_domestic
2014-08,0.24051743158986966,0.0,0.5192307692307693,0.0,0.5,-0.0,oap_lowrisk_domestic
2014-09,0.25918521571419284,0.0,0.6226415094339622,0.0,0.5,-0.0,oap_lowrisk_domestic
2014-10,0.19695891618651468,0.0,0.18518518518518517,0.0,0.5,-0.0,oap_lowrisk_domestic
2014-11,0.21256100620058316,0.0,0.2909090909090909,0.0,0.5,-0.0,oap_lowrisk_domestic
2014-12,0.25436061259042303,0.0,0.625,0.0,0.5,-0.0,oap_lowrisk_domestic
2015-01,0.2431585679468498,0.0,0.5964912280701754,0.0,0.5,-0.0,oap_lowrisk_domestic
2015-02,0.25401830291344574,0.0,0.6206896551724138,0.0,0.5,-0.0,oap_lowrisk_domestic
2015-03,0.24136849522350268,0.0,0.5423728813559322,0.0,0.5,-0.0,oap_lowrisk_domestic
2015-04,0.26075518243116713,0.0,0.6833333333333333,0.0,0.5,-0.0,oap_lowrisk_domestic
2015-05,0.272963336863174,0.0,0.7704918032786885,0.0,0.5,-0.0,oap_lowrisk_domestic
2015-06,0.2826752257904397,0.0,0.819672131147541,0.09836065573770483,0.4852459016393443,-0.09836065573770483,oap_lowrisk_domestic
2015-07,0.29535895033647613,0.0,0.819672131147541,0.09836065573770483,0.4852459016393443,-0.09836065573770483,oap_lowrisk_domestic
2015-08,0.31238498514257645,0.0,0.819672131147541,0.09836065573770483,0.4852459016393443,-0.09836065573770483,oap_lowrisk_domestic
2015-09,0.28919115215882557,0.0,0.7868852459016393,0.0,0.5,-0.0,oap_lowrisk_domestic
2015-10,0.2764839338389386,0.0,0.7049180327868853,0.0,0.5,-0.0,oap_lowrisk_domestic
2015-11,0.24009289358145683,0.0,0.3770491803278688,0.0,0.5,-0.0,oap_lowrisk_domestic
2015-12,0.23232120066049006,0.0,0.3114754098360656,0.0,0.5,-0.0,oap_lowrisk_domestic
