month,risk_severity,p_up,score,factor_name
2007-04,,,,blend_0.75
2007-05,,,,blend_0.75
2007-06,,,,blend_0.75
2007-07,,,,blend_0.75
2007-08,,,,blend_0.75
2007-09,,,,blend_0.75
2007-10,,,,blend_0.75
2007-11,,,,blend_0.75
2007-12,,,,blend_0.75
2008-01,,,,blend_0.75
2008-02,,,,blend_0.75
2008-03,,,,blend_0.75
2008-04,,,,blend_0.75
2008-05,,,,blend_0.75
2008-06,,,,blend_0.75
2008-07,,,,blend_0.75
2008-08,,,,blend_0.75
2008-09,,,,blend_0.75
2008-10,,,,blend_0.75
2008-11,,,,blend_0.75
2008-12,,,,blend_0.75
2009-01,,,,blend_0.75
2009-02,,,,blend_0.75
2009-03,,,,blend_0.75
2009-04,,,,blend_0.75
2009-05,,,,blend_0.75
2009-06,,,,blend_0.75
2009-07,,,,blend_0.75
2009-08,,,,blend_0.75
2009-09,,,,blend_0.75
2009-10,,,,blend_0.75
2009-11,,,,blend_0.75
2009-12,,,,blend_0.75
2010-01,,,,blend_0.75
2010-02,,,,blend_0.75
2010-03,,,,blend_0.75
2010-04,,,,blend_0.75
2010-05,0.0,0.5,-0.0,blend_0.75
2010-06,0.0,0.5,-0.0,blend_0.75
2010-07,0.0,0.5,-0.0,blend_0.75
2010-08,0.0,0.5,-0.0,blend_0.75
2010-09,0.0,0.5,-0.0,blend_0.75
2010-10,0.0,0.5,-0.0,blend_0.75
2010-11,0.0,0.5,-0.0,blend_0.75
2010-12,0.0,0.5,-0.0,blend_0.75
2011-01,0.0,0.5,-0.0,blend_0.75
2011-02,0.0,0.5,-0.0,blend_0.75
2011-03,0.0,0.5,-0.0,blend_0.75
2011-04,0.0,0.5,-0.0,blend_0.75
2011-05,0.7115384615384616,0.39326923076923076,-0.7115384615384616,blend_0.75
2011-06,0.0,0.5,-0.0,blend_0.75
2011-07,0.08333333333333331,0.4875,-0.08333333333333331,blend_0.75
2011-08,1.0,0.35,-1.0,blend_0.75
2011-09,1.0,0.35,-1.0,blend_0.75
2011-10,0.8611111111111109,0.37083333333333335,-0.8611111111111109,blend_0.75
2011-11,0.35526315789473684,0.44671052631578945,-0.35526315789473684,blend_0.75
2011-12,0.1874999999999999,0.47187500000000004,-0.1874999999999999,blend_0.75
2012-01,0.0,0.5,-0.0,blend_0.75
2012-02,0.23863636363636367,0.4642045454545455,-0.23863636363636367,blend_0.75
2012-03,0.0,0.5,-0.0,blend_0.75
2012-04,0.0,0.5,-0.0,blend_0.75
2012-05,0.0,0.5,-0.0,blend_0.75
2012-06,0.0,0.5,-0.0,blend_0.75
2012-07,0.0,0.5,-0.0,blend_0.75
2012-08,0.0,0.5,-0.0,blend_0.75
2012-09,0.0,0.5,-0.0,blend_0.75
2012-10,0.0,0.5,-0.0,blend_0.75
2012-11,0.0,0.5,-0.0,blend_0.75
2012-12,0.0,0.5,-0.0,blend_0.75
2013-01,0.0,0.5,-0.0,blend_0.75
2013-02,0.0,0.5,-0.0,blend_0.75
2013-03,0.0,0.5,-0.0,blend_0.75
2013-04,0.0,0.5,-0.0,blend_0.75
2013-05,0.0,0.5,-0.0,blend_0.75
2013-06,0.0,0.5,-0.0,blend_0.75
2013-07,0.0,0.5,-0.0,blend_0.75
2013-08,0.0,0.5,-0.0,blend_0.75
2013-09,0.0,0.5,-0.0,blend_0.75
2013-10,0.0,0.5,-0.0,blend_0.75
2013-11,0.0,0.5,-0.0,blend_0.75
2013-12,0.0,0.5,-0.0,blend_0.75
2014-01,0.0,0.5,-0.0,blend_0.75
2014-02,0.0,0.5,-0.0,blend_0.75
2014-03,0.010638297872340349,0.49840425531914895,-0.010638297872340349,blend_0.75
2014-04,0.0,0.5,-0.0,blend_0.75
2014-05,0.0,0.5,-0.0,blend_0.75
2014-06,0.0,0.5,-0.0,blend_0.75
2014-07,0.0,0.5,-0.0,blend_0.75
2014-08,0.0,0.5,-0.0,blend_0.75
2014-09,0.0,0.5,-0.0,blend_0.75
2014-10,0.0,0.5,-0.0,blend_0.75
2014-11,0.0,0.5,-0.0,blend_0.75
2014-12,0.004464285714285698,0.4993303571428571,-0.004464285714285698,blend_0.75
2015-01,0.0,0.5,-0.0,blend_0.75
2015-02,0.012931034482758508,0.4980603448275862,-0.012931034482758508,blend_0.75
2015-03,0.0,0.5,-0.0,blend_0.75
2015-04,0.0,0.5,-0.0,blend_0.75
2015-05,0.08606557377049184,0.4870901639344262,-0.08606557377049184,blend_0.75
2015-06,0.0,0.5,-0.0,blend_0.75
2015-07,0.0,0.5,-0.0,blend_0.75
2015-08,0.0,0.5,-0.0,blend_0.75
2015-09,0.0,0.5,-0.0,blend_0.75
2015-10,0.0,0.5,-0.0,blend_0.75
2015-11,0.0,0.5,-0.0,blend_0.75
2015-12,0.0,0.5,-0.0,blend_0.75
2016-01,0.0,0.5,-0.0,blend_0.75
2016-02,0.0,0.5,-0.0,blend_0.75
2016-03,0.0,0.5,-0.0,blend_0.75
2016-04,0.5491803278688524,0.41762295081967216,-0.5491803278688524,blend_0.75
2016-05,0.12704918032786885,0.4809426229508197,-0.12704918032786885,blend_0.75
2016-06,0.0,0.5,-0.0,blend_0.75
2016-07,0.0,0.5,-0.0,blend_0.75
