month,risk_severity,trend_score,score,p_up,factor_name
2007-04,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2007-05,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2007-06,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2007-07,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2007-08,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2007-09,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2007-10,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2007-11,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2007-12,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2008-01,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2008-02,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2008-03,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2008-04,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2008-05,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2008-06,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2008-07,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2008-08,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2008-09,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2008-10,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2008-11,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2008-12,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2009-01,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2009-02,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2009-03,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2009-04,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2009-05,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2009-06,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2009-07,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2009-08,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2009-09,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2009-10,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2009-11,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2009-12,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2010-01,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2010-02,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2010-03,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2010-04,0.0,-0.6923076923076921,0.0,0.5,risk_override_risk_on_only_0.00
2010-05,0.0,-0.42857142857142855,0.0,0.5,risk_override_risk_on_only_0.00
2010-06,0.0,-0.33333333333333326,0.0,0.5,risk_override_risk_on_only_0.00
2010-07,0.0,-0.5000000000000001,0.0,0.5,risk_override_risk_on_only_0.00
2010-08,0.0,-0.2941176470588236,0.0,0.5,risk_override_risk_on_only_0.00
2010-09,0.0,-0.22222222222222218,0.0,0.5,risk_override_risk_on_only_0.00
2010-10,0.0,-0.4736842105263158,0.0,0.5,risk_override_risk_on_only_0.00
2010-11,0.0,0.0,0.0,0.5,risk_override_risk_on_only_0.00
2010-12,0.0,0.04761904761904745,0.0,0.5,risk_override_risk_on_only_0.00
2011-01,0.0,0.36363636363636376,0.0,0.5,risk_override_risk_on_only_0.00
2011-02,0.0,0.6521739130434783,0.0,0.5,risk_override_risk_on_only_0.00
2011-03,0.0,0.6666666666666665,0.0,0.5,risk_override_risk_on_only_0.00
2011-04,0.0,-0.76,0.0,0.5,risk_override_risk_on_only_0.00
2011-05,1.0,-0.38461538461538475,-1.0,0.35,risk_override_risk_on_only_0.00
2011-06,0.0,0.33333333333333365,0.0,0.5,risk_override_risk_on_only_0.00
2011-07,0.33333333333333326,-0.8571428571428571,-0.33333333333333326,0.45,risk_override_risk_on_only_0.00
2011-08,1.0,-0.7241379310344828,-1.0,0.35,risk_override_risk_on_only_0.00
2011-09,1.0,-0.46666666666666673,-1.0,0.35,risk_override_risk_on_only_0.00
2011-10,0.444444444444444,-0.8709677419354838,-0.444444444444444,0.4333333333333334,risk_override_risk_on_only_0.00
2011-11,0.0,-0.8749999999999999,0.0,0.5,risk_override_risk_on_only_0.00
2011-12,0.0,-0.7575757575757577,0.0,0.5,risk_override_risk_on_only_0.00
2012-01,0.0,-0.823529411764706,0.0,0.5,risk_override_risk_on_only_0.00
2012-02,0.0,-0.8285714285714285,0.0,0.5,risk_override_risk_on_only_0.00
2012-03,0.0,-0.6111111111111112,0.0,0.5,risk_override_risk_on_only_0.00
2012-04,0.0,-0.4054054054054054,0.0,0.5,risk_override_risk_on_only_0.00
2012-05,0.0,-0.6315789473684208,0.0,0.5,risk_override_risk_on_only_0.00
2012-06,0.0,-0.5897435897435899,0.0,0.5,risk_override_risk_on_only_0.00
2012-07,0.0,-0.6500000000000002,0.0,0.5,risk_override_risk_on_only_0.00
2012-08,0.0,-0.7073170731707317,0.0,0.5,risk_override_risk_on_only_0.00
2012-09,0.0,-0.6190476190476191,0.0,0.5,risk_override_risk_on_only_0.00
2012-10,0.0,-0.4418604651162791,0.0,0.5,risk_override_risk_on_only_0.00
2012-11,0.0,-0.40909090909090895,0.0,0.5,risk_override_risk_on_only_0.00
2012-12,0.0,-0.2888888888888889,0.0,0.5,risk_override_risk_on_only_0.00
2013-01,0.0,-0.3478260869565216,0.0,0.5,risk_override_risk_on_only_0.00
2013-02,0.0,0.23404255319148914,0.0,0.5,risk_override_risk_on_only_0.00
2013-03,0.0,-0.4583333333333332,0.0,0.5,risk_override_risk_on_only_0.00
2013-04,0.0,-0.42857142857142855,0.0,0.5,risk_override_risk_on_only_0.00
2013-05,0.0,-0.08000000000000007,0.0,0.5,risk_override_risk_on_only_0.00
2013-06,0.0,0.019607843137254832,0.0,0.5,risk_override_risk_on_only_0.00
2013-07,0.0,0.11538461538461572,0.0,0.5,risk_override_risk_on_only_0.00
2013-08,0.0,-0.39622641509433953,0.0,0.5,risk_override_risk_on_only_0.00
2013-09,0.0,-0.2962962962962964,0.0,0.5,risk_override_risk_on_only_0.00
2013-10,0.0,-0.5999999999999999,0.0,0.5,risk_override_risk_on_only_0.00
2013-11,0.0,0.46428571428571414,0.0,0.5,risk_override_risk_on_only_0.00
2013-12,0.0,0.19298245614035076,0.0,0.5,risk_override_risk_on_only_0.00
2014-01,0.0,0.6551724137931036,0.0,0.5,risk_override_risk_on_only_0.00
2014-02,0.0,-0.050847457627118585,0.0,0.5,risk_override_risk_on_only_0.00
2014-03,0.042553191489361396,-0.36666666666666664,-0.042553191489361396,0.4936170212765958,risk_override_risk_on_only_0.00
2014-04,0.0,-0.6393442622950822,0.0,0.5,risk_override_risk_on_only_0.00
2014-05,0.0,-0.7049180327868854,0.0,0.5,risk_override_risk_on_only_0.00
2014-06,0.0,-0.6393442622950822,0.0,0.5,risk_override_risk_on_only_0.00
2014-07,0.0,0.016393442622950616,0.0,0.5,risk_override_risk_on_only_0.00
2014-08,0.0,0.180327868852459,0.0,0.5,risk_override_risk_on_only_0.00
2014-09,0.0,0.6065573770491802,0.0,0.5,risk_override_risk_on_only_0.00
2014-10,0.0,0.3770491803278686,0.0,0.5,risk_override_risk_on_only_0.00
2014-11,0.0,-0.4754098360655738,0.0,0.5,risk_override_risk_on_only_0.00
2014-12,0.017857142857142794,-0.5081967213114754,-0.017857142857142794,0.4973214285714286,risk_override_risk_on_only_0.00
2015-01,0.0,-0.7049180327868854,0.0,0.5,risk_override_risk_on_only_0.00
2015-02,0.05172413793103403,-0.8032786885245902,-0.05172413793103403,0.4922413793103449,risk_override_risk_on_only_0.00
2015-03,0.0,-0.7377049180327866,0.0,0.5,risk_override_risk_on_only_0.00
2015-04,0.0,-0.1147540983606558,0.0,0.5,risk_override_risk_on_only_0.00
2015-05,0.3442622950819674,0.3770491803278686,-0.3442622950819674,0.4483606557377049,risk_override_risk_on_only_0.00
2015-06,0.0,1.0,0.0,0.5,risk_override_risk_on_only_0.00
2015-07,0.0,0.901639344262295,0.0,0.5,risk_override_risk_on_only_0.00
2015-08,0.0,0.901639344262295,0.0,0.5,risk_override_risk_on_only_0.00
2015-09,0.0,-0.7377049180327866,0.0,0.5,risk_override_risk_on_only_0.00
2015-10,0.0,-0.9672131147540982,0.0,0.5,risk_override_risk_on_only_0.00
2015-11,0.0,-0.8360655737704918,0.0,0.5,risk_override_risk_on_only_0.00
2015-12,0.0,-0.6721311475409838,0.0,0.5,risk_override_risk_on_only_0.00
2016-01,0.0,-0.7049180327868854,0.0,0.5,risk_override_risk_on_only_0.00
2016-02,0.0,-0.901639344262295,0.0,0.5,risk_override_risk_on_only_0.00
2016-03,0.0,-0.6065573770491802,0.0,0.5,risk_override_risk_on_only_0.00
2016-04,0.918032786885246,-0.8688524590163934,-0.918032786885246,0.3622950819672131,risk_override_risk_on_only_0.00
2016-05,0.5081967213114754,-0.5737704918032787,-0.5081967213114754,0.4237704918032787,risk_override_risk_on_only_0.00
2016-06,0.0,-0.2459016393442622,0.0,0.5,risk_override_risk_on_only_0.00
2016-07,0.0,-0.4098360655737706,0.0,0.5,risk_override_risk_on_only_0.00
2016-08,0.0,-0.21311475409836061,0.0,0.5,risk_override_risk_on_only_0.00
2016-09,0.0,0.934426229508197,0.0,0.5,risk_override_risk_on_only_0.00
2016-10,0.8360655737704922,0.540983606557377,-0.8360655737704922,0.3745901639344262,risk_override_risk_on_only_0.00
2016-11,0.918032786885246,-0.016393442622950987,-0.918032786885246,0.3622950819672131,risk_override_risk_on_only_0.00
2016-12,0.918032786885246,-0.1475409836065574,-0.918032786885246,0.3622950819672131,risk_override_risk_on_only_0.00
2017-01,0.8360655737704922,0.1147540983606558,-0.8360655737704922,0.3745901639344262,risk_override_risk_on_only_0.00
2017-02,0.7540983606557372,0.8032786885245906,-0.7540983606557372,0.3868852459016394,risk_override_risk_on_only_0.00
2017-03,1.0,0.1147540983606558,-1.0,0.35,risk_override_risk_on_only_0.00
2017-04,0.7540983606557372,0.3114754098360654,-0.7540983606557372,0.3868852459016394,risk_override_risk_on_only_0.00
2017-05,0.8360655737704922,0.901639344262295,-0.8360655737704922,0.3745901639344262,risk_override_risk_on_only_0.00
2017-06,0.918032786885246,1.0,-0.918032786885246,0.3622950819672131,risk_override_risk_on_only_0.00
2017-07,0.26229508196721285,1.0,-0.26229508196721285,0.4606557377049181,risk_override_risk_on_only_0.00
2017-08,0.0,0.9672131147540982,0.0,0.5,risk_override_risk_on_only_0.00
2017-09,0.0983606557377048,0.934426229508197,-0.0983606557377048,0.4852459016393443,risk_override_risk_on_only_0.00
2017-10,0.26229508196721285,0.8688524590163937,-0.26229508196721285,0.4606557377049181,risk_override_risk_on_only_0.00
2017-11,0.42622950819672123,0.8688524590163937,-0.42622950819672123,0.4360655737704918,risk_override_risk_on_only_0.00
2017-12,0.5901639344262299,0.901639344262295,-0.5901639344262299,0.4114754098360655,risk_override_risk_on_only_0.00
2018-01,0.26229508196721285,0.8360655737704918,-0.26229508196721285,0.4606557377049181,risk_override_risk_on_only_0.00
2018-02,0.42622950819672123,0.8032786885245906,-0.42622950819672123,0.4360655737704918,risk_override_risk_on_only_0.00
2018-03,0.0,0.9672131147540982,0.0,0.5,risk_override_risk_on_only_0.00
2018-04,0.0,0.6721311475409835,0.0,0.5,risk_override_risk_on_only_0.00
2018-05,0.0,0.6393442622950822,0.0,0.5,risk_override_risk_on_only_0.00
2018-06,0.3442622950819674,0.016393442622950616,-0.3442622950819674,0.4483606557377049,risk_override_risk_on_only_0.00
2018-07,0.7540983606557372,-0.3114754098360654,-0.7540983606557372,0.3868852459016394,risk_override_risk_on_only_0.00
2018-08,0.0,-0.9672131147540982,0.0,0.5,risk_override_risk_on_only_0.00
2018-09,0.0,-0.934426229508197,0.0,0.5,risk_override_risk_on_only_0.00
2018-10,0.0,-0.8688524590163934,0.0,0.5,risk_override_risk_on_only_0.00
2018-11,0.42622950819672123,-0.934426229508197,-0.42622950819672123,0.4360655737704918,risk_override_risk_on_only_0.00
