month,return,baseline_return,option_return,baseline_holding_growth,option_holding_growth,option_relative_factor,signal_intensity,w_existing_four_asset_sleeve,w_KOSPI200_put_option,option_reallocation_cost,option_trade_available,nav,drawdown
2007-04,0.02241897091266276,0.0224189709126627,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,1.0224189709126628,0.0
2007-05,0.08336920182631546,0.0833692018263154,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,1.1076572244497342,0.0
2007-06,0.010263080953789805,0.0102630809537898,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,1.119025200213312,0.0
2007-07,0.11143622881999349,0.1114362288199934,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,1.2437251484796217,0.0
2007-08,-0.005908962706978049,-0.0059089627069781,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,1.2363760229595249,-0.005908962706978049
2007-09,0.05571253401086884,0.0557125340108688,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,1.3052576641888802,0.0
2007-10,0.06029561256970495,0.0602956125697049,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,1.383958974612451,0.0
2007-11,-0.06579651802780273,-0.0646118897587352,-0.4507033248081841,1.001679595588246,0.5492966751918159,0.9987335435889152,0.5571502526187276,0.9972142487369063,0.0027857512630936384,8.357253789280915e-06,True,1.2928992929896235,-0.06579651802780273
2007-12,0.06759547437889113,0.0675954743788911,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,1.38029343402339,-0.002648590497480119
2008-01,-0.01976220364017167,-0.0197622036401717,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,1.353015794097028,-0.022358452152881236
2008-02,0.07057183016308222,0.0705718301630822,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,1.4485005949260112,0.0
2008-03,0.007882935076203967,0.0078829350762039,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,1.4599190310736558,0.0
2008-04,0.07570747682983336,0.0757074768298333,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,1.5704458172920974,0.0
2008-05,0.0700801499129915,0.0700801499129915,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,1.680502895598158,0.0
2008-06,0.07188988535100993,0.0718898853510099,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,1.8013140560947498,0.0
2008-07,-0.09430583802575365,-0.0943058380257537,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,1.631439624487165,-0.09430583802575365
2008-08,-0.03493242945476782,-0.0349324294547678,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,1.5744494748950542,-0.12594393544651405
2008-09,0.1324265243324192,0.1324265243324192,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,1.7829483465924088,-0.010195728746023258
2008-10,-0.09506012393327834,-0.0950601239332783,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,1.6134610557987006,-0.10428664544111466
2008-11,0.12831149935486197,0.1283114993548619,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,1.8204866630189105,0.0
2008-12,0.028092160494713525,0.0280921604947135,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,1.8716280665349232,0.0
2009-01,0.05012764155019256,0.0504360067818869,-0.24625923922841175,0.9986280109178027,0.7537407607715882,0.9997064407258477,0.23652407605487175,0.9988173796197256,0.0011826203802743588,3.5478611408230763e-06,True,1.9654483673694658,0.0
2009-02,0.08393824188018373,0.0839382418801837,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,2.1304246478327364,0.0
2009-03,-0.06132132085029163,-0.0613213208502916,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,1.9997841944556156,-0.06132132085029163
2009-04,-0.04442534777977214,-0.0440244887992326,-0.4766243107168544,1.011299343530995,0.5233756892831456,0.9995806807017096,0.17275897277374996,0.9991362051361312,0.0008637948638687498,2.5913845916062494e-06,True,1.9109430861324335,-0.10302244762497459
2009-05,0.010609473023794447,0.0106094730237944,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,1.931217185254762,-0.09350598848010261
2009-06,-0.005682879808580732,-0.0056828798085807,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,1.9202423101066934,-0.09865748499476845
2009-07,0.05632539798559821,0.0563253979855982,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,2.0284007224522376,-0.04788900911575866
2009-08,0.009306334630032387,0.0093063346300323,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,2.0472776983391774,-0.03902834562965829
2009-09,0.0310236750157169,0.0310236750157169,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,2.110791776319377,-0.009215473325156931
2009-10,-0.024437873055763726,-0.024332700110672,-0.47416020671834624,0.9946855749712973,0.5258397932816538,0.9998922040893411,0.04544833991706357,0.9997727583004147,0.00022724169958531783,6.817250987559535e-07,True,2.0592085148425343,-0.03342813981365156
2009-11,0.0325632758661869,0.0325632758661869,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,2.126263089777353,-0.0019533936859099654
2009-12,0.03727084346753773,0.0372708434675377,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,2.205510708567248,0.0
2010-01,-0.026993986444150075,-0.0269939864441501,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,False,2.1459751823977555,-0.026993986444150186
