target_month,signal_month,signal_date,p_up,feature_variant,score,realized_10d_return,realized_up,hmm_score,train_rows,feature_count,best_iteration
2005-01,2004-12,2004-12-30,0.6779685738553368,kr_plus_global,1.0,0.022299349240780808,1.0,,1217,53,19
2005-02,2005-01,2005-01-31,0.5772337230550224,kr_plus_global,0.5148914870334828,0.04022798612258405,1.0,,1238,53,17
2005-03,2005-02,2005-02-28,0.4815064237430667,kr_plus_global,-0.12329050837955546,-0.02216278181123421,0.0,0.9999999999825491,1255,53,11
2005-04,2005-03,2005-03-31,0.6140271961975434,kr_plus_global,0.7601813079836228,-0.018993428434043946,0.0,-0.00023083114837058882,1277,53,11
2005-05,2005-04,2005-04-29,0.5056659399458198,kr_plus_global,0.037772932972131766,0.01760503486987597,1.0,0.003109370860572214,1297,53,5
2005-06,2005-05,2005-05-31,0.44599434193879683,kr_plus_global,-0.3600377204080211,0.035485421339314316,1.0,0.9999664066365836,1318,53,54
2005-07,2005-06,2005-06-30,0.4657110344434014,kr_plus_global,-0.22859310371065739,0.058332689484663414,1.0,0.9999005748891141,1339,53,23
2005-08,2005-07,2005-07-29,0.5214613975035269,kr_plus_global,0.14307598335684624,0.018978509628802653,1.0,0.9999999998995008,1360,53,1
2005-09,2005-08,2005-08-31,0.6776462378712256,kr_plus_global,1.0,0.08523092297808543,1.0,-0.00013627846646810957,1382,53,31
2005-10,2005-09,2005-09-30,0.51318396950086,kr_plus_global,0.08789313000573322,-0.0425261821643923,0.0,0.9999999906875132,1403,53,7
2005-11,2005-10,2005-10-31,0.6064770318273788,kr_plus_global,0.7098468788491918,0.0885514646600376,1.0,-0.008730468289333089,1423,53,7
2005-12,2005-11,2005-11-30,0.539858555521394,kr_plus_global,0.26572370347595964,0.03133473937933129,1.0,0.9999972306316329,1445,53,4
2006-01,2005-12,2005-12-29,0.5289717379845225,kr_plus_global,0.19314491989681642,0.02412218903229424,1.0,0.9999997980020998,1466,53,33
2006-02,2006-01,2006-01-31,0.5407602975910807,kr_plus_global,0.27173531727387124,-0.04982009410462218,0.0,0.02654279328986074,1487,53,1
2006-03,2006-02,2006-02-28,0.6371737187210733,kr_plus_global,0.9144914581404888,-0.029134967596506023,0.0,7.47309156851669e-07,1507,53,33
2006-04,2006-03,2006-03-31,0.6124666492849677,kr_plus_global,0.749777661899785,0.05368594290902884,1.0,0.8639860904184854,1529,53,33
2006-05,2006-04,2006-04-28,0.5301039624892889,kr_plus_global,0.2006930832619262,-0.027702335687126545,0.0,0.9998796061211602,1549,53,38
2006-06,2006-05,2006-05-30,0.6243674393753474,kr_plus_global,0.8291162625023163,-0.07981989357347508,0.0,-0.005232718096431224,1569,53,36
2006-07,2006-06,2006-06-30,0.45149291799104774,kr_plus_global,-0.3233805467263484,-0.030576291430277625,0.0,-0.8830777064820114,1590,53,73
2006-08,2006-07,2006-07-31,0.6987581793965941,kr_plus_global,1.0,-0.0018989970921606814,0.0,-1.9208048085826218e-05,1610,53,99
2006-09,2006-08,2006-08-31,0.8440383631398698,kr_plus_global,1.0,0.00518695850433204,1.0,0.996480968301066,1632,53,75
2006-10,2006-09,2006-09-29,0.7547873967739589,kr_plus_global,1.0,-0.010446503791070039,0.0,0.9826659953439246,1653,53,33
2006-11,2006-10,2006-10-31,0.664831121859397,kr_plus_global,1.0,0.030875367563899525,1.0,0.9615405123259549,1672,53,12
2006-12,2006-11,2006-11-30,0.7926376032962356,kr_plus_global,1.0,-0.007515138408304645,0.0,0.9998772523046018,1694,53,33
2007-01,2006-12,2006-12-28,0.6856147217429521,kr_plus_global,1.0,-0.030044770483844796,0.0,0.19218621735084704,1713,53,12
2007-02,2007-01,2007-01-31,0.5864857947161287,kr_plus_global,0.5765719647741915,0.05528723222910381,1.0,-0.0022939916874263433,1735,53,1
2007-03,2007-02,2007-02-28,0.5834116608089343,kr_plus_global,0.5560777387262283,0.006604803493449829,1.0,0.9956647449193977,1754,53,3
2007-04,2007-03,2007-03-30,0.5919318007338015,kr_plus_global,0.6128786715586765,0.04397654584221744,1.0,0.30271085181090857,1775,53,2
