feature,mean_gain_share
realized_vol_63,0.08200958202383166
realized_vol_252,0.07234931801594799
adx_14,0.07097224102757044
realized_vol_126,0.055779577832401145
macd,0.0421135505367418
dist_sma_200,0.0382705522098595
macd_signal,0.038221159076947946
atr_14,0.03808194215012355
macd_hist,0.035558103994894986
ichimoku_cloud_width,0.03457989294097962
realized_vol_20,0.03424203434435138
downside_dev_10,0.03406886760834476
ret_63,0.03147772591926314
krw_ret_20,0.031187341945802444
sortino_60,0.029801229988030944
ichimoku_kijun,0.028038932419701117
bb_width,0.02513801380513191
drawdown_252,0.021578848052568374
kr_hmm_p_bear,0.021073714872649293
keltner_width,0.019605580100970476
dist_high_252,0.018759545147560275
krw_ret_63,0.015932283787580704
aroon_osc,0.014059396563872213
sortino_20,0.01244653305636148
cci_20,0.012267180903119368
corr_krw_20,0.011480914262452565
minus_di,0.010649523358307439
plus_di,0.008278259862414391
dist_low_20,0.007901248872515029
dist_sma_10,0.007600267416127556
stoch_d,0.007222719363297953
ichimoku_tenkan,0.007190317504174794
kospi200_ret_20,0.006863731566449596
dist_sma_50,0.006597704300285165
rsi_3,0.006166167151089961
tsi,0.005921545366469503
dist_ema_26,0.005673765331964457
ret_20,0.004904077694106415
dist_high_20,0.004833371717001746
williams_r,0.004635297693044861
stoch_k,0.0040873929784541185
kr_hmm_p_sideways,0.004048427260354344
ret_10,0.003384652755978313
kr_hmm_score,0.0025607158757575484
dist_ema_12,0.0023999750422436543
dist_sma_5,0.0021664117532542333
bb_pct_b,0.002112078946175278
roc_10,0.002067264389507009
rsi_14,0.0016828668446353878
dist_sma_20,0.0015438499772621192
krw_ret_5,0.0014743537921168837
rsi_9,0.0013202814370059392
kospi200_ret_5,0.0011608928056810195
roc_5,0.0011365949907849388
kr_hmm_p_bull,0.0010010483850290016
ret_5,0.0009817030463312331
roc_20,0.0009788556524615941
lag_ret_2,0.0007269223033916909
ret_1,0.0005788809583936483
lag_ret_5,0.00047866367288810797
krw_ret_1,0.00029134877855061816
lag_ret_1,0.00024773820701952604
consecutive_up,2.3389668703296023e-05
consecutive_down,1.3630693712425094e-05
obv_slope_10,0.0
cmf_20,0.0
volume_ratio_20,0.0
vwap_deviation,0.0
