target_month,signal_date,p_tail_raw,tail_event,adverse_excursion,standardized_adverse,horizon,fit_count,train_rows,feature_count,risk_percentile,risk_severity,p_up,score
2005-01,2004-12-30,0.17042463874992791,0.0,-0.022039045553145398,0.6758899472172047,10,1,1202,53,0.5,0.0,0.5,-0.0
2005-02,2005-01-31,0.1854997242878691,0.0,-0.01090368412357512,0.3398453477451638,10,1,1202,53,0.5,0.0,0.5,-0.0
2005-03,2005-02-28,0.17042463874992791,0.0,-0.02216278181123421,0.7771213810567538,10,1,1202,53,0.5,0.0,0.5,-0.0
2005-04,2005-03-31,0.18393159940717474,0.0,-0.018993428434043946,0.4958322601870292,10,2,1260,53,0.5,0.0,0.5,-0.0
2005-05,2005-04-29,0.18393159940717474,0.0,0.002636502806599772,-0.07583205399150718,10,2,1260,53,0.5,0.0,0.5,-0.0
2005-06,2005-05-31,0.19087729348759513,0.0,-0.00040051265620000276,0.013419689685126345,10,2,1260,53,0.5,0.0,0.5,-0.0
2005-07,2005-06-30,0.1769403006096519,0.0,0.00857606428185087,-0.32797034688559223,10,3,1260,53,0.5,0.0,0.5,-0.0
2005-08,2005-07-29,0.1658352995542297,0.0,-0.0197460228858497,0.8983629629001545,10,3,1260,53,0.5,0.0,0.5,-0.0
2005-09,2005-08-31,0.1769403006096519,0.0,0.021700335498607837,-0.5227883657074519,10,3,1260,53,0.5,0.0,0.5,-0.0
2005-10,2005-09-30,0.17144267727558457,1.0,-0.0425261821643923,1.3356716756266094,10,4,1260,53,0.5,0.0,0.5,-0.0
2005-11,2005-10-31,0.16055250524421613,0.0,0.02781510346680993,-0.5506089517197791,10,4,1260,53,0.5,0.0,0.5,-0.0
2005-12,2005-11-30,0.17144267727558457,0.0,0.006146429647484242,-0.1819567230529695,10,4,1260,53,0.5,0.0,0.5,-0.0
2006-01,2005-12-29,0.15887133014389998,0.0,0.004846981908358083,-0.23339191288861896,10,5,1260,53,0.07692307692307693,0.0,0.5,-0.0
2006-02,2006-01-31,0.15887133014389998,1.0,-0.06205369499031288,1.39866473546537,10,5,1260,53,0.14285714285714285,0.0,0.5,-0.0
2006-03,2006-02-28,0.15147073365664038,0.0,-0.046661031276415854,1.175256492880399,10,5,1260,53,0.06666666666666667,0.0,0.5,-0.0
2006-04,2006-03-31,0.1408389016850412,0.0,0.015209125475285079,-0.4769387228054473,10,6,1260,53,0.0625,0.0,0.5,-0.0
2006-05,2006-04-28,0.16030814579020056,0.0,-0.027702335687126545,0.8042485447589005,10,6,1260,53,0.29411764705882354,0.0,0.5,-0.0
2006-06,2006-05-30,0.16307880150048018,1.0,-0.09110578328752694,1.9440850693346186,10,6,1260,53,0.3888888888888889,0.0,0.5,-0.0
2006-07,2006-06-30,0.17270820465425482,0.0,-0.030576291430277625,0.5196140118048361,10,7,1260,53,0.6842105263157895,0.0,0.5,-0.0
2006-08,2006-07-31,0.19180575530783422,0.0,-0.008130081300813052,0.19610796882176423,10,7,1260,53,1.0,1.0,0.35,-1.0
2006-09,2006-08-31,0.13545705900162927,0.0,-0.01801185590515275,0.5951236627872935,10,7,1260,53,0.047619047619047616,0.0,0.5,-0.0
2006-10,2006-09-29,0.21916319005550028,1.0,-0.035214827295703466,1.3288676122442074,10,8,1260,53,1.0,1.0,0.35,-1.0
2006-11,2006-10-31,0.1505913875889535,0.0,0.006220312146573148,-0.2446793879695594,10,8,1260,53,0.13043478260869565,0.0,0.5,-0.0
2006-12,2006-11-30,0.1611536287951784,1.0,-0.03800821799307963,1.9219273023993069,10,8,1260,53,0.375,0.0,0.5,-0.0
2007-01,2006-12-28,0.16408044160195587,1.0,-0.05609795566103881,2.0225352283031937,10,9,1260,53,0.44,0.0,0.5,-0.0
2007-02,2007-01-31,0.20389483264700844,0.0,0.017671458605602597,-0.6213381455550959,10,9,1260,53,0.9615384615384616,0.8076923076923078,0.37884615384615383,-0.8076923076923078
2007-03,2007-02-28,0.20389483264700844,0.0,-0.03007641921397375,0.887655182263935,10,9,1260,53,0.9629629629629629,0.8148148148148145,0.3777777777777778,-0.8148148148148145
2007-04,2007-03-30,0.1406223077777061,0.0,0.0051172707889126645,-0.14455759895044343,10,10,1260,53,0.07142857142857142,0.0,0.5,-0.0
2007-05,2007-04-30,0.1406223077777061,0.0,0.00659783429866545,-0.2773911439168511,10,10,1260,53,0.10344827586206896,0.0,0.5,-0.0
2007-06,2007-05-31,0.1671469945555764,0.0,0.008962808962808877,-0.4280685190113447,10,10,1260,53,0.5,0.0,0.5,-0.0
2007-07,2007-06-29,0.17450138644213756,0.0,0.01554380732908589,-0.4436136724730906,10,11,1260,53,0.6774193548387096,0.0,0.5,-0.0
2007-08,2007-07-31,0.17450138644213756,0.0,-0.056769810085134154,1.108630202300271,10,11,1260,53,0.6875,0.0,0.5,-0.0
2007-09,2007-08-31,0.15589666381251394,0.0,-0.03709921101225455,0.4543219140770222,10,11,1260,53,0.21212121212121213,0.0,0.5,-0.0
