Stage,Name,tail_threshold,breadth_threshold,early_scale,confirmed_scale,recovery_relief,right_tail_relief,panic_relief,max_risk_transfer,rebalance_band,oil_cut_deflation,oil_cut_inflation,bond_share_deflation,bond_share_inflation,financing_rate,Cal_CAGR,Cal_CAGRDelta,Cal_Sharpe,Cal_SharpeDelta,Cal_MDD,Cal_MDDDelta,Cal_Calmar,Cal_CalmarDelta,Validation_CAGR,Validation_CAGRDelta,Validation_Sharpe,Validation_SharpeDelta,Validation_MDD,Validation_MDDDelta,Validation_Calmar,Validation_CalmarDelta,MultiObjectiveScore,StrictAllThree,RetentionGate,Selected
stress,tt0.50_bt0.25_ew0.00_cw0.00_rr0.00_ur0.00_pr0.00_rt0.35_rb0.20_od1.00_oi1.00_bd0.00_bi0.00,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.35,0.2,1.0,1.0,0.0,0.0,0.04,0.19593903094000042,0.0,1.1243810201820734,0.0,-0.12958799769553853,0.0,1.5120152670338407,0.0,0.030518417586614,0.0,0.41330431530126505,0.0,-0.10663145228920401,0.0,0.2862046509864882,0.0,0.0,False,False,False
stress,tt0.50_bt0.25_ew0.00_cw0.00_rr0.00_ur0.00_pr0.25_rt0.35_rb0.20_od1.00_oi1.00_bd0.00_bi0.00,0.5,0.25,0.0,0.0,0.0,0.0,0.25,0.35,0.2,1.0,1.0,0.0,0.0,0.04,0.1959389455060767,-8.543392371329617e-08,1.1243809018955684,-1.1828650503531435e-07,-0.12958799769553853,0.0,1.5120146077604109,-6.592734298482839e-07,0.030518537824890446,1.2023827644647156e-07,0.4133056722824477,1.3569811826430467e-06,-0.10663145228920401,0.0,0.2862057785925919,1.1276061037124308e-06,-3.845540265667857e-06,False,False,False
stress,tt0.50_bt0.25_ew0.00_cw0.00_rr0.00_ur0.25_pr0.00_rt0.35_rb0.20_od1.00_oi1.00_bd0.00_bi0.00,0.5,0.25,0.0,0.0,0.0,0.25,0.0,0.35,0.2,1.0,1.0,0.0,0.0,0.04,0.19594547023383524,6.439293834814563e-06,1.1244089781231885,2.795794111509764e-05,-0.12958799769553853,0.0,1.5120649575449168,4.969051107606148e-05,0.03051894635381136,5.287671973608354e-07,0.41330226430156386,-2.0509997011863845e-06,-0.10663154424304011,-9.195383610105523e-08,0.28620936300285593,4.712016367758309e-06,0.0003040987290736652,False,False,False
stress,tt0.50_bt0.25_ew0.00_cw0.00_rr0.00_ur0.25_pr0.25_rt0.35_rb0.20_od1.00_oi1.00_bd0.00_bi0.00,0.5,0.25,0.0,0.0,0.0,0.25,0.25,0.35,0.2,1.0,1.0,0.0,0.0,0.04,0.19594538479945167,6.3538594512468904e-06,1.1244088598430313,2.783966095787349e-05,-0.12958799769553853,0.0,1.5120642982679384,4.903123409771837e-05,0.030519066592149313,6.490055353136626e-07,0.4133036212523182,-6.94048946869863e-07,-0.10663154424304011,-9.195383610105523e-08,0.28621049060856407,5.839622075898276e-06,0.00035032502980036906,False,False,False
stress,tt0.50_bt0.25_ew0.00_cw0.00_rr0.00_ur0.50_pr0.00_rt0.35_rb0.20_od1.00_oi1.00_bd0.00_bi0.00,0.5,0.25,0.0,0.0,0.0,0.5,0.0,0.35,0.2,1.0,1.0,0.0,0.0,0.04,0.19595190933336215,1.2878393361726026e-05,1.1244369276810806,5.590749900719061e-05,-0.12958799769553853,0.0,1.5121146465565647,9.937952272398576e-05,0.030519474744979513,1.0571583655138994e-06,0.41330019285848424,-4.122442780807312e-06,-0.10663163619635618,-1.8390715217364573e-07,0.28621407148606076,9.420499572587726e-06,0.0006075926612264526,False,False,False
stress,tt0.50_bt0.25_ew0.00_cw0.00_rr0.00_ur0.50_pr0.25_rt0.35_rb0.20_od1.00_oi1.00_bd0.00_bi0.00,0.5,0.25,0.0,0.0,0.0,0.5,0.25,0.35,0.2,1.0,1.0,0.0,0.0,0.04,0.1959518238985185,1.2792958518081932e-05,1.124436809407267,5.578922519355878e-05,-0.12958799769553853,0.0,1.5121139872760359,9.872024219514941e-05,0.030519594983379417,1.1773967654171713e-06,0.4133015497787573,-2.7655225077194423e-06,-0.10663163619635618,-1.8390715217364573e-07,0.2862151990913775,1.0548104889318566e-05,0.0006538182278822968,False,False,False
stress,tt0.50_bt0.25_ew0.00_cw0.00_rr0.00_ur0.75_pr0.00_rt0.35_rb0.20_od1.00_oi1.00_bd0.00_bi0.00,0.5,0.25,0.0,0.0,0.0,0.75,0.0,0.35,0.2,1.0,1.0,0.0,0.0,0.04,0.19595834823858782,1.9317298587395726e-05,1.1244648688552685,8.384867319510825e-05,-0.12958799769553853,0.0,1.5121643340688355,0.00014906703499484308,0.030519683576378576,1.2659897645761475e-06,0.4132941347465154,-1.0180554749661397e-05,-0.10663172814915278,-2.75859948772883e-07,0.2862157831080886,1.1132121600421208e-05,0.0007714281888943075,False,False,False
stress,tt0.50_bt0.25_ew0.00_cw0.00_rr0.00_ur0.75_pr0.25_rt0.35_rb0.20_od1.00_oi1.00_bd0.00_bi0.00,0.5,0.25,0.0,0.0,0.0,0.75,0.25,0.35,0.2,1.0,1.0,0.0,0.0,0.04,0.1959582628032841,1.923186328367521e-05,1.1244647505877945,8.373040572107193e-05,-0.12958799769553841,1.1102230246251565e-16,1.5121636747847578,0.00014840775091706782,0.030519803814802904,1.386228188904326e-06,0.4132954916367799,-8.823664485124727e-06,-0.10663172814915278,-2.75859948772883e-07,0.286216910712662,1.2259726173802221e-05,0.0008176530285883277,False,False,False
stress,tt0.50_bt0.25_ew0.00_cw0.00_rr0.25_ur0.00_pr0.00_rt0.35_rb0.20_od1.00_oi1.00_bd0.00_bi0.00,0.5,0.25,0.0,0.0,0.25,0.0,0.0,0.35,0.2,1.0,1.0,0.0,0.0,0.04,0.19593881832072468,-2.1261927574123263e-07,1.124380305174931,-7.150071423822624e-07,-0.12958799769553841,1.1102230246251565e-16,1.5120136263010617,-1.640732778973586e-06,0.030521833401880194,3.4158152661944996e-06,0.41334287117509305,3.855587382800563e-05,-0.10663145228920401,0.0,0.28623668483009496,3.203384360678241e-05,0.00023372216278155777,False,False,False
stress,tt0.50_bt0.25_ew0.00_cw0.00_rr0.25_ur0.00_pr0.25_rt0.35_rb0.20_od1.00_oi1.00_bd0.00_bi0.00,0.5,0.25,0.0,0.0,0.25,0.0,0.25,0.35,0.2,1.0,1.0,0.0,0.0,0.04,0.19593873296959563,-2.97970404794512e-07,1.1243801870005654,-8.331815080087068e-07,-0.12958799769553864,-1.1102230246251565e-16,1.5120129676665361,-2.2993673045590413e-06,0.03052195282975556,3.535243141561395e-06,0.4133442188887199,3.9903587454870326e-05,-0.10663145228920401,0.0,0.2862378048361795,3.315384969132529e-05,0.00022982317749997705,False,False,False
