feature,mean_coefficient,mean_absolute_coefficient
proxy_mom6,0.24962865180862231,0.24962865180862231
oap_reversal_crowding_stress,0.13517266069097975,0.14523990872147405
left_impulse_z_max,0.1268257183393038,0.12682571833930378
daily_downvol21,0.12363688831735671,0.12363688831735671
base_GLD,0.10951064526984644,0.10951064526984644
oap_momentum_trend_stress,0.10913805338010964,0.10913805338010964
base_KODEX200,-0.10872751609793976,0.10872751609793979
oap_low_risk_tail_stress,-0.05565335984068817,0.10827836416675647
daily_vol21,0.10105744413897763,0.10105744413897763
breadth_z_mean,0.09372825912476254,0.09372825912476254
oap_liquidity_activity_stress,0.08505558853155139,0.0864243474893611
daily_mom21,-0.07693962589528792,0.08576168310436606
daily_mom252,0.0813622185312369,0.0813622185312369
daily_mean_corr63,0.07507431811992879,0.07995722765611478
asymmetry_max,-0.06158635457790122,0.06158635457790122
reaction_z_mean,0.054751144410348514,0.05630120545758457
proxy_mom1,0.0554534958568225,0.05545349585682249
breadth_z_max,-0.003839879025238878,0.0547124979626456
base_USO,0.00926134495160069,0.049613789036274385
asymmetry_mean,0.046594120684614194,0.04795684220194509
p_inflation_high,0.0050866754447799435,0.03751548097161872
proxy_vol6,0.01308391466041346,0.03169485359907973
