name,stage,mode,level_threshold,momentum_window,spike_threshold,max_risk_transfer,bond_share,rebalance_band,financing_rate,Full_CAGR,Full_Sharpe,Full_MDD,Full_Calmar,Validation_CAGR,Validation_Sharpe,Validation_MDD,Validation_Calmar,AvgTurnover,TotalCost
level_lt0.70_mw10_st0.10_rt0.25_bs0.50_rb0.05,coarse,level,0.7,10,0.1,0.25,0.5,0.05,0.04,0.12422881345981729,0.9278265016719435,-0.12932765413228064,0.9605742429438325,0.015379025256575307,0.24944080894905596,-0.10946004819827027,0.140498981223894,0.1746833197536744,0.06984776951961937
level_lt0.70_mw10_st0.10_rt0.25_bs0.50_rb0.10,coarse,level,0.7,10,0.1,0.25,0.5,0.1,0.04,0.12502344921894926,0.9308313324394913,-0.12969434598398988,0.963985347783648,0.01779264588999019,0.28529237277221603,-0.10572051355882583,0.1682988976409944,0.1422904252942512,0.056578287522980435
level_lt0.70_mw10_st0.10_rt0.50_bs0.50_rb0.05,coarse,level,0.7,10,0.1,0.5,0.5,0.05,0.04,0.11986120742221718,0.9009545930248477,-0.13521589235504416,0.8864431934338804,0.011219420257666535,0.1903006204373373,-0.11588751047316637,0.09681302335219617,0.29492042181524486,0.11890120642038576
level_lt0.70_mw10_st0.10_rt0.50_bs0.50_rb0.10,coarse,level,0.7,10,0.1,0.5,0.5,0.1,0.04,0.11818451098348537,0.8869527311947124,-0.13278668438756336,0.8900328487647244,0.008289357018619548,0.15044684450629717,-0.11637830011725558,0.07122768600561878,0.24496727810461438,0.09845573536196812
level_lt0.70_mw10_st0.10_rt0.75_bs0.50_rb0.05,coarse,level,0.7,10,0.1,0.75,0.5,0.05,0.04,0.11469369783695615,0.8630551791118327,-0.15590151410991648,0.7356804614231824,0.004208716168313753,0.09372186601485186,-0.13992751618042443,0.030077830888436394,0.4173355391115604,0.16897750707575174
level_lt0.70_mw10_st0.10_rt0.75_bs0.50_rb0.10,coarse,level,0.7,10,0.1,0.75,0.5,0.1,0.04,0.11638309663749258,0.8761625978032477,-0.14123419297818607,0.8240433437777225,0.006970519742871328,0.13167425893192516,-0.12498262582981068,0.0557719098682013,0.35528998919357035,0.1434031666437616
level_lt0.70_mw10_st0.10_rt1.00_bs0.50_rb0.05,coarse,level,0.7,10,0.1,1.0,0.5,0.05,0.04,0.10893454184377327,0.8218503386175832,-0.1863226359893848,0.5846554352632682,-0.003280758246904769,-0.0054891533881497034,-0.16477539379210282,-0.019910486459186395,0.5446227307411758,0.2210981576401974
level_lt0.70_mw10_st0.10_rt1.00_bs0.50_rb0.10,coarse,level,0.7,10,0.1,1.0,0.5,0.1,0.04,0.10937305624214733,0.827197863924657,-0.17201100810998393,0.6358491671196655,-0.0004392723865950243,0.03179888385375312,-0.15429029102013836,-0.0028470513840542916,0.48347721994787535,0.19585587331142443
level_lt0.80_mw10_st0.10_rt0.25_bs0.50_rb0.05,coarse,level,0.8,10,0.1,0.25,0.5,0.05,0.04,0.12661150648583352,0.9423968550180428,-0.13221731200743414,0.9576015770061532,0.019806698757929064,0.3107450799700087,-0.10883697830097716,0.1819850115937226,0.16107712496827536,0.06431004823692171
level_lt0.80_mw10_st0.10_rt0.25_bs0.50_rb0.10,coarse,level,0.8,10,0.1,0.25,0.5,0.1,0.04,0.12648012539173337,0.9400784292497986,-0.1307763036581262,0.9671486489048975,0.021840690008898767,0.3408183296574208,-0.10572051355882583,0.20658895112863787,0.1420645666404427,0.056514168217822174
level_lt0.80_mw10_st0.10_rt0.50_bs0.50_rb0.05,coarse,level,0.8,10,0.1,0.5,0.5,0.05,0.04,0.12319016756545587,0.9184197169598836,-0.1374768017739536,0.8960796729037342,0.01545075940124141,0.24831946612686845,-0.11496937266432061,0.1343902210056711,0.2508226641740199,0.10105601645929232
level_lt0.80_mw10_st0.10_rt0.50_bs0.50_rb0.10,coarse,level,0.8,10,0.1,0.5,0.5,0.1,0.04,0.12338808664705603,0.918939366835066,-0.13541904837198282,0.9111575375136375,0.016541745002397246,0.26578341785071896,-0.11245809057536127,0.14709252947267645,0.2142752073439683,0.08597317721603269
level_lt0.80_mw10_st0.10_rt0.75_bs0.50_rb0.05,coarse,level,0.8,10,0.1,0.75,0.5,0.05,0.04,0.1190713534533836,0.8868252880317771,-0.14334208348956357,0.8306796619295194,0.008819985540766684,0.15681182868305066,-0.12485244989799171,0.07064327170169975,0.3490182449044461,0.14124410836903614
