candidate,jump_penalty,keep_features,sjm_weight,is_deployed,growth_switches,inflation_switches,cal_mean_auc,cal_mean_brier,cal_quadrant_accuracy,cal_Soft_CAGR,cal_Soft_Sharpe,cal_Soft_MDD,cal_Soft_Calmar,cal_Soft_AvgTurnover,cal_Proposed_CAGR,cal_Proposed_Sharpe,cal_Proposed_MDD,val_mean_auc,val_mean_brier,val_quadrant_accuracy,val_Soft_CAGR,val_Soft_Sharpe,val_Soft_MDD,val_Soft_Calmar,val_Soft_AvgTurnover,val_Proposed_CAGR,val_Proposed_Sharpe,val_Proposed_MDD,locked_mean_auc,locked_mean_brier,locked_quadrant_accuracy,locked_Soft_CAGR,locked_Soft_Sharpe,locked_Soft_MDD,locked_Soft_Calmar,locked_Soft_AvgTurnover,locked_Proposed_CAGR,locked_Proposed_Sharpe,locked_Proposed_MDD,cal_prediction_score,cal_soft_score,cal_prediction_rank,cal_soft_rank,locked_prediction_score,locked_soft_score,locked_prediction_rank,locked_soft_rank,locked_boot_probability_brier_better_than_deployed,locked_boot_probability_sharpe_better_than_deployed,locked_boot_sharpe_delta_p05,locked_boot_sharpe_delta_median,locked_boot_sharpe_delta_p95,invalid_reason,first_bad_month,reason
sjm_j0_k4_w0.1,0.0,4,0.1,False,21.0,11.0,0.9565597602433351,0.09387579768235818,0.8062015503875969,0.06528708718748155,0.6730114726574953,-0.19040745361800038,0.34288094266762237,0.0587717082519778,0.07391232812177662,1.1096164881346187,-0.08922230919302654,0.968602020414606,0.08154415642970814,0.8166666666666667,0.01190433816165748,0.22478451174042147,-0.08964675815235712,0.1327916190948671,0.0482401721680704,0.02572760341109781,0.5754804465536364,-0.07449827100530004,0.9585796387520524,0.09323748174328313,0.7745098039215687,0.13585657767016834,1.082948725055866,-0.1447294608356845,0.9386933170739177,0.05792140102477622,0.09064199789859462,1.1870139488839317,-0.08053005174290251,0.9099099099099099,0.7747747747747749,1.0,2.0,0.6801801801801801,0.5405405405405406,15.0,19.0,0.8245,0.443,-0.02716944634941366,-0.0021664816031630174,0.022848446542153834,,,
sjm_j0_k6_w0.1,0.0,6,0.1,False,21.0,11.0,0.9565519323671499,0.093956879300408,0.8062015503875969,0.06526706603458554,0.672945149477805,-0.19041106537199082,0.34276929183227095,0.05875469376865312,,,,0.968602020414606,0.0815831471438304,0.8166666666666667,0.011912259550265203,0.22492258347298916,-0.08961722976829334,0.1329237645602807,0.0482152919261063,,,,0.9587780514504654,0.09311900082936242,0.7745098039215687,0.1356889182766181,1.0821362434519772,-0.14472648477195382,0.9375541628778157,0.05786884789701602,,,,0.8918918918918918,0.7387387387387387,2.0,6.0,0.6981981981981983,0.5135135135135135,9.0,22.0,0.847,0.429,-0.02805453183087746,-0.0028925158599161227,0.022355889183645655,,,
sjm_j0_k4_w0.05,0.0,4,0.05,False,21.0,11.0,0.9566100823045267,0.09400640596269799,0.7906976744186046,0.06501274836814641,0.6709539351652922,-0.18785150760668945,0.3460858483194376,0.05934124178118568,,,,0.969733242134063,0.0820651244693238,0.8333333333333334,0.011579360118941784,0.21843916021407186,-0.09069797162478233,0.12766944961950877,0.048358129520610915,,,,0.9611440762302832,0.09127516670625423,0.7745098039215687,0.13644073095311127,1.0855467350509107,-0.1447382330278072,0.9426723547668168,0.05899922357169267,,,,0.8513513513513513,0.7567567567567567,3.0,3.0,0.8468468468468467,0.6486486486486487,5.0,11.0,0.967,0.5135,-0.03292042572923343,0.0007003874958632639,0.033241226203588915,,,
sjm_j0_k6_w0.05,0.0,6,0.05,False,21.0,11.0,0.9566100823045267,0.09404693330224818,0.7906976744186046,0.06500251632968568,0.6709183188088285,-0.18785331967570995,0.34602804167580925,0.05933212151088841,,,,0.969733242134063,0.08208453634049875,0.8333333333333334,0.011583356230609132,0.2185082243984402,-0.09068318901224559,0.12773432823414435,0.04834557627417346,,,,0.9611440762302832,0.09122117418292303,0.7745098039215687,0.1363571952144993,1.0851388261671728,-0.1447367453287356,0.9421048877725963,0.0589749065012361,,,,0.8423423423423424,0.7297297297297298,4.0,7.0,0.8558558558558559,0.5945945945945946,3.0,14.0,0.971,0.507,-0.033161707553374754,0.0003683979708756224,0.03300194793184024,,,
sjm_j1.5_k4_w0.1,1.5,4,0.1,False,13.0,9.0,0.9567588119520487,0.09412206492165205,0.7906976744186046,0.06503650620312551,0.6680216113363173,-0.19197246137425739,0.3387803945292676,0.057534787906753745,0.07399885870885226,1.1083780806762873,-0.08952222207997451,0.968602020414606,0.081511127872684,0.8,0.01180374633961967,0.22339720321315343,-0.09156377749060352,0.12891283718423474,0.04633235938428506,0.02570406445743778,0.5759802587189564,-0.07463844719428114,0.9575900631935115,0.09271436907472425,0.7647058823529411,0.1355721444186515,1.0823905325645877,-0.14476434208685696,0.9365023352042713,0.05822493737738952,0.09021303807618453,1.1848345489453005,-0.08054393800978565,0.8333333333333334,0.5855855855855856,5.0,18.0,0.5945945945945946,0.40540540540540543,16.0,28.0,0.9965,0.356,-0.012968635220514252,-0.002597437791599544,0.008178537219025072,,,
sjm_j1.5_k6_w0.1,1.5,6,0.1,False,13.0,9.0,0.9567588119520487,0.09413623646647594,0.7906976744186046,0.06502526881254633,0.667956932752815,-0.19205560601231497,0.3385752187227317,0.057526415814938864,,,,0.968602020414606,0.08152835159894385,0.8,0.011799284346506012,0.223323282592088,-0.09154812799092038,0.12888613459880086,0.04633962858555383,,,,0.9577859879584018,0.09270357604251503,0.7745098039215687,0.13558384379352306,1.0824789671602573,-0.1447642525824765,0.9365837309613222,0.058242374391341216,,,,0.8243243243243245,0.5495495495495496,6.0,20.0,0.6981981981981983,0.44144144144144143,9.0,25.0,0.9965,0.36,-0.012912843723210377,-0.002527463486722059,0.008304045978007598,,,
sjm_j1.5_k4_w0.05,1.5,4,0.05,False,13.0,9.0,0.9567778225084989,0.09406933837490526,0.7674418604651163,0.06489017159937482,0.6685083308213962,-0.18863655312130367,0.34399574486312245,0.05866249272229592,,,,0.9691676312743345,0.08198733604956746,0.8,0.011531624235899596,0.21779943464481086,-0.09166540727945272,0.12580126547350726,0.047348768527694145,,,,0.9609481514653928,0.09101138087004375,0.7745098039215687,0.13630577876337702,1.08539830560667,-0.14475566996402778,0.9416265269419113,0.0591362288258695,,,,0.7702702702702702,0.6486486486486487,7.0,13.0,0.8468468468468467,0.5225225225225225,5.0,21.0,0.997,0.5145,-0.026332238087309345,0.0007797311856602152,0.027246787631058696,,,
sjm_j0_k4_w0.2,0.0,4,0.2,False,21.0,11.0,0.9561471193415638,0.09459676152795744,0.813953488372093,0.06582066123147046,0.6764282778535641,-0.19551056949921364,0.3366603728896365,0.05778113876121811,,,,0.9691676312743345,0.08082948580585204,0.8333333333333334,0.01254545276066632,0.23751123232931418,-0.08755633038387323,0.14328435997332564,0.048284745837133575,,,,0.9540211225556053,0.09813685229844918,0.7745098039215687,0.13468816264799455,1.0772321852489413,-0.14471161886020645,0.9307349590090986,0.05595800276155548,,,,0.7612612612612613,0.7837837837837838,8.0,1.0,0.518018018018018,0.41441441441441446,20.0,27.0,0.159,0.191,-0.0278408948585126,-0.00876888368729789,0.007637725620356339,,,
sjm_j1.5_k6_w0.05,1.5,6,0.05,False,13.0,9.0,0.9567778225084989,0.09407663294443834,0.7674418604651163,0.06488452981428683,0.6684760407848993,-0.18867826996674386,0.34388978564263534,0.05865891075552539,,,,0.9691676312743345,0.08199662085731495,0.8,0.011529365705553074,0.21776219696918034,-0.09165759709871435,0.1257873440991046,0.047352920168376465,,,,0.9609481514653928,0.09100652761307608,0.7745098039215687,0.13631151589836854,1.0854405609946036,-0.14475562520393803,0.9416664513474136,0.059145483199072854,,,,0.7612612612612613,0.6036036036036037,8.0,16.0,0.8558558558558559,0.5585585585585586,3.0,18.0,0.997,0.516,-0.02624828329404878,0.0008481209130209999,0.02734926130370997,,,
sjm_j0_k6_w0.2,0.0,6,0.2,False,21.0,11.0,0.9560185185185185,0.09475903251985468,0.813953488372093,0.06578241254409667,0.676315008465494,-0.19551774359575103,0.33645239216808476,0.05775197942118375,,,,0.9691676312743345,0.08090813512118594,0.8333333333333334,0.012560991109384467,0.23778661571643786,-0.08749764611792787,0.1435580460353753,0.04823752352807935,,,,0.9542195352540179,0.09785790700157439,0.7745098039215687,0.13435092150735062,1.0756195492974152,-0.1447056640696085,0.9284427280104469,0.055829442327017156,,,,0.7432432432432433,0.7477477477477478,10.0,4.0,0.536036036036036,0.40540540540540543,19.0,28.0,0.174,0.148,-0.029059358639311243,-0.010349255298866544,0.005602837577321423,,,
