target_month,signal_month,jump_penalty,keep_features,growth_sjm,inflation_sjm,growth_switches,inflation_switches
2007-04,2007-03,0.0,2,0.97,0.5693605214016495,1,6
2007-05,2007-04,0.0,2,0.97,0.7125881840430475,1,6
2007-06,2007-05,0.0,2,0.97,0.8261193277009979,1,6
2007-07,2007-06,0.0,2,0.97,0.8495459445850484,1,6
2007-08,2007-07,0.0,2,0.97,0.8781703621377397,1,6
2007-09,2007-08,0.0,2,0.97,0.9330229676572549,1,4
2007-10,2007-09,0.0,2,0.97,0.22807511642309605,1,9
2007-11,2007-10,0.0,2,0.97,0.8085229081132683,1,4
2007-12,2007-11,0.0,2,0.97,0.97,9,4
2008-01,2007-12,0.0,2,0.9180498797891177,0.97,15,4
2008-02,2008-01,0.0,2,0.97,0.97,13,1
2008-03,2008-02,0.0,2,0.97,0.97,13,1
2008-04,2008-03,0.0,2,0.97,0.97,11,1
2008-05,2008-04,0.0,2,0.97,0.97,11,1
2008-06,2008-05,0.0,2,0.97,0.97,5,1
2008-07,2008-06,0.0,2,0.8358081974686318,0.97,11,1
2008-08,2008-07,0.0,2,0.97,0.97,5,1
2008-09,2008-08,0.0,2,0.580509878322076,0.97,9,1
2008-10,2008-09,0.0,2,0.97,0.97,3,1
2008-11,2008-10,0.0,2,0.03,0.9124836400200307,4,1
2008-12,2008-11,0.0,2,0.03,0.7603200015123092,14,1
2009-01,2008-12,0.0,2,0.03,0.6366661086347932,14,1
2009-02,2009-01,0.0,2,0.03,0.5036174880631576,14,1
2009-03,2009-02,0.0,2,0.03,0.3686592850510403,16,2
2009-04,2009-03,0.0,2,0.03,0.33978069025813673,12,2
2009-05,2009-04,0.0,2,0.03,0.25125732856697197,12,2
2009-06,2009-05,0.0,2,0.03,0.10526193064096012,6,2
2009-07,2009-06,0.0,2,0.03,0.03,2,2
2009-08,2009-07,0.0,2,0.03,0.03,2,2
2009-09,2009-08,0.0,2,0.03,0.03,2,2
2009-10,2009-09,0.0,2,0.03,0.03,2,2
2009-11,2009-10,0.0,2,0.40269405393612157,0.03,2,2
2009-12,2009-11,0.0,2,0.6686402935712765,0.03,3,2
2010-01,2009-12,0.0,2,0.9147378172927706,0.03,7,2
2010-02,2010-01,0.0,2,0.97,0.03,13,2
2010-03,2010-02,0.0,2,0.9647225043154554,0.03,13,2
2010-04,2010-03,0.0,2,0.97,0.03,13,2
2010-05,2010-04,0.0,2,0.97,0.03,13,2
2010-06,2010-05,0.0,2,0.97,0.03,13,2
2010-07,2010-06,0.0,2,0.97,0.03,3,2
2010-08,2010-07,0.0,2,0.97,0.03,3,2
2010-09,2010-08,0.0,2,0.97,0.03,5,2
2010-10,2010-09,0.0,2,0.97,0.03,3,2
2010-11,2010-10,0.0,2,0.9641424482199339,0.03,3,2
2010-12,2010-11,0.0,2,0.9553768090529664,0.03,3,2
2011-01,2010-12,0.0,2,0.9021223748478591,0.03,7,2
2011-02,2011-01,0.0,2,0.9626739736712329,0.03,7,2
2011-03,2011-02,0.0,2,0.8655066761038359,0.03,13,2
2011-04,2011-03,0.0,2,0.943028311459419,0.03,5,2
2011-05,2011-04,0.0,2,0.9013443111455661,0.03,5,2
2011-06,2011-05,0.0,2,0.8980725979596408,0.03,5,2
2011-07,2011-06,0.0,2,0.863015023857802,0.03,5,2
2011-08,2011-07,0.0,2,0.780544502782565,0.03,5,2
2011-09,2011-08,0.0,2,0.8382807526367964,0.7602861647408038,5,3
2011-10,2011-09,0.0,2,0.8283052617585709,0.03,3,2
2011-11,2011-10,0.0,2,0.6373395932795006,0.6128230491947673,5,5
2011-12,2011-11,0.0,2,0.6319970588104231,0.5564866836862511,13,5
2012-01,2011-12,0.0,2,0.5866677627594599,0.7459450510411155,13,5
2012-02,2012-01,0.0,2,0.3074407697985012,0.6905677599688143,14,5
2012-03,2012-02,0.0,2,0.684840363131348,0.3046441112599967,15,6
2012-04,2012-03,0.0,2,0.34403450929450485,0.21146148128041511,16,6
2012-05,2012-04,0.0,2,0.21080928143264419,0.11619271475071807,16,6
2012-06,2012-05,0.0,2,0.3071794589922849,0.08891646071318188,16,6
2012-07,2012-06,0.0,2,0.31737267695311155,0.05655250174308018,16,6
2012-08,2012-07,0.0,2,0.17659852345148175,0.03,16,6
2012-09,2012-08,0.0,2,0.1628212205111534,0.03,20,6
2012-10,2012-09,0.0,2,0.20314346839628675,0.03,20,6
2012-11,2012-10,0.0,2,0.2033049994657085,0.03,18,6
2012-12,2012-11,0.0,2,0.25087027496718195,0.03,20,6
