period,feature,group,observations,missing_rate,raw_univariate_auc,direction_free_auc,median_standardized_logit_coefficient,median_absolute_coefficient,coefficient_sign_stability
calibration_through_2017,base_USO,domestic,91,0.0,0.6011627906976744,0.6011627906976744,0.13441367638096707,0.13441367638096707,0.8461538461538461
calibration_through_2017,base_GLD,domestic,91,0.0,0.5593023255813953,0.5593023255813953,0.26304659989928597,0.26304659989928597,1.0
calibration_through_2017,base_KODEX200,domestic,91,0.0,0.28837209302325584,0.7116279069767442,-0.39857100262117806,0.39857100262117806,1.0
calibration_through_2017,p_inflation_high,domestic,91,0.0,0.5116279069767441,0.5116279069767441,-0.12519146633266542,0.12519146633266542,0.5824175824175825
calibration_through_2017,proxy_mom1,domestic,91,0.0,0.47674418604651164,0.5232558139534884,0.12055869655776716,0.12055869655776716,1.0
calibration_through_2017,proxy_mom6,domestic,91,0.0,0.6627906976744187,0.6627906976744187,0.1809414690171622,0.1809414690171622,1.0
calibration_through_2017,proxy_vol6,domestic,91,0.0,0.5488372093023257,0.5488372093023257,-0.10716371890874606,0.10716371890874606,0.8351648351648352
calibration_through_2017,daily_mom21,domestic,91,0.0,0.45348837209302323,0.5465116279069768,-0.05759329767184273,0.05759329767184273,0.8021978021978022
calibration_through_2017,daily_mom252,domestic,91,0.0,0.6000000000000001,0.6000000000000001,0.14207914760599247,0.14207914760599247,1.0
calibration_through_2017,daily_vol21,domestic,91,0.0,0.6255813953488373,0.6255813953488373,0.18893587178782562,0.18893587178782562,1.0
calibration_through_2017,daily_downvol21,domestic,91,0.0,0.6906976744186046,0.6906976744186046,0.18102411873225796,0.18102411873225796,1.0
calibration_through_2017,daily_mean_corr63,domestic,91,0.0,0.7720930232558139,0.7720930232558139,-0.23549569346553265,0.23549569346553265,1.0
calibration_through_2017,oap_momentum_trend_stress,oap_composite,91,0.0,0.43023255813953487,0.5697674418604651,0.2498056978429792,0.2498056978429792,1.0
calibration_through_2017,oap_reversal_crowding_stress,oap_composite,91,0.0,0.7325581395348837,0.7325581395348837,0.19228162712624994,0.19228162712624994,0.8461538461538461
calibration_through_2017,oap_low_risk_tail_stress,oap_composite,91,0.0,0.5372093023255814,0.5372093023255814,0.03542064897660989,0.03542064897660989,0.5604395604395604
calibration_through_2017,oap_liquidity_activity_stress,oap_composite,91,0.0,0.686046511627907,0.686046511627907,-0.03055754582725105,0.03055754582725105,0.5494505494505495
locked_2018_2026,base_USO,domestic,102,0.0,0.6195652173913043,0.6195652173913043,-0.09630499636773804,0.09630499636773804,0.7864077669902912
locked_2018_2026,base_GLD,domestic,102,0.0,0.4847826086956522,0.5152173913043478,0.4237234761194261,0.4237234761194261,1.0
locked_2018_2026,base_KODEX200,domestic,102,0.0,0.45869565217391306,0.5413043478260869,-0.35670491931529097,0.35670491931529097,1.0
locked_2018_2026,p_inflation_high,domestic,102,0.0,0.7282608695652174,0.7282608695652174,-0.14184956481599886,0.14184956481599886,1.0
locked_2018_2026,proxy_mom1,domestic,102,0.0,0.48913043478260865,0.5108695652173914,0.10037601592002386,0.10037601592002386,1.0
locked_2018_2026,proxy_mom6,domestic,102,0.0,0.7065217391304348,0.7065217391304348,0.31894412776749426,0.31894412776749426,1.0
locked_2018_2026,proxy_vol6,domestic,102,0.0,0.6413043478260869,0.6413043478260869,-0.2767663705024336,0.2767663705024336,1.0
locked_2018_2026,daily_mom21,domestic,102,0.0,0.44456521739130433,0.5554347826086956,-0.2517057197158955,0.2517057197158955,1.0
locked_2018_2026,daily_mom252,domestic,102,0.0,0.6815217391304348,0.6815217391304348,0.21575899046273717,0.21575899046273717,1.0
locked_2018_2026,daily_vol21,domestic,102,0.0,0.7130434782608697,0.7130434782608697,0.18834710955570433,0.18834710955570433,1.0
locked_2018_2026,daily_downvol21,domestic,102,0.0,0.7478260869565218,0.7478260869565218,0.2496228764006818,0.2496228764006818,1.0
locked_2018_2026,daily_mean_corr63,domestic,102,0.0,0.5010869565217391,0.5010869565217391,-0.01591976067017461,0.01591976067017461,0.5533980582524272
locked_2018_2026,oap_momentum_trend_stress,oap_composite,102,0.0,0.4597826086956522,0.5402173913043478,0.3966212076183221,0.3966212076183221,1.0
locked_2018_2026,oap_reversal_crowding_stress,oap_composite,102,0.0,0.6760869565217391,0.6760869565217391,0.5482232026024648,0.5482232026024648,1.0
locked_2018_2026,oap_low_risk_tail_stress,oap_composite,102,0.0,0.5543478260869565,0.5543478260869565,-0.4005062341980835,0.4005062341980835,1.0
locked_2018_2026,oap_liquidity_activity_stress,oap_composite,102,0.0,0.41195652173913044,0.5880434782608696,-0.002925361963759844,0.002925361963759844,0.5242718446601942
