month,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,forecast_vol,leverage,risk_score,w_KODEX200,w_BOND,w_GLD,w_USO
2006-04,0.042025077925758325,0.043525077925758326,1.0420250779257583,0.0,1.0,0.0015,0.0,,1.0,0.0,1.0,0.0,0.0,0.0
2006-05,-0.07760821158963782,-0.07760821158963782,0.9611553751963872,-0.07760821158963782,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0
2006-06,-0.014719736222326918,-0.014719736222326918,0.9470074216048247,-0.09118557540867878,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0
2006-07,0.005070866141732358,0.008070866141732358,0.9518095694750099,-0.08657709911390055,1.0,0.003,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2006-08,0.005565319273579394,0.005565319273579394,0.9571066936167866,-0.08149360903867031,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2006-09,0.007573550830177744,0.007573550830177744,0.9643553898107967,-0.07453725419888146,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2006-10,0.0014455044810639528,0.0014455044810639528,0.9657493698481064,-0.07319949365276823,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2006-11,0.0007698229407235857,0.0007698229407235857,0.9664928258680049,-0.07248602136150784,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2006-12,0.0018617113223854424,0.0048617113223854425,0.9682921565049277,-0.07075925808580574,1.0,0.003,0.0,,1.0,0.0,1.0,0.0,0.0,0.0
2007-01,0.0007460378445874908,0.003746037844587491,0.9690145390982977,-0.07006600932560514,1.0,0.003,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2007-02,0.0052631578947368585,0.0052631578947368585,0.9741146156198677,-0.06517161990100306,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2007-03,0.005235602094240788,0.005235602094240788,0.9792146921414376,-0.06027723047640099,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2007-04,-0.0018939393939393367,-0.0018939393939393367,0.9773601188608668,-0.06205700844898343,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2007-05,0.08835963155786952,0.09135963155786953,1.0637192988627686,0.0,1.0,0.003,0.0,,1.0,0.0,1.0,0.0,0.0,0.0
2007-06,-0.002621355547141155,0.00037864445285884507,1.0609309123780937,-0.0026213555471410466,1.0,0.003,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
