Strategy,Period,Start,End,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover
SharpeCAGRObjective_SLSQP100,full_2007_2026,2007-04,2026-07,232.0,0.06858522529638589,0.05099755771481728,1.3293257462723727,3.141402588538915,-0.06878310909124918,0.9971230757452272,3.60559707664691,0.6982758620689655,0.030547440068229216
SharpeOnlyObjective_SLSQP100,full_2007_2026,2007-04,2026-07,232.0,0.05025901227181917,0.03619270899891041,1.3755414249516504,2.8390040864183024,-0.06673679179393566,0.7530930229161268,2.580659622778997,0.6939655172413793,0.021102450486092973
Previous_StrictHard40_SLSQP60,full_2007_2026,2007-04,2026-07,232.0,0.09599958285278065,0.09166919759162681,1.048897626755269,1.9268332814239084,-0.11448602277520559,0.8385266648774826,5.8839302769096085,0.6853448275862069,0.06296897603065343
OriginalMultiObjective_SLSQP100,full_2007_2026,2007-04,2026-07,232.0,0.0768332908389191,0.06614207168189411,1.1552795250285737,2.2214674177078537,-0.09011462677985449,0.8526173118002138,4.183474775109726,0.6379310344827587,0.015041854347264022
ZeroTune_VKOSPI,full_2007_2026,2007-04,2026-07,232.0,0.07136872758314294,0.08611341765630057,0.8446994945896225,1.6171489688056726,-0.1401292892482684,0.5093062839753528,3.7915780443561022,0.6551724137931034,0.28505709916544736
Current_Robust_VKOSPI,full_2007_2026,2007-04,2026-07,232.0,0.15636553973863587,0.13715819260316825,1.1325286822772858,2.282422546924721,-0.12958799769553853,1.2066359733870573,16.58973285850312,0.6077586206896551,0.1515032477441487
SharpeCAGRObjective_SLSQP100,locked_2018_2026,2018-01,2026-07,103.0,0.06985416990716597,0.05894664282892998,1.1773216422131998,2.826073440046971,-0.06878310909124885,1.0155715673523311,1.7852649438971544,0.6407766990291263,0.03793336306008306
SharpeOnlyObjective_SLSQP100,locked_2018_2026,2018-01,2026-07,103.0,0.05081022068489349,0.044531458869964846,1.1371430265839768,2.23123453130939,-0.06673679179393555,0.7613524611998307,1.5302068479110877,0.6601941747572816,0.02725244120658365
Previous_StrictHard40_SLSQP60,locked_2018_2026,2018-01,2026-07,103.0,0.101867830347389,0.08388831583765587,1.2023889742182199,2.146869841915416,-0.10742166318247637,0.9482987632983012,2.2993843655631685,0.7281553398058253,0.04648704165616914
OriginalMultiObjective_SLSQP100,locked_2018_2026,2018-01,2026-07,103.0,0.08774790338466731,0.07053960305507896,1.2309765025952741,2.6195156411003917,-0.07790855270708952,1.1262935882607203,2.0584209229469925,0.6213592233009708,0.013039979944552665
ZeroTune_VKOSPI,locked_2018_2026,2018-01,2026-07,103.0,0.07038611121058969,0.061834646920327654,1.1336473538343181,2.027987335953429,-0.1401292892482684,0.5022940713406884,1.7928983199988646,0.6893203883495146,0.27865331387988385
Current_Robust_VKOSPI,locked_2018_2026,2018-01,2026-07,103.0,0.20907823332988906,0.13357225120050709,1.4969186464577038,3.581010224776775,-0.09760421330851343,2.1421025408915666,5.101919757045714,0.6213592233009708,0.158863824661938
