Strategy,Period,Start,End,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover
UnleveredVIX6LogGrowth_NoOption,calibration_2007_2012,2007-04,2012-12,69.0,0.12898986036391857,0.09920058770908421,1.278045913459015,2.3098624787782107,-0.11002752357755297,1.1723417574967048,2.0089435729146823,0.6666666666666666,0.19495812801487222
UnleveredVIX6LogGrowth_PutCandidate,calibration_2007_2012,2007-04,2012-12,69.0,0.12828621734821222,0.0993302218933,1.2701679570352196,2.291428168396864,-0.11002752357755319,1.1659466029678414,2.001754794501325,0.6521739130434783,0.1952033011223994
UnleveredVIX6GrowthSleeve,calibration_2007_2012,2007-04,2012-12,69.0,0.1706810771366365,0.1478580086412333,1.144740414699251,2.1719224897263585,-0.11543592528367674,1.478578499000187,2.474696483996105,0.6521739130434783,0.10582642374689602
Stage10_SharpeCAGR_Core,calibration_2007_2012,2007-04,2012-12,69.0,0.10131829183782348,0.054486723803079215,1.804870222959694,4.415078336869903,-0.06109086911838413,1.6584850289408255,1.7418024691302378,0.7391304347826086,0.03941433911819208
Stage11_MSELogGrowth,calibration_2007_2012,2007-04,2012-12,69.0,0.1094547077685577,0.07468892882726011,1.4333516199549472,2.777962676627251,-0.06469317039928801,1.6919051438196684,1.817105193967136,0.6811594202898551,0.04566739263115494
UnleveredVIX6LogGrowth_NoOption,validation_2013_2017,2013-01,2017-12,60.0,0.02979279621471398,0.039253696574215104,0.768089469907639,1.2574951345081922,-0.05076839381958975,0.5868374784631847,1.158108494921557,0.6166666666666667,0.22184119385357776
UnleveredVIX6LogGrowth_PutCandidate,validation_2013_2017,2013-01,2017-12,60.0,0.027754144399681602,0.039386669723874126,0.7151949509813603,1.1603628279512392,-0.05126883542860727,0.54134532543322,1.146690418634302,0.6166666666666667,0.2223923785371934
UnleveredVIX6GrowthSleeve,validation_2013_2017,2013-01,2017-12,60.0,0.03452473040641557,0.05402310578879707,0.6557075539866712,1.0787568411613129,-0.06792415099552518,0.5082835766131262,1.1849618949315446,0.5833333333333334,0.0919895448965058
Stage10_SharpeCAGR_Core,validation_2013_2017,2013-01,2017-12,60.0,0.03004244910794185,0.02325548962097364,1.2858287315065584,2.14146724762517,-0.029528986246986855,1.0173884351010318,1.159512978215778,0.75,0.007671338358089363
Stage11_MSELogGrowth,validation_2013_2017,2013-01,2017-12,60.0,0.03578463916056429,0.05949356375001594,0.621070802925079,0.9924319490529063,-0.09197016124547919,0.3890896642558979,1.1921950941603787,0.5833333333333334,0.12327204238306286
