Strategy,UnderwaterStart,Trough,Recovery,EpisodeMDD,MonthsToTrough,NetReturnToTrough,TotalCostToTrough,KODEX200_Contribution,BOND_Contribution,GLD_Contribution,USO_Contribution,StockBondCorrelation,AverageCrashPressure,AveragePortfolioPressure
Stage14_StaticLambda,2012-10,2014-10,2019-08,-0.2319208295015139,25,-0.2319208295015135,0.0003587718709267982,-0.015444947834789795,0.0014635491997864296,-0.23688634694394692,2.60064766972649e-18,0.05803526667676514,,
Stage14_StaticLambda,2026-06,2026-07,ongoing,-0.1589795002750895,2,-0.15897950027508956,0.0004441316501655,-0.09524740295701214,-0.0005035238799878714,-0.06534128796746093,-2.7556655127719417e-18,-1.0,,
Stage14_StaticLambda,2008-07,2008-10,2008-12,-0.1209103658454293,4,-0.12091036584542947,0.0020235218378731653,-0.022345006285381455,0.006098779146882836,-0.04225333776759761,-0.057975113890891994,-0.6504373097830235,,
Stage14_StaticLambda,2009-03,2009-04,2009-11,-0.1110256213005849,2,-0.1110256213005848,0.00020097886455930575,1.461426933309351e-07,0.010940841553359535,-0.12495808700188009,-1.264263916576361e-19,-1.0,,
Stage14_StaticLambda,2026-03,2026-03,2026-04,-0.097731321258133,1,-0.097731321258133,4.57107105602646e-05,-0.06623293777107928,-0.0006258288723248953,-0.030826843904168566,0.0,,,
Stage17A_DynamicSigma,2012-10,2014-10,2019-08,-0.2339140700252973,25,-0.2339140700252974,0.0003692934506370597,-0.015513039978687564,0.0015619758692499873,-0.23944430000770206,1.3476535318366906e-18,0.05803526667676514,0.1466102143644644,0.057319417202541745
Stage17A_DynamicSigma,2026-06,2026-07,ongoing,-0.16864877798430866,2,-0.16864877798430877,0.00044278398143482336,-0.10649051012199248,-0.00039243647648184207,-0.06373319537984355,-8.75981520973701e-18,-1.0,0.0,0.0
Stage17A_DynamicSigma,2008-07,2008-10,2008-12,-0.12105420858773919,4,-0.12105420858773919,0.002032922342263383,-0.022928655830287487,0.005850521550893198,-0.04378636559857319,-0.05565880897317095,-0.6504373097830235,0.05799300975256,0.024308152660441073
Stage17A_DynamicSigma,2009-03,2009-04,2009-11,-0.11620417438679242,2,-0.11620417438679254,0.00022123187752857846,9.05475821293133e-08,0.0105633474630429,-0.13005840689889514,-7.938817199566812e-19,-1.0,0.16798718244357558,0.032760788802077744
Stage17A_DynamicSigma,2026-03,2026-03,2026-04,-0.0992328846918984,1,-0.0992328846918984,2.298991703324944e-05,-0.06820105304869337,-0.0005364945427402824,-0.030472347183431458,4.708360985987966e-19,,0.4748516608636095,0.11467043085996755
Stage17B_DynamicES,2012-10,2013-06,2019-06,-0.1700655473542435,9,-0.17006554735424384,3.9313392725754884e-08,-0.02438063184371955,0.0016211934270149077,-0.15880042349349505,-1.4657081748829771e-18,0.15268877599730127,0.22114003495221093,0.06184299997824098
Stage17B_DynamicES,2026-06,2026-07,ongoing,-0.15240150820832687,2,-0.15240150820832676,0.0002295386453695513,-0.08757990218817086,-0.0006252589368628166,-0.06664421382621138,1.2110856783661244e-20,-1.0,0.0,0.0
Stage17B_DynamicES,2009-03,2009-04,2009-11,-0.1110257181069293,2,-0.1110257181069293,0.00020097961046940845,0.0,0.010940857570569966,-0.12495805971444099,0.0,-1.0,0.16798718244357558,0.031181419338137836
Stage17B_DynamicES,2008-07,2008-08,2008-11,-0.1016540654930852,2,-0.1016540654930852,0.0008775319504957928,-0.015184691823363846,-0.00020078872948727753,-0.05730179920607267,-0.02989434638385352,1.0,0.11598601950512,0.04730842620329552
Stage17B_DynamicES,2026-03,2026-03,2026-05,-0.0819821291993259,1,-0.0819821291993259,5.423817458788701e-06,-0.04686586378578322,-0.001603869157191421,-0.03350697243889246,3.734379932494848e-20,,0.4748516608636095,0.09358827009263354
Stage17C_DynamicSigmaES,2012-10,2013-06,2019-06,-0.17463843476084928,9,-0.1746384347608495,1.288773663506576e-07,-0.024374280295334567,0.0015028693387790512,-0.16398100958262016,7.259014694907956e-22,0.15268877599730127,0.22114003495221093,0.06314636450386774
Stage17C_DynamicSigmaES,2026-06,2026-07,ongoing,-0.15280208848687316,2,-0.15280208848687316,0.00023002667515852494,-0.08804932682338042,-0.0006195732519641366,-0.06657592227883413,1.0665845950082296e-19,-1.0,0.0,0.0
Stage17C_DynamicSigmaES,2009-03,2009-04,2010-04,-0.11620423475968111,2,-0.116204234759681,0.00022123231968778747,0.0,0.01056335732317576,-0.13005839057062532,0.0,-1.0,0.16798718244357558,0.03276078867796101
Stage17C_DynamicSigmaES,2008-07,2008-08,2008-11,-0.10045011816871408,2,-0.10045011816871408,0.0008416557679003644,-0.014774383943896824,-0.00014748473913201192,-0.05738252761299352,-0.029076865040604655,1.0,0.11598601950512,0.04719651399752566
Stage17C_DynamicSigmaES,2026-03,2026-03,2026-05,-0.08220114475596751,1,-0.08220114475596751,4.945411175461365e-06,-0.047129266447052516,-0.0015897519581283335,-0.03347718093961117,0.0,,0.4748516608636095,0.09377955593724188
