month,macro_signal_month,stress_signal_month,stress_signal_date,stress_score,crash_evidence,crash_pressure,normalization_state,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,p_Goldilocks,p_Overheating,p_Slowdown,p_Stagflation,w_KODEX200,w_BOND,w_GLD,w_USO,expected_monthly_return,expected_monthly_variance,expected_annual_log_growth,downside_risk_aversion_lambda,variance_penalty,downside_semivariance,expected_shortfall,tail_multiplier,tail_penalty,estimated_transaction_cost,monthly_utility,policy,covariance_mode,tail_mode,internal_transaction_cost,market_crash_pressure,portfolio_vulnerability,portfolio_crash_pressure,solver_success,primary_solver_success,primary_solver_message,used_feasibility_retry,used_fallback,solver_status,solver_message,solver_iterations,objective_value,expected_annual_volatility,historical_cdar,sum_error,volatility_slack,cdar_slack,largest_weight,largest_asset,weights_above_half,macro_mu_KODEX200,macro_mu_BOND,macro_mu_GLD,macro_mu_USO,stress_mu_adjustment_KODEX200,stress_mu_adjustment_BOND,stress_mu_adjustment_GLD,stress_mu_adjustment_USO
2007-04,2007-03,2007-03,2007-03-30,0.44154815101722783,0.39908186850465355,0.0,False,0.010647942149862468,0.012147956435457387,1.0106479421498624,0.0,1.0,0.0015,1.428559491960072e-08,0.3429454267428201,0.07263428340210744,0.4822763499007575,0.102143939954315,0.2188491649246258,0.781122263885535,2.8571189839201438e-05,0.0,0.004700659042124588,6.870409996214387e-05,0.055995683905722196,1.0,3.435204998107193e-05,1.8064817248791036e-05,0.009924475057962203,1.0,9.849520517611388e-05,0.0015000158205888865,0.003067795966378516,Stage17B_DynamicES,stage14_raw_stress,expected_shortfall_squared,True,0.0,0.35997523224965006,0.0,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,16,-0.0030677959663785157,0.02871322342659783,-0.013664304674942174,0.0,0.10128677657340218,0.14633569532505783,0.781122263885535,BOND,1,0.005981859489816315,0.004319868846811146,0.008036764827242006,-0.019417707978684137,0.0,2.181489682848952e-05,-0.0028478603448940445,0.0
2007-05,2007-04,2007-04,2007-04-30,0.4955475396676942,0.5243661813533004,0.04873236270660075,False,0.03453058142024079,0.03518139237023492,1.045546203203467,0.0,0.20357284867473796,0.0006107185460242139,4.009240396991271e-05,0.3824198999494422,0.1333930097136458,0.3589727499538459,0.12521434038306603,0.3530748648447065,0.5667126226353998,0.08021251251989375,2.6020852139652106e-18,0.006426335094774063,0.0002080024011930673,0.07586800673013035,1.0,0.00010400120059653366,7.530440802101107e-05,0.020136430300324363,1.0045458603115034,0.0004073190617010529,0.0006508124500163604,0.005264202382460116,Stage17B_DynamicES,stage14_raw_stress,expected_shortfall_squared,True,0.04873236270660075,0.09328216525991859,0.004545860311503425,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,13,-0.005264202382460116,0.04996027236031453,-0.031071095813623606,0.0,0.08003972763968548,0.1289289041863764,0.5667126226353998,BOND,1,0.010159779414038166,0.0038325053889095985,0.006029036487105609,-0.024329117534413212,-7.277578310079272e-06,2.609860763735818e-05,0.0021370497021497006,0.0
2007-06,2007-05,2007-05,2007-05-31,0.5871695775491049,0.6259018695029103,0.25180373900582054,False,0.007939049961896769,0.009438363844406142,1.0538468467481708,0.0,0.4997682932234595,0.0014993048796703786,9.002838995637626e-09,0.32986573743684366,0.1297630813977513,0.387812797762994,0.15255838340241104,0.8719861654788775,0.04893075995317392,0.07908307456794854,2.979588983801833e-17,0.015161566974107627,0.001402915736344829,0.17352130927122256,1.0,0.0007014578681724145,0.0004919398874465099,0.05560854412077301,1.0486936930431559,0.0032428861818937058,0.0014993154380076516,0.009717907486033855,Stage17B_DynamicES,stage14_raw_stress,expected_shortfall_squared,True,0.25180373900582054,0.19337954724345977,0.048693693043155885,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,34,-0.009717907486033855,0.12974971613124225,-0.08056128376236588,0.0,0.0002502838687577502,0.07943871623763413,0.8719861654788775,KODEX200,1,0.01633389739798579,0.003732169968408361,0.007043499592244383,-0.022812535123023548,0.0,2.302536151350693e-05,0.0022491317003778583,0.0
2007-07,2007-06,2007-06,2007-06-29,0.4727490475190912,0.4878612193114959,0.0,False,0.08869028502468108,0.08869037804823332,1.1473128239586274,0.0,3.081412221646451e-05,9.244236664939352e-08,5.811855905133489e-10,0.3726100344142113,0.12204754043204279,0.38065859698200916,0.12468382817173676,0.8752357681006493,0.04846195414314021,0.07630227775621051,4.793993016650175e-17,0.01451868033480051,0.0013242937394807447,0.16627840158072166,1.0,0.0006621468697403723,0.00046158340166384054,0.05579495980105578,1.0,0.0031130775392014306,9.531509322065875e-08,0.010743360610765485,Stage17B_DynamicES,stage14_raw_stress,expected_shortfall_squared,True,0.0,0.4937954319029283,0.0,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,3,-0.010743360610765485,0.12606159158827457,-0.08071663203486451,0.0,0.003938408411725436,0.07928336796513549,0.8752357681006493,KODEX200,1,0.01593987588440189,0.0034935591567121804,0.0048157237762527175,-0.016636595063795924,0.0,-2.0034814582234865e-06,0.00040460807199546556,0.0
2007-08,2007-07,2007-07,2007-07-31,0.6341131253053367,0.5678133621281115,0.13562672425622302,False,-0.012274272780795334,-0.012137064816227816,1.1332303933924546,-0.012274272780795403,0.045735873086269196,0.0001372076192588076,3.4530871048607047e-10,0.3282145338471756,0.10819526939321378,0.4238642036379763,0.13972599312163433,0.8373625661485502,0.09059526072637035,0.07204217312507942,6.431693871603117e-17,0.018612874220332105,0.0014083333333334582,0.21490449064398454,1.0,0.0007041666666667291,0.0003926190828851403,0.0531500682033777,1.0673929794506045,0.0030153101826164495,0.000137210513964101,0.014756186857084826,Stage17B_DynamicES,stage14_raw_stress,expected_shortfall_squared,True,0.13562672425622302,0.4969004436270767,0.06739297945060442,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,14,-0.014756186857084826,0.13000000000000575,-0.0767654089828364,0.0,-5.745404152435185e-15,0.0832345910171636,0.8373625661485502,KODEX200,1,0.021237938761680175,0.003775575555098884,0.006240372031549492,-0.007970839241781132,0.0,-1.2483520876854465e-06,0.0005207116642009093,0.0
2007-09,2007-08,2007-08,2007-08-31,0.676341430829936,0.604155869999016,0.2083117399980321,False,0.03650413631348238,0.036533611276361205,1.174597990147434,0.0,0.009824887427448765,2.9474662282346294e-05,3.005964798639498e-10,0.36907606328132014,0.0977704766240169,0.4214964947934556,0.11165696530120746,0.8435354046322154,0.08168538770274769,0.07477920766503686,6.875414758807639e-19,0.016801704053072946,0.001408333337877317,0.19317044860961147,1.0,0.0007041666689386585,0.00038495986220509,0.0536074590759874,1.0951269478478087,0.003147131654704158,2.9477594254784946e-05,0.012920928135175347,Stage17B_DynamicES,stage14_raw_stress,expected_shortfall_squared,True,0.2083117399980321,0.45665668122549063,0.09512694784780863,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,10,-0.012920928135175347,0.13000000020972233,-0.0775288383731364,0.0,-2.0972232284144354e-10,0.0824711616268636,0.8435354046322154,KODEX200,1,0.01885089981116167,0.003418055633750853,0.007402303621850981,-0.009527169581596839,0.0,-0.000126868188748397,0.0010420320491611212,0.0
2007-10,2007-09,2007-09,2007-09-28,0.5193018641774033,0.28829916499271335,0.0,True,0.05923694045585045,0.0592890341723945,1.244177581349359,0.0,0.017364291344698524,5.209287403409557e-05,8.425099516167516e-10,0.39272223717645033,0.06551509001248977,0.4643058002067272,0.07745687260433265,0.8610399390537651,0.061642240359726,0.0773178205865089,1.1123260734484383e-18,0.017875206122053306,0.001408333333483906,0.20605247346373623,1.0,0.000704166666741953,0.0003804256676960521,0.054837232374067804,1.0,0.00300712205444751,5.2095765412939066e-05,0.014111821635450904,Stage17B_DynamicES,stage14_raw_stress,expected_shortfall_squared,True,0.0,0.44431309615843284,0.0,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,11,-0.014111821635450904,0.1300000000069495,-0.07938845631518959,0.0,-6.949496533792399e-12,0.08061154368481041,0.8610399390537651,KODEX200,1,0.01964864206481681,0.003370312922101818,0.01097708850210908,-0.004330054794991905,0.0,-2.194595231028309e-05,-0.0012698863484997044,0.0
2007-11,2007-10,2007-10,2007-10-30,0.7818130798505039,0.5361762784448465,0.0,True,-0.06152226030720925,-0.06109780460946266,1.1676329643211898,-0.0615222603072092,0.12127305649902621,0.0003638191694970786,6.0636528249513095e-05,0.46394896786708834,0.19175007547114664,0.24361492532554746,0.10068603133621763,0.8015019156470772,0.0,0.19849808435292282,0.0,0.02129889191801412,0.0014083333333335057,0.2471367030161684,1.0,0.0007041666666667528,0.00034777947412467685,0.05232631017361176,1.0,0.0027380427363850254,0.0004244571977796066,0.017432225317182734,Stage17B_DynamicES,stage14_raw_stress,expected_shortfall_squared,True,0.0,0.4429128884078887,0.0,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,7,-0.017432225317182734,0.13000000000000794,-0.0806414912648038,0.0,-7.93809462606987e-15,0.0793585087351962,0.8015019156470772,KODEX200,1,0.02224973240988005,0.0034170722214673277,0.013634121970384964,0.005240729763161041,0.0,-0.00012687961831703794,0.0038254357888653674,0.0
2007-12,2007-11,2007-11,2007-11-30,0.6626775724585523,0.330891488848047,0.0,True,0.03428749052562454,0.03509555961930529,1.2076681685227595,-0.0293442136989831,0.2308768839087871,0.0006926306517263613,0.00011543844195439355,0.3303845902520425,0.22506108407086484,0.2644253174041543,0.18012900827293832,0.554277429288622,0.0,0.44572257071137794,0.0,0.014751084732563386,0.0012449098772809998,0.16954355752707462,1.0,0.0006224549386404999,0.00032869553743799737,0.05318543261708449,1.0,0.002828690242666435,0.0008080720936883346,0.010491867457568116,Stage17B_DynamicES,stage14_raw_stress,expected_shortfall_squared,True,0.0,0.6206958213978069,0.0,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,8,-0.010491867457568116,0.1222248686944355,-0.07298415658150587,0.0,0.007775131305564509,0.08701584341849414,0.554277429288622,KODEX200,1,0.016795507113575185,0.0030570845221652744,0.013610521919044563,0.002613805947482122,-0.0005781325728853524,-0.00037877100665056337,-0.000682839003766991,0.0
2008-01,2007-12,2007-12,2007-12-28,0.5132411542673639,0.4689537091171352,0.0,False,-0.015752674651034665,-0.015752580251994844,1.1886441647776096,-0.044634638498727175,2.69711542343343e-05,8.09134627030029e-08,1.3485577117167164e-08,0.23527417869557943,0.24077260879188606,0.25895072709012407,0.2650024854224105,0.5321817972100232,0.0,0.46781820278997677,5.600063540219698e-20,0.016812234508721945,0.0011440518998484983,0.19488250270557234,1.0,0.0005720259499242492,0.0003040024791942259,0.04034237391743023,1.0,0.001627507133293755,9.746390167132649e-08,0.014612603961602268,Stage17B_DynamicES,stage14_raw_stress,expected_shortfall_squared,True,0.0,0.45272636030021823,0.0,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,2,-0.014612603961602268,0.11716920584429161,-0.06956138002722212,0.0,0.012830794155708397,0.09043861997277788,0.5321817972100232,KODEX200,1,0.01582020318536925,0.003046356919003379,0.017639887350137957,0.009048293983437828,6.303466285221209e-05,-2.1061383654365574e-05,0.00022915749524635658,-3.077643264176635e-08
