Strategy,UnderwaterStart,Trough,Recovery,EpisodeMDD,MonthsToTrough,NetReturnToTrough,TotalCostToTrough,KODEX200_Contribution,BOND_Contribution,GLD_Contribution,USO_Contribution,StockBondCorrelation,AverageCrashPressure,AveragePortfolioPressure
Stage14_StaticLambda,2026-06,2026-07,ongoing,-0.15892762402742733,2,-0.15892762402742733,0.0003835267298716365,-0.09524743464863328,-0.0005035238083792124,-0.06534127178999682,-9.518979780951499e-19,-1.0,,
Stage14_StaticLambda,2012-03,2018-11,2020-04,-0.14980152716357664,81,-0.1498015271635772,0.0378977770689307,-0.02700905003102069,0.09376279765083771,-0.1768398433541532,-1.1289372988438831e-17,-0.11240504131736019,,
Stage14_StaticLambda,2008-07,2008-10,2008-12,-0.13366603179023862,4,-0.1336660317902385,0.0037259783836226094,-0.021317176755574225,0.006347917476657929,-0.07544185943361464,-0.041272191410585087,-0.6504373097830234,,
Stage14_StaticLambda,2009-03,2009-04,2009-09,-0.11102571813858964,2,-0.11102571813858964,0.0002009796104593697,1.4219067769083162e-18,0.010940857568909687,-0.12495805974608941,-6.126657259774565e-19,-1.0,,
Stage14_StaticLambda,2026-03,2026-03,2026-05,-0.0904647930338589,1,-0.0904647930338589,1.3144514588062515e-05,-0.05725960128772563,-0.0010727819311094201,-0.03211926530043582,5.054684729498889e-19,,,
Stage20_DailyTechnicalConfidence,2012-03,2018-11,2020-07,-0.21623029854841558,81,-0.21623029854841525,0.044782247612929815,-0.04208027628420342,0.09557571252939802,-0.23657318794564208,-1.7093274382677225e-18,-0.11240504131736019,,
Stage20_DailyTechnicalConfidence,2008-07,2008-10,2009-01,-0.12862736885795278,4,-0.12862736885795278,0.003408965290080517,-0.04248086599137356,0.007497978781297047,-0.06067543510530297,-0.031276990420297295,-0.6504373097830234,,
Stage20_DailyTechnicalConfidence,2026-06,2026-07,ongoing,-0.12544503160151588,2,-0.12544503160151588,0.0003818638429430844,-0.05671434302274542,-0.0009056154836116223,-0.07004834692301376,-5.633700564556459e-18,-1.0,,
Stage20_DailyTechnicalConfidence,2020-08,2021-11,2023-12,-0.10105926002460719,16,-0.10105926002460719,0.005997700829859436,-0.03225515050231375,-0.009607988854450142,-0.05557655876560434,-1.0074773376469074e-18,-0.12861367990594463,,
Stage20_DailyTechnicalConfidence,2009-03,2009-04,2009-08,-0.09128671418381729,2,-0.09128671418381729,0.0001755941792671486,0.0,0.012360954993730106,-0.10559586314481433,0.0,-1.0,,
