Strategy,ResearchStatus,Change,Period,Start,End,Months,CAGR,Volatility,Sharpe,MDD,DeltaCAGR,DeltaSharpe,DeltaMDD,PassCAGR10,PassSharpe1,PassStage20MDD,PassAllPointTargets,ParetoImprovesStage20
Stage20_DailyTechnicalConfidence,frozen_baseline,none,full_2007_2026,2007-04,2026-07,232,0.09397401533373362,0.09598088319124404,0.9865029237664972,-0.1401480683882158,0.0,0.0,0.0,False,False,True,False,False
Stage21_OneSidedConfidence,predeclared_single_change,one-sided optimistic-view filter,full_2007_2026,2007-04,2026-07,232,0.09598532243044189,0.10092555186997233,0.9613205183254206,-0.1804680295133173,0.0020113070967082702,-0.025182405441076527,-0.0403199611251015,False,False,False,False,False
Stage22_KRatioPrimary,predeclared_single_change,K-Ratio direction with RSI magnitude confirmation,full_2007_2026,2007-04,2026-07,232,0.09350707006240233,0.0941790746149607,0.9990147416177181,-0.13195219763971688,-0.00046694527133128716,0.012511817851220908,0.008195870748498923,False,False,True,False,False
Stage23_RelativeATR,predeclared_single_change,cross-sectionally normalized ATR covariance,full_2007_2026,2007-04,2026-07,232,0.0964119008150568,0.11411555006686806,0.8660984436186303,-0.161238239968585,0.0024378854813231765,-0.12040448014786687,-0.021090171580369188,False,False,False,False,False
Stage24_EquityKRatioOnly,exploratory_single_change,K-Ratio is the sole KODEX200 direction input,full_2007_2026,2007-04,2026-07,232,0.09518185527866763,0.09611497068685801,0.9967738018199502,-0.13628917494184756,0.0012078399449340083,0.010270878053453059,0.00385889344636825,False,False,True,False,True
Stage25_ConflictOnlyVeto,exploratory_single_change,conflict-only confidence for all assets,full_2007_2026,2007-04,2026-07,232,0.10125335229495858,0.10484246514632438,0.9750455616621636,-0.17791517984158667,0.007279336961224958,-0.011457362104333568,-0.03776711145337086,True,False,False,False,False
Stage26_EquityConflictVeto,exploratory_single_change,conflict-only confidence for KODEX200,full_2007_2026,2007-04,2026-07,232,0.10227003562622383,0.10589491379178946,0.9751714966906979,-0.16363130711555707,0.008296020292490214,-0.01133142707579926,-0.02348323872734126,True,False,False,False,False
Stage27_KRatioEquityVeto,exploratory_combination,K-Ratio-only KODEX200 direction plus equity conflict veto,full_2007_2026,2007-04,2026-07,232,0.10003645328088062,0.10372240718418839,0.9737170218877441,-0.15947982852489673,0.006062437947147004,-0.012785901878753059,-0.01933176013668092,True,False,False,False,False
Stage20_DailyTechnicalConfidence,frozen_baseline,none,locked_2018_2026,2018-01,2026-07,103,0.12939249879123738,0.10186062807031813,1.250270526864576,-0.11419024448153814,0.0,0.0,0.0,True,True,True,True,False
Stage21_OneSidedConfidence,predeclared_single_change,one-sided optimistic-view filter,locked_2018_2026,2018-01,2026-07,103,0.13489942068589844,0.10656408620724207,1.2456333892615197,-0.11373399214905877,0.005506921894661065,-0.004637137603056285,0.0004562523324793677,True,True,True,True,False
Stage22_KRatioPrimary,predeclared_single_change,K-Ratio direction with RSI magnitude confirmation,locked_2018_2026,2018-01,2026-07,103,0.12795500208395705,0.09975656813498672,1.2616811780548214,-0.11419429176053175,-0.001437496707280328,0.011410651190245424,-4.047278993613013e-06,True,True,False,False,False
Stage23_RelativeATR,predeclared_single_change,cross-sectionally normalized ATR covariance,locked_2018_2026,2018-01,2026-07,103,0.1304588166803775,0.1161871674260649,1.1181392039353313,-0.1570972642045645,0.0010663178891401337,-0.13213132292924468,-0.04290701972302635,True,True,False,False,False
Stage24_EquityKRatioOnly,exploratory_single_change,K-Ratio is the sole KODEX200 direction input,locked_2018_2026,2018-01,2026-07,103,0.13160226911093087,0.10282989441042796,1.2585229552926311,-0.11428897494686852,0.0022097703196934937,0.00825242842805518,-9.873046533037666e-05,True,True,False,False,False
Stage25_ConflictOnlyVeto,exploratory_single_change,conflict-only confidence for all assets,locked_2018_2026,2018-01,2026-07,103,0.1406314110428435,0.11053986752593406,1.250407179372607,-0.11286566163682865,0.011238912251606115,0.00013665250803107654,0.0013245828447094876,True,True,True,True,True
Stage26_EquityConflictVeto,exploratory_single_change,conflict-only confidence for KODEX200,locked_2018_2026,2018-01,2026-07,103,0.140828568940772,0.11457725313614174,1.2117845578283384,-0.11437670448462056,0.011436070149534627,-0.03848596903623758,-0.0001864600030824226,True,True,False,False,False
Stage27_KRatioEquityVeto,exploratory_combination,K-Ratio-only KODEX200 direction plus equity conflict veto,locked_2018_2026,2018-01,2026-07,103,0.13863553757279545,0.11137157271207226,1.2260067913878057,-0.11437671086266565,0.009243038781558077,-0.0242637354767703,-0.00018646638112751468,True,True,False,False,False
