Strategy,UnderwaterStart,Trough,Recovery,EpisodeMDD,MonthsToTrough,NetReturnToTrough,TotalCostToTrough,KODEX200_Contribution,BOND_Contribution,GLD_Contribution,USO_Contribution,StockBondCorrelation,AverageCrashPressure,AveragePortfolioPressure
Stage14_StaticLambda,2012-10,2014-10,2019-08,-0.23192082950151394,25,-0.23192082950151438,0.0003587718709268562,-0.015444947834789802,0.0014635491997864324,-0.23688634694394692,2.6006476697264892e-18,0.05803526667676514,,
Stage14_StaticLambda,2026-06,2026-07,ongoing,-0.15897950027508956,2,-0.15897950027508956,0.00044413165016555015,-0.09524740295701214,-0.0005035238799878717,-0.06534128796746093,-2.7556655127719414e-18,-1.0,,
Stage14_StaticLambda,2008-07,2008-10,2008-12,-0.12091036584542936,4,-0.12091036584542936,0.002023521837873266,-0.022345006285381455,0.006098779146882836,-0.04225333776759761,-0.05797511389089201,-0.6504373097830235,,
Stage14_StaticLambda,2009-03,2009-04,2009-11,-0.11102562130058491,2,-0.11102562130058491,0.00020097886455934232,1.461426933309351e-07,0.010940841553359535,-0.1249580870018801,-1.264263916576361e-19,-1.0,,
Stage14_StaticLambda,2026-03,2026-03,2026-04,-0.097731321258133,1,-0.097731321258133,4.57107105602646e-05,-0.06623293777107928,-0.0006258288723248957,-0.03082684390416857,0.0,,,
Stage23_RelativeATR,2012-10,2014-10,2017-07,-0.16123823996858477,25,-0.16123823996858444,0.0006834441737275903,-0.01733494124200768,0.022905890050129055,-0.17407912496171543,-4.05646362956737e-18,0.05803526667676514,,
Stage23_RelativeATR,2026-06,2026-07,ongoing,-0.15709726420456438,2,-0.1570972642045645,0.00023985275211440562,-0.09333666796020149,-0.0005052107874617316,-0.0655303250667025,2.940359778445333e-08,-1.0,,
Stage23_RelativeATR,2008-07,2008-10,2009-01,-0.14107683867225218,4,-0.1410768386722523,0.002877714223763547,-0.018349643654182943,0.007050031770525399,-0.06146592991525183,-0.0678485988912694,-0.6504373097830235,,
Stage23_RelativeATR,2009-03,2009-04,2010-04,-0.10793474598796893,2,-0.10793474598796893,0.00023536091769986824,0.002065278953336968,0.01088298222783558,-0.1236241190319943,-7.372435006801064e-19,-1.0,,
Stage23_RelativeATR,2026-03,2026-03,2026-05,-0.07729935674860722,1,-0.07729935674860733,2.1244280682790817e-05,-0.04123135593914404,-0.0019063202858360469,-0.034140436242944446,1.1781869292984224e-19,,,
