Strategy,UnderwaterStart,Trough,Recovery,EpisodeMDD,MonthsToTrough,NetReturnToTrough,TotalCostToTrough,KODEX200_Contribution,BOND_Contribution,GLD_Contribution,USO_Contribution,StockBondCorrelation,AverageCrashPressure,AveragePortfolioPressure
Stage14_StaticLambda,2012-10,2014-10,2019-08,-0.23192082950151394,25,-0.23192082950151438,0.0003587718709268562,-0.015444947834789802,0.0014635491997864324,-0.23688634694394692,2.6006476697264892e-18,0.05803526667676514,,
Stage14_StaticLambda,2026-06,2026-07,ongoing,-0.15897950027508956,2,-0.15897950027508956,0.00044413165016555015,-0.09524740295701214,-0.0005035238799878717,-0.06534128796746093,-2.7556655127719414e-18,-1.0,,
Stage14_StaticLambda,2008-07,2008-10,2008-12,-0.12091036584542936,4,-0.12091036584542936,0.002023521837873266,-0.022345006285381455,0.006098779146882836,-0.04225333776759761,-0.05797511389089201,-0.6504373097830235,,
Stage14_StaticLambda,2009-03,2009-04,2009-11,-0.11102562130058491,2,-0.11102562130058491,0.00020097886455934232,1.461426933309351e-07,0.010940841553359535,-0.1249580870018801,-1.264263916576361e-19,-1.0,,
Stage14_StaticLambda,2026-03,2026-03,2026-04,-0.097731321258133,1,-0.097731321258133,4.57107105602646e-05,-0.06623293777107928,-0.0006258288723248957,-0.03082684390416857,0.0,,,
Stage24_EquityKRatioOnly,2012-10,2013-06,2017-05,-0.13628917494184778,9,-0.13628917494184778,0.0006465601020379884,-0.03361989592360588,0.0030136478829699146,-0.112227061779695,-8.156207976939232e-19,0.15268877599730127,,
Stage24_EquityKRatioOnly,2026-06,2026-07,ongoing,-0.11428897494686852,2,-0.11428897494686852,0.00024976619191158147,-0.059511320312514215,-0.00135055085845928,-0.05454499246592716,-0.0006430525657155641,-1.0,,
Stage24_EquityKRatioOnly,2008-07,2008-10,2008-12,-0.10821131242982407,4,-0.10821131242982385,0.0023044316991009234,-0.022442856319014916,0.011004210459928323,-0.04581979771527612,-0.050345139857455826,-0.6504373097830235,,
Stage24_EquityKRatioOnly,2009-03,2009-04,2009-11,-0.07523698342147866,2,-0.07523698342147878,0.00016171472853942676,3.818378886179871e-18,0.013496395737854813,-0.08999461337851611,-2.2523308431721153e-18,-1.0,,
Stage24_EquityKRatioOnly,2026-03,2026-03,2026-05,-0.06696442231733268,1,-0.06696442231733268,0.00020557641417455979,-0.03359327606701249,-0.0028952549770213266,-0.030270314859124355,1.1170202808333168e-18,,,
