Strategy,UnderwaterStart,Trough,Recovery,EpisodeMDD,MonthsToTrough,NetReturnToTrough,TotalCostToTrough,KODEX200_Contribution,BOND_Contribution,GLD_Contribution,USO_Contribution,StockBondCorrelation,AverageCrashPressure,AveragePortfolioPressure
Stage20_VIX6,2012-10,2013-06,2017-05,-0.14014806838821614,9,-0.14014806838821592,0.0005095755199502862,-0.02918156297848429,0.0029959708780601226,-0.12109182459749798,1.035560253544406e-18,0.15268877599730127,,
Stage20_VIX6,2026-06,2026-07,ongoing,-0.11419024448153825,2,-0.11419024448153814,0.0002499789282104818,-0.05886352519805011,-0.0013468002566234798,-0.055037768853896024,-0.0007353573360895383,-1.0,,
Stage20_VIX6,2008-07,2008-10,2008-12,-0.106124427282826,4,-0.106124427282826,0.0022625654448946634,-0.02012209246459603,0.011084609600770885,-0.045871697756545905,-0.05049811002266749,-0.6504373097830235,,
Stage20_VIX6,2009-03,2009-04,2009-11,-0.075236983421479,2,-0.07523698342147889,0.00016171472853947682,3.362422476851773e-19,0.013496395737854815,-0.08999461337851608,-4.509422234067072e-19,-1.0,,
Stage20_VIX6,2026-03,2026-03,2026-05,-0.06659422304063523,1,-0.06659422304063523,0.0002070159607292274,-0.032964124540473635,-0.0029076813047311184,-0.030515401234701284,7.19070150733434e-18,,,
Stage30_PureODS_NoQuality,2012-10,2013-06,2019-08,-0.16909542072632555,9,-0.16909542072632555,0.00561987592915044,-0.07256176775789533,0.005698978088811005,-0.1080958818737279,2.2408466269076267e-19,0.15268877599730127,,
Stage30_PureODS_NoQuality,2026-06,2026-07,ongoing,-0.1150988005990099,2,-0.11509880059900979,0.0003064502802919334,-0.0731154358694508,-0.0014387376897998783,-0.041622689642191235,-5.45213147138058e-07,-1.0,,
Stage30_PureODS_NoQuality,2008-07,2008-10,2008-12,-0.106124427282826,4,-0.106124427282826,0.0022625654448946634,-0.02012209246459603,0.011084609600770885,-0.045871697756545905,-0.05049811002266749,-0.6504373097830235,,
Stage30_PureODS_NoQuality,2009-03,2009-04,2010-04,-0.07523698371952536,2,-0.07523698371952536,0.0001617147139697615,2.7588663382842097e-19,0.013496395721804853,-0.08999461368468623,-6.233943866023114e-20,-1.0,,
Stage30_PureODS_NoQuality,2026-03,2026-03,2026-05,-0.06971541022748495,1,-0.06971541022748506,0.00021443304457566427,-0.038747990403364595,-0.0028356799817581945,-0.027917306797786555,1.7882153588041293e-18,,,
Stage30_PureODS_QualityCausal,2012-10,2013-06,2017-04,-0.13599011337203426,9,-0.13599011337203426,0.0007718019198750883,-0.035003526780898894,0.0031788613899043647,-0.11046574312844898,9.660886453982417e-20,0.15268877599730127,,
Stage30_PureODS_QualityCausal,2026-06,2026-07,ongoing,-0.11553591560052312,2,-0.11553591560052312,0.00027059553953638545,-0.07092914161320585,-0.001417027208050997,-0.04443307656734835,-1.2714212107689696e-07,-1.0,,
Stage30_PureODS_QualityCausal,2008-07,2008-10,2008-12,-0.106124427282826,4,-0.106124427282826,0.0022625654448946634,-0.02012209246459603,0.011084609600770885,-0.045871697756545905,-0.05049811002266749,-0.6504373097830235,,
Stage30_PureODS_QualityCausal,2009-03,2009-04,2010-04,-0.07523698346238117,2,-0.07523698346238106,0.00016171472654007474,3.467466336303787e-18,0.013496395735652216,-0.089994613420533,-3.674827885211254e-19,-1.0,,
Stage30_PureODS_QualityCausal,2026-03,2026-03,2026-05,-0.06974870883184958,1,-0.06974870883184969,0.00021513066270191657,-0.03881696897705058,-0.002835453801768068,-0.027881155390329142,1.3579120965440968e-17,,,
