target_month,option_signal_month,option_signal_date,macro_signal_date_for_residual,put_skew25,implied_variance_asymmetry,residual_put_skew_fast,residual_iva_fast,residual_put_skew_slow,residual_iva_slow,z_residual_put_skew_fast,z_residual_iva_fast,z_residual_put_skew_slow,z_residual_iva_slow,abnormal_bear_pressure_fast,abnormal_bear_pressure_slow,pure_direction_raw,option_erp_proxy,z_option_erp_proxy,q_dte,q_coverage,q_parity,q_arbitrage,q_roll,data_quality_confidence,quality_weighted_direction,option_direction,option_direction_score,put_skew_slow_training_observations,dte,maturity_method,causal_calibration_raw_slope,causal_calibration_slope,calibration_observations,calibrated_mu_adjustment_KODEX200,ablation_component
2006-04,2006-03,2006-03-31,2006-02-28,0.0137215150187667,0.10896309314587015,-0.00023775673182060714,-0.09825542899269457,0.009065970054844791,0.04945748550161677,0.019765660560267167,-0.3090624382483056,0.633427918664591,0.1874416139008008,-0.1446483888440192,0.41043476628269593,-0.13289318871933836,0.025651921696002764,-1.364232359395117,0.6382978723404256,0.2409274792848994,0.9909541113539291,0.9230769230769231,1.0,0.14066989755938378,-0.018694071243489183,-0.018694071243489183,-0.01835101604220578,591.0,13.0,nearest_listed_proxy,0.0,0.0,0,-0.0,pure_direction_quality_causal_calibration
2006-05,2006-04,2006-04-28,2006-03-31,0.01095899830155897,-0.07505070993914804,-0.006765253401669041,-0.35655765992513394,-0.0031436633279004512,-0.30575972723237926,-0.4301586640068821,-1.1163018718507025,-0.08666651145997632,-0.945844208822993,-0.7732302679287923,-0.5162553601414847,0.6447428140351386,0.020407183477136034,-1.666350656812923,0.6382978723404256,0.27171406801018055,0.97437638060727,0.8833333333333333,1.0,0.14927493423229127,0.09624394116183771,0.09624394116183771,0.08779427420126493,606.0,13.0,nearest_listed_proxy,0.0,0.0,1,0.0,pure_direction_quality_causal_calibration
2006-06,2006-05,2006-05-30,2006-04-30,0.03081012697202265,0.27982646420824286,0.02961018752293868,0.11071958610205569,0.0005645106212450648,-0.04398251187136221,2.16831709661124,0.3573636310875117,0.15456999706834582,-0.10035734357650374,1.2628403638493757,0.02710632674592104,-0.6449733452976484,0.03220163628995051,-0.9970376911333385,0.5882352941176471,0.28681629448422075,0.987699516991385,0.8759191176470589,1.0,0.14596332433906764,-0.09414245358973412,-0.09414245358973412,-0.08604222720804353,622.0,9.0,nearest_listed_proxy,0.0,0.0,2,-0.0,pure_direction_quality_causal_calibration
2006-07,2006-06,2006-06-30,2006-05-31,0.019704990224177404,-0.09673444239063476,-0.010133821095375306,-0.31463860631774176,0.008431533394772008,-0.14731899474059051,-0.6840634872198507,-1.0047996033196334,0.622173706208228,-0.4480600039103038,-0.844431545269742,0.08705685114896208,0.3786873470603899,0.040648931576746074,-0.6640115082125958,0.6382978723404256,0.38609689253279833,0.9918853989746846,0.9367167919799498,1.0,0.2289757583137526,0.086710222456976,0.086710222456976,0.0797914850390661,638.0,13.0,nearest_listed_proxy,0.0,0.0,3,0.0,pure_direction_quality_causal_calibration
2006-08,2006-07,2006-07-31,2006-06-30,0.028688772818519392,0.2793034159410583,-0.0012152859235965326,0.08125367259741155,-0.003401523733503142,0.10188751788652459,-0.046116127023607456,0.25795778997298285,-0.11609528987814928,0.34696289281431736,0.1059208314746877,0.11543380146808405,-0.11067731647138587,0.047974705763653036,-0.42276155657055525,0.6,0.3860968925327986,0.9534372972418322,0.9268092105263158,1.0,0.20470574667264682,-0.022656282707999877,-0.022656282707999877,-0.022154347546768996,653.0,10.0,nearest_listed_proxy,0.0,0.0,4,-0.0,pure_direction_quality_causal_calibration
2006-09,2006-08,2006-08-31,2006-07-31,0.008614171967637252,0.24904214559386972,0.010355795406313784,0.22188299751022397,-0.016853649838624016,-0.077892517051832,0.8063183409256603,0.7198188577959543,-0.914016477003025,-0.24942036680633062,0.7630685993608073,-0.5817184219046778,-0.09067508872806473,0.021923701675639135,-1.5450970553034102,0.6521739130434783,0.3860968925327985,0.9822703893622869,0.9126984126984127,1.0,0.22574496723795298,-0.020469444934215455,-0.020469444934215455,-0.020058851380439925,670.0,14.0,nearest_listed_proxy,0.0,0.0,5,-0.0,pure_direction_quality_causal_calibration
2006-10,2006-09,2006-09-29,2006-08-31,0.009034666192853424,0.28959999999999997,0.002887438855955114,-0.06257900055092991,0.01309082852282236,0.14432804221298406,0.2569507937124474,-0.20914694985580481,0.9546927908295166,0.48895265372503294,0.023901921928321287,0.7218227222772748,-0.37286232210279807,0.013782266135352144,-2.178434380904613,0.6382978723404256,0.26790864113466545,0.9913986537598879,0.885989010989011,1.0,0.15020582622259934,-0.056006093158727746,-0.056006093158727746,-0.053035767048656125,686.0,13.0,nearest_listed_proxy,0.0,0.0,6,-0.0,pure_direction_quality_causal_calibration
2006-11,2006-10,2006-10-31,2006-09-30,0.004164908489063146,-0.16865417376490635,-0.008153159829891194,-0.6899605839123424,-0.003682770191430918,-0.5255701579410057,-0.5643495352701369,-2.2921700611331897,-0.11758611964945816,-1.7509527550681772,-1.4282597982016632,-0.9342694373588176,1.1812646177802404,0.01894427319286003,-1.6856710740646226,0.5882352941176471,0.2093306248470068,0.9916723398921087,0.9295454545454546,1.0,0.1135070090056435,0.13408181360842977,0.13408181360842977,0.11822940108862805,701.0,9.0,nearest_listed_proxy,0.0,0.0,7,0.0,pure_direction_quality_causal_calibration
2006-12,2006-11,2006-11-30,2006-10-31,0.004822630489996427,0.4934876989869755,0.0009308419600485885,0.4098304145615336,-0.002931102558672247,0.20417944118575157,0.11321930151293642,1.3426030949563257,-0.07279507481877744,0.6921118162770462,0.727911198234631,0.3096583707291344,-0.5187847844818827,0.013039468202887153,-2.1460449248964597,0.6521739130434783,0.3557000493633157,0.9907047133240516,0.8712406015037594,1.0,0.20023024734829484,-0.1038764057173392,-0.1038764057173392,-0.09410148199502147,718.0,14.0,nearest_listed_proxy,0.0,0.0,8,-0.0,pure_direction_quality_causal_calibration
2007-01,2006-12,2006-12-28,2006-11-30,0.009273066271471786,0.3287671232876712,0.024922418852500513,0.09039229032883958,0.001372642644668711,-0.29811240801141414,1.9355761320639389,0.2846413685074913,0.21879588723299773,-0.9987226583067882,1.110108750285715,-0.38996338553689525,-0.36007268237440987,0.013829359233577736,-2.0157673412842714,0.6521739130434783,0.2642087578550244,0.984414190574646,0.8964285714285715,1.0,0.15205621927908358,-0.05475129074753108,-0.05475129074753108,-0.05190919530302479,732.0,14.0,nearest_listed_proxy,0.0,0.0,9,-0.0,pure_direction_quality_causal_calibration
2007-02,2007-01,2007-01-31,2006-12-31,0.01349311993964647,0.18400000000000014,-0.0024218220024310715,0.23530482815214562,0.017002062523789087,-0.2114128098753105,-0.14538367034621597,0.7661585418366063,1.191056685727278,-0.7022308779389683,0.3103874357451951,0.24441290389415482,-0.27740016981967497,0.027567214121363655,-1.0425320996190464,0.5769230769230769,0.2828232574553286,0.9821211816941403,0.9285714285714286,1.0,0.14880359561925716,-0.04127814269456018,-0.04127814269456018,-0.03964180270580055,749.0,8.0,nearest_listed_proxy,0.0,0.0,10,-0.0,pure_direction_quality_causal_calibration
2007-03,2007-02,2007-02-28,2007-01-31,0.03356271720473003,0.3955223880597015,0.026737603046039275,0.16628150231658897,0.0012011284456618634,0.3200404330777521,2.0662713791022225,0.5334715735058544,0.18500758509321594,1.0976758592904448,1.2998714763040384,0.6413417221918304,-0.9706065992479345,0.036631150636610134,-0.6355819367562164,0.5769230769230769,0.2975548677282184,0.9547749084027976,0.8970588235294117,1.0,0.1470303157498387,-0.14270859475630096,-0.14270859475630096,-0.12488625307551451,763.0,8.0,nearest_listed_proxy,0.0,0.0,11,-0.0,pure_direction_quality_causal_calibration
