Signal,Period,Observations,SpearmanIC,StandardizedBeta,HACBetaSE,HACBetaT,HACBetaPValue
near_otm2_direction_primary,full_2000_2026,318,-0.11262961993908999,-0.004354013067255398,0.005424189435299813,-0.8027029880114681,0.4221464254852032
next_otm2_direction_robustness,full_2000_2026,318,-0.11802378554960516,-0.008164744479225858,0.00980553913001567,-0.8326665541757733,0.40503281229139454
equal_months_otm2_direction_robustness,full_2000_2026,318,-0.12270742290007125,-0.006898589922188535,0.007296177540495811,-0.9455074090370533,0.3443998900737615
near_otm2_direction_primary,pre_2007,83,-0.15484568497370094,-0.005011740380217204,0.00867980783278379,-0.57740222787972,0.5636677695532724
next_otm2_direction_robustness,pre_2007,83,-0.076485067140958,0.004884808428216156,0.012623573831078467,0.38695923148087086,0.6987863898473186
equal_months_otm2_direction_robustness,pre_2007,83,-0.13740409952130456,-0.00012000268035386767,0.010873828132617072,-0.01103591843556073,0.9911947897996359
near_otm2_direction_primary,early_2007_2017,132,-0.08471560372150605,0.0007493512490647095,0.0075977499579108375,0.0986280482005701,0.9214335993476938
next_otm2_direction_robustness,early_2007_2017,132,-0.15818258380165803,-0.0054741360712820585,0.008106055863069027,-0.6753143777631827,0.49947605113979165
equal_months_otm2_direction_robustness,early_2007_2017,132,-0.11025653738277341,-0.001707311004289378,0.008321307666262356,-0.2051734021578658,0.8374366493807923
near_otm2_direction_primary,late_2018_2026,103,-0.0876055535084884,-0.01632039450642742,0.009907757886019249,-1.6472338842127932,0.09950998162908084
next_otm2_direction_robustness,late_2018_2026,103,-0.16296557099650166,-0.030463147680987734,0.007587048429585837,-4.015151341620032,5.940766152026411e-05
equal_months_otm2_direction_robustness,late_2018_2026,103,-0.12166028741530431,-0.026610351773521966,0.011216875462073313,-2.3723497567123157,0.017675350068778472
