Candidate,Metric,Mean,P05,P50,P95,ProbabilityPositive,Replications,BlockMonths
Stage34_NoChangeReproduction,delta_CAGR,2.4355225471950348e-08,-1.1203686867133841e-10,2.3147947225687915e-08,5.367956846802357e-08,0.949,2000,12
Stage34_NoChangeReproduction,delta_Sharpe,2.2953055652891185e-07,-3.330666564771434e-08,2.2247705100397752e-07,5.343645191335787e-07,0.9175,2000,12
Stage34_NoChangeReproduction,delta_MDD,4.456581325512632e-08,-6.188346096669406e-09,6.5427043782761984e-09,2.1340955802529038e-07,0.894,2000,12
Stage34_BasisAlpha,delta_CAGR,0.002209144441634954,-0.013134986601485843,0.0023976441743753796,0.017376493814534898,0.595,2000,12
Stage34_BasisAlpha,delta_Sharpe,0.002049213646162686,-0.1503249831473723,0.004068744834278992,0.15396040802288932,0.5175,2000,12
Stage34_BasisAlpha,delta_MDD,0.015408527689931522,-0.00946736292654457,0.010317825076164633,0.05378677705344643,0.866,2000,12
Stage34_BasisOIAlpha,delta_CAGR,0.0022045868942523047,-0.013134989061094992,0.0023976837120720518,0.017367116744718945,0.595,2000,12
Stage34_BasisOIAlpha,delta_Sharpe,0.0019771649310995443,-0.15040907870611708,0.003995768052449611,0.15395536762954554,0.5175,2000,12
Stage34_BasisOIAlpha,delta_MDD,0.015376907793017964,-0.009467948585913393,0.010308580673464185,0.053719355399269475,0.866,2000,12
Stage34_RiskConfirmation,delta_CAGR,1.9292727434167323e-05,-0.0001108227740281964,1.0454414822280711e-05,0.00017950667561219546,0.5445,2000,12
Stage34_RiskConfirmation,delta_Sharpe,9.219782922288602e-05,-0.0012397923534356481,-8.11560055069549e-06,0.0018656173861123946,0.4965,2000,12
Stage34_RiskConfirmation,delta_MDD,-5.427187849828752e-05,-0.0003681803868442024,-5.02142541170536e-05,0.00022569760136670336,0.3985,2000,12
Stage34_Combined,delta_CAGR,0.0022291642576102283,-0.013132681733426877,0.0024300953043978613,0.01739220811036104,0.595,2000,12
Stage34_Combined,delta_Sharpe,0.00229146760227379,-0.1507298973935562,0.004055525704584395,0.15393690691482806,0.521,2000,12
Stage34_Combined,delta_MDD,0.015347599292680822,-0.009537619385186285,0.010433319259522844,0.05381511275879851,0.867,2000,12
