target_month,asset_vol_signal_month,gvz_signal_date,gvz_level,gvz_causal_rank,gvz_prior_valid_observations,gvz_active,gvz_gld_variance_multiplier,ovx_signal_date,ovx_level,ovx_causal_rank,ovx_prior_valid_observations,ovx_active,ovx_uso_variance_multiplier,vix6_stress_score,macro_fragility,gld_recent_1m_return,gld_realized_vol_21d,gld_future_realized_vol_1m,gld_future_max_drawdown_1m,gld_future_max_drawdown_3m,gld_future_left_tail_1m,uso_recent_1m_return,uso_realized_vol_21d,uso_future_realized_vol_1m,uso_future_max_drawdown_1m,uso_future_max_drawdown_3m,uso_future_left_tail_1m
2007-04,2007-03,,,,0,False,1.0,,,,0,False,1.0,0.44154815101722783,0.5844202898550726,0.01677937735774382,0.22395647270924135,0.12792960615196394,0.026291061065292887,0.09064812054355076,,0.0757869291395612,0.2817658331298904,0.22360221301009883,0.08344929309840343,0.10871216580900034,
2007-05,2007-04,,,,0,False,1.0,,,,0,False,1.0,0.4955475396676942,0.484187090336912,-0.01855210588422962,0.12569468735551018,0.3517275253163576,0.08322420334112113,0.08322420334112113,,-0.08043351311633418,0.21797970477816972,0.3291448066141077,0.07020507106644702,0.07020507106644702,
2007-06,2007-05,,,,0,False,1.0,2007-05-31,28.44,,14,False,1.0,0.5871695775491049,0.5403711811654051,0.020373075597843515,0.31602231299293015,0.1490933609881204,0.04955282134274641,0.04955282134274641,,-0.00024233263053385912,0.26324733625676006,0.20847158331671672,0.029304029939267506,0.08465598466109558,
2007-07,2007-06,,,,0,False,1.0,2007-06-29,27.44,,35,False,1.0,0.4727490475190912,0.5053424251537459,-0.02604166341920977,0.14909336098812095,0.10235738809150854,0.026475661330805256,0.026475661330805256,,0.06400218623139442,0.20847158331671664,0.2361588976681251,0.036528652907148684,0.08465598466109547,
2007-08,2007-07,,,,0,False,1.0,2007-07-31,30.69,,56,False,1.0,0.6341131253053367,0.5635901967596106,0.027916529754136388,0.10235738809150939,0.15694213487247188,0.01968330972277732,0.040811107216916276,,0.1237995420901219,0.23615889766812498,0.23814758511993167,0.08465598466109558,0.08465598466109558,
2007-09,2007-08,,,,0,False,1.0,2007-08-31,28.86,,79,False,1.0,0.676341430829936,0.533153460094663,0.02538569387966172,0.15104011036967474,0.13811062957468548,0.01385568302536111,0.06104532896886583,,-0.03735934742450142,0.24642878181298028,0.21364432050162724,0.029687333554179407,0.10081781938087953,
2007-10,2007-09,,,,0,False,1.0,2007-09-28,29.32,,98,False,1.0,0.5193018641774033,0.5417626728110598,0.0716986139752378,0.1354962267014722,0.20593594634370144,0.040811107216916165,0.06104532896886583,,0.08300831970608025,0.20400912467877455,0.35655189877751214,0.04162190610419725,0.10790456059453846,
2007-11,2007-10,,,,0,False,1.0,2007-10-31,37.46,,121,False,1.0,0.7818130798505039,0.3443009566617651,0.05801773185992043,0.2001715025040146,0.2955964781517995,0.06104532896886561,0.06104532896886561,,0.16519861455596563,0.3657716929042609,0.32811240809868175,0.10081781938087964,0.10790456059453835,
2007-12,2007-11,,,,0,False,1.0,2007-11-30,37.26,,142,False,1.0,0.6626775724585523,0.44455432567709263,0.01622687023261493,0.29559647815179974,0.24066574683249847,0.028204248648659447,0.05051130589064656,,-0.026797555916185156,0.32811240809868175,0.322647445186816,0.032498355814482904,0.11554756446747272,
2008-01,2007-12,,,,0,False,1.0,2007-12-31,36.35,,162,False,1.0,0.5132411542673639,0.5239532125125346,0.08634531547774382,0.2504676365920665,0.22634451453370621,0.030694495739635896,0.08770699233482848,,0.1257138851229307,0.34125626808296966,0.2593008697835839,0.10404725008978322,0.11554756446747261,
2008-02,2008-01,,,,0,False,1.0,2008-01-31,30.24,,183,False,1.0,0.6374043030072718,0.548243318679785,0.10895704479819779,0.2263445145337066,0.1915128818405559,0.03882485975206473,0.12389691221968846,,-0.05803437557112956,0.25930086978358385,0.29893555361835616,0.04491134514499695,0.0901126063059704,
2008-03,2008-02,,,,0,False,1.0,2008-02-29,34.82,,203,False,1.0,0.587668445200261,0.5565465650109351,0.06178764605587439,0.18921953876407474,0.305201560869406,0.08770699233482837,0.14384529568818194,,0.1278319857998167,0.295682181404427,0.4790378129731944,0.0901126063059704,0.0901126063059704,
2008-04,2008-03,,,,0,False,1.0,2008-03-31,39.32,,223,False,1.0,0.5274413701575932,0.43943954012469855,-0.054461019742220285,0.29827559108778046,0.22442459020263317,0.06659533865318479,0.0878484473061869,,0.030435617840975704,0.4688917757995621,0.21460083103401467,0.02613776698900927,0.10320498187656135,
2008-05,2008-04,,,,0,False,1.0,2008-04-30,38.52,,245,False,1.0,0.4680286725621713,0.4483553933775172,-0.02831896024044145,0.18229035078769726,0.2642508660210561,0.06641773384062422,0.0801800340517127,,0.14632299232551826,0.21688537716962128,0.3565664669831069,0.0630369154555257,0.19061804355585843,
2008-06,2008-05,,,,0,False,1.0,2008-05-30,42.3,0.9850187265917603,266,True,1.9850187265917603,0.5104176318429294,0.33997356026918657,0.05495357915696775,0.2642508660210563,0.30096281873692793,0.038475599697736396,0.19047951297575338,,0.14455534303700257,0.3565664669831069,0.49426226315826005,0.04845444497837914,0.2428455102673004,
2008-07,2008-06,2008-06-30,26.92,,19,False,1.0,2008-06-30,45.11,0.953125,287,True,1.953125,0.6831293231709922,0.572208655541989,0.08300811250381623,0.3009628187369281,0.2240553974977383,0.06676846066381703,0.19047951297575338,,0.16187518574736104,0.4942622631582601,0.4396691165173256,0.19061804355585832,0.31178365665147356,
2008-08,2008-07,2008-07-31,22.94,,41,False,1.0,2008-07-31,47.02,0.9241935483870968,309,True,1.9241935483870969,0.5052696849588909,0.6159812409812411,-0.06538861887495995,0.2221896866820128,0.39188684923728956,0.1382105275817681,0.2750142244516067,,-0.16796555551337844,0.44697779043821734,0.48107066145985566,0.09679333621021302,0.35103239635769845,
2008-09,2008-08,2008-08-29,27.37,,62,False,1.0,2008-08-29,50.22,0.9682779456193353,330,True,1.9682779456193353,0.6021767779138312,0.7298798188320261,-0.02046016723963706,0.3918868492372898,0.4255302618633696,0.10850302819368096,0.27627546706000405,,-0.021786133991893664,0.48107066145985566,0.6445213625726993,0.1743142835985747,0.4130481635615244,
2008-10,2008-09,2008-09-30,48.92,,83,False,1.0,2008-09-30,59.56,0.9957386363636364,351,True,1.9957386363636362,0.6080814217442396,0.6033722826991577,0.1579810943978619,0.4255302618633698,0.8558724163068677,0.2750142244516067,0.27627546706000383,,-0.03870386776072532,0.6445213625726992,0.7881474959012679,0.33370616811012443,0.6253355240239143,
2008-11,2008-10,2008-10-31,55.61,,106,False,1.0,2008-10-31,80.56,0.9853333333333333,374,True,1.9853333333333332,0.8504830122889445,0.825383793986923,-0.11292155918896929,0.8971319798069545,0.4524421565142237,0.03374596316094791,0.13214394637574323,,-0.2771574921918093,0.8199208554054179,0.8147925729979407,0.17482102858349857,0.4761094022041804,
2008-12,2008-11,2008-11-28,48.81,,125,False,1.0,2008-11-28,80.26,0.9555837563451777,393,True,1.9555837563451777,0.587662425438711,0.9471559142611774,0.22346555359402998,0.6270435318037636,0.42213803764082847,0.1018344860288386,0.1018344860288386,,-0.1333986976026409,0.9234850010954104,0.6816458822546202,0.38758197216251833,0.45924610995835846,
2009-01,2008-12,2008-12-31,42.89,,147,False,1.0,2008-12-31,88.93,0.9555288461538461,415,True,1.9555288461538463,0.7572844152837244,0.9436513459757966,0.020511367618518905,0.3433800254973144,0.4332833021770747,0.0562826069095651,0.1716956650962257,,-0.2469845341953777,0.6724378220342778,0.9084002642869377,0.20196538781419537,0.3151035972655487,
2009-02,2009-01,2009-01-30,39.9,,167,False,1.0,2009-01-30,77.1,0.856651376146789,435,True,1.856651376146789,0.6729198918663233,0.9852236504078344,0.09998624303183012,0.42352207993855895,0.339006143172968,0.039959321086545874,0.24578433355028828,,-0.11433894032932213,0.932198564498754,0.6098821811936269,0.17024959101575476,0.1850869920110897,
2009-03,2009-02,2009-02-27,39.06,,186,False,1.0,2009-02-27,68.54,0.798901098901099,454,True,1.798901098901099,0.6184779580046844,0.9600273486404687,0.17410217114253035,0.32832725141525826,0.38222006365052175,0.1558591018333455,0.23791351434503338,,0.014643240762595156,0.5833777785751362,0.698259688444706,0.1337446939732665,0.1850869920110897,
2009-04,2009-03,2009-03-31,31.39,,208,False,1.0,2009-03-31,78.01,0.8647798742138365,476,True,1.8647798742138364,0.6603465368737922,0.9724035114660114,-0.14316297685112922,0.38833785274113036,0.4184457790703139,0.11505157592525961,0.12259185175861664,,-0.03395833718918784,0.666384437533116,0.5191640455643122,0.12278976771054351,0.12278976771054351,
2009-05,2009-04,2009-04-30,26.7,,229,False,1.0,2009-04-30,52.75,0.6937751004016064,497,True,1.6937751004016064,0.5987435409586312,0.9476458694396303,-0.127580985195188,0.4184457790703142,0.17144760272131213,0.02906245923873596,0.06315088407700653,,-0.05075793455720723,0.5191640455643118,0.34929463248494785,0.03938522136804401,0.16350074576131046,
2009-06,2009-05,2009-05-29,28.44,,249,False,1.0,2009-05-29,41.32,0.5048262548262549,517,True,1.5048262548262548,0.7754469721471016,0.9555834089145574,0.09868086112257912,0.2779073192118061,0.1784333864771475,0.04771184436427345,0.06315088407700653,,0.2558567813185719,0.39307171963731563,0.3639651946759064,0.06475104352403038,0.16350074576131046,
2009-07,2009-06,2009-06-30,20.9,0.001838235294117647,271,True,1.0018382352941178,2009-06-30,42.78,0.5212962962962963,539,True,1.5212962962962964,0.5356013526978503,0.8969946119443224,-0.033626207204167424,0.18233084297504673,0.15387919062004288,0.044371629307145555,0.07554321983497014,,0.05661144569436849,0.3619586454712587,0.4214333057522708,0.13982846007568073,0.18447416455528476,
2009-08,2009-07,2009-07-31,20.51,0.05612244897959184,293,True,1.0561224489795917,2009-07-31,45.72,0.5791814946619217,561,True,1.5791814946619218,0.5793765367439363,0.9109027294916147,-0.018967436771355706,0.15642002897725796,0.17448175698251686,0.024796510684597095,0.07554321983497003,,-0.05717770447107562,0.4270002026445406,0.3009403035103439,0.0555116075430474,0.17459406904846142,
2009-09,2009-08,2009-08-31,20.43,0.1,314,True,1.1,2009-08-31,47.09,0.6509433962264151,582,True,1.650943396226415,0.47663381396306337,0.8734805336242731,0.020119062590011394,0.1744817569825176,0.2544984436261687,0.07554321983497025,0.07554321983497025,,-0.01798720242713059,0.3009403035103433,0.46229767809542227,0.1367774706985425,0.1367774706985425,
2009-10,2009-09,2009-09-30,21.54,0.1324404761904762,335,True,1.1324404761904763,2009-09-30,45.23,0.5529801324503312,603,True,1.5529801324503312,0.5110100909362509,0.6685976108656522,-0.016396277138381876,0.2544984436261692,0.21702097538472107,0.030941990751483073,0.09967546583365794,,-0.06914986186223326,0.4622976780954219,0.31486937772456575,0.05176477571290927,0.16403331484693584,
2009-11,2009-10,2009-10-30,21.2,0.15223463687150837,357,True,1.1522346368715084,2009-10-30,41.13,0.4353035143769968,625,True,1.4353035143769968,0.6208937597410227,0.6076223450437286,0.06998365467097356,0.20529137538683462,0.11494579599931845,0.007745508575816795,0.11415172219876779,,0.10771035878445034,0.3181479719901853,0.2503285476456786,0.07377298618974382,0.14379537520979446,
2009-12,2009-11,2009-11-30,26.27,0.414021164021164,377,True,1.414021164021164,2009-11-30,41.17,0.4481424148606811,645,True,1.4481424148606812,0.437161376532362,0.49890528574982335,0.0894494181999903,0.11406026122870606,0.24828693501590832,0.09967546583365783,0.12746075830348647,0.0,-0.02576723374862211,0.2768759441967733,0.25040352923052844,0.09557281052172062,0.11588194763712256,
2010-01,2009-12,2009-12-31,23.71,0.26375,399,True,1.26375,2009-12-31,36.26,0.28817365269461076,667,True,1.2881736526946108,0.3869047445271933,0.5215623176466551,-0.06960159909106489,0.25441505911780066,0.18954753076092506,0.039516095925632655,0.05394646202518183,0.0,-0.0017431056966392688,0.2555994501461427,0.18993744865761297,0.10870166527323577,0.11588194763712256,
2010-02,2010-01,2010-01-29,23.87,0.2828162291169451,418,True,1.2828162291169452,2010-01-29,34.05,0.24963609898107714,686,True,1.249636098981077,0.4755215673485539,0.39155559730441525,-0.002545254253908835,0.18332702878071724,0.23289116401180335,0.052211398614831595,0.052211398614831595,0.0,-0.07593155448518829,0.18235656178173007,0.3245735737585391,0.05735893370319545,0.07889131917870795,
2010-03,2010-02,2010-02-26,21.31,0.1324200913242009,437,True,1.1324200913242009,2010-02-26,32.82,0.22025495750708216,705,True,1.2202549575070822,0.46916697302973437,0.35054812075054576,0.013216330504507878,0.22460435741912685,0.17012076750897479,0.051495342593968596,0.05862348146841101,0.0,0.06995331466683186,0.31438616444141276,0.21932613371575008,0.03064864181666338,0.21149054267134815,
2010-04,2010-03,2010-03-31,18.14,0.01193058568329718,460,True,1.0119305856832972,2010-03-31,29.61,0.11728395061728394,728,True,1.117283950617284,0.3738195129021655,0.27831385015770405,-0.01634885492958893,0.17055361524339002,0.1643096109868492,0.026041406547571477,0.05905786670597657,0.0,0.02841972034808271,0.2117403541842568,0.23154006186394172,0.07889131917870795,0.21149054267134815,
2010-05,2010-04,2010-04-30,20.42,0.1524896265560166,481,True,1.1524896265560165,2010-04-30,30.25,0.16666666666666666,749,True,1.1666666666666667,0.4181018819555672,0.22573887560019798,0.0460454184414143,0.1643096109868499,0.4596896530168224,0.05862348146841079,0.11215381779305156,0.0,-0.0005429308412815415,0.2315400618639411,0.40435216704972893,0.1880564334116821,0.1880564334116821,
2010-06,2010-05,2010-05-28,22.28,0.25796812749003983,501,True,1.2579681274900398,2010-05-28,40.49,0.4850649350649351,769,True,1.4850649350649352,0.5500399626770266,0.1958342423787901,0.12954600586392062,0.448050950599069,0.31181438101587944,0.05905786670597646,0.11215381779305167,0.0,-0.110157459617519,0.39537242791230504,0.3723829881030885,0.07166339567212932,0.13453720777196532,
2010-07,2010-06,2010-06-30,23.46,0.3463740458015267,523,True,1.3463740458015268,2010-06-30,39.5,0.44823232323232326,791,True,1.4482323232323233,0.5118358171401906,0.23055146135457838,0.012399527933277588,0.311784533517405,0.2549846696679281,0.10226222872920865,0.10226222872920865,0.0,0.003178502303787578,0.3782594984890612,0.31505117722671805,0.043959867816197984,0.13463913310719067,
2010-08,2010-07,2010-07-30,18.86,0.05871559633027523,544,True,1.0587155963302752,2010-07-30,31.52,0.1961869618696187,812,True,1.1961869618696186,0.40281600387413874,0.24222619358488917,-0.07958318412828946,0.25498466966792865,0.14896301427379055,0.009713146360668334,0.03471107480618596,0.0,0.031054035825963222,0.31505117722671744,0.2726612736350961,0.130442319214634,0.13463913310719067,
2010-09,2010-08,2010-08-31,19.39,0.12169312169312169,566,True,1.1216931216931216,2010-08-31,34.51,0.3191616766467066,834,True,1.3191616766467065,0.37890707430675297,0.25855777404739433,0.07651773408382812,0.14569012933291162,0.11909552947657925,0.028485141672636605,0.038861754840257445,0.0,-0.08156486790132511,0.2630322363797717,0.2618247979249659,0.05689513055384243,0.07632359150420764,
2010-10,2010-09,2010-09-30,18.65,0.10374149659863946,587,True,1.1037414965986394,2010-09-30,30.04,0.1360981308411215,855,True,1.1360981308411215,0.3857720308009343,0.34375105570757747,-0.0073150931450234324,0.11909552947658038,0.25730583370958987,0.03471107480618596,0.04317364164918924,0.0,0.03206601783617358,0.26182479792496516,0.36965408771888636,0.05395095238614489,0.07632359150420753,
2010-11,2010-10,2010-10-29,21.24,0.2914614121510673,608,True,1.2914614121510672,2010-10-29,32.12,0.2354618015963512,876,True,1.2354618015963512,0.336759665343251,0.31880607537346994,0.020354638255976498,0.2573058337095904,0.2540782877129013,0.038861754840257334,0.10227775343057999,0.0,0.004367884142570944,0.36965408771888586,0.3680727184416244,0.07632359150420764,0.10699435412855629,
