Candidate,Period,Metric,Mean,P05,P50,P95,ProbabilityPositive,Replications,BlockMonths
Stage36_NoOverlayReproduction,full_2007_2026,delta_CAGR,-0.0018062070541557597,-0.027047450051205423,-0.002091504536300026,0.024803486447701955,0.445,2000,12
Stage36_NoOverlayReproduction,full_2007_2026,delta_Sharpe,-0.23357906365923448,-0.4123081610923025,-0.22998993130456458,-0.07157261823199777,0.006,2000,12
Stage36_NoOverlayReproduction,full_2007_2026,delta_MDD,-0.05221836136639659,-0.1185946188317066,-0.04861535272171141,0.0024137260930568705,0.0605,2000,12
Stage36_GVZGoldRisk,full_2007_2026,delta_CAGR,-0.0018062070541557597,-0.027047450051205423,-0.002091504536300026,0.024803486447701955,0.445,2000,12
Stage36_GVZGoldRisk,full_2007_2026,delta_Sharpe,-0.23357906365923448,-0.4123081610923025,-0.22998993130456458,-0.07157261823199777,0.006,2000,12
Stage36_GVZGoldRisk,full_2007_2026,delta_MDD,-0.05221836136639659,-0.1185946188317066,-0.04861535272171141,0.0024137260930568705,0.0605,2000,12
Stage36_OVXOilRisk,full_2007_2026,delta_CAGR,-0.0018062070541557597,-0.027047450051205423,-0.002091504536300026,0.024803486447701955,0.445,2000,12
Stage36_OVXOilRisk,full_2007_2026,delta_Sharpe,-0.23357906365923448,-0.4123081610923025,-0.22998993130456458,-0.07157261823199777,0.006,2000,12
Stage36_OVXOilRisk,full_2007_2026,delta_MDD,-0.05221836136639659,-0.1185946188317066,-0.04861535272171141,0.0024137260930568705,0.0605,2000,12
Stage36_GVZ_OVXAssetRisk,full_2007_2026,delta_CAGR,-0.0018062070541557597,-0.027047450051205423,-0.002091504536300026,0.024803486447701955,0.445,2000,12
Stage36_GVZ_OVXAssetRisk,full_2007_2026,delta_Sharpe,-0.23357906365923448,-0.4123081610923025,-0.22998993130456458,-0.07157261823199777,0.006,2000,12
Stage36_GVZ_OVXAssetRisk,full_2007_2026,delta_MDD,-0.05221836136639659,-0.1185946188317066,-0.04861535272171141,0.0024137260930568705,0.0605,2000,12
Stage36_NoOverlayReproduction,common_2010_2026,delta_CAGR,-0.018021065523340422,-0.04407377127476343,-0.018925798426852047,0.010128642001846416,0.135,2000,12
Stage36_NoOverlayReproduction,common_2010_2026,delta_Sharpe,-0.3505713879003358,-0.5682433673073881,-0.3498576730670741,-0.14453374601072244,0.001,2000,12
Stage36_NoOverlayReproduction,common_2010_2026,delta_MDD,-0.0758527331693362,-0.16959742491090107,-0.0703510544656844,-0.0013285942199763557,0.0465,2000,12
Stage36_GVZGoldRisk,common_2010_2026,delta_CAGR,-0.018021065523340422,-0.04407377127476343,-0.018925798426852047,0.010128642001846416,0.135,2000,12
Stage36_GVZGoldRisk,common_2010_2026,delta_Sharpe,-0.3505713879003358,-0.5682433673073881,-0.3498576730670741,-0.14453374601072244,0.001,2000,12
Stage36_GVZGoldRisk,common_2010_2026,delta_MDD,-0.0758527331693362,-0.16959742491090107,-0.0703510544656844,-0.0013285942199763557,0.0465,2000,12
Stage36_OVXOilRisk,common_2010_2026,delta_CAGR,-0.018021065523340422,-0.04407377127476343,-0.018925798426852047,0.010128642001846416,0.135,2000,12
Stage36_OVXOilRisk,common_2010_2026,delta_Sharpe,-0.3505713879003358,-0.5682433673073881,-0.3498576730670741,-0.14453374601072244,0.001,2000,12
Stage36_OVXOilRisk,common_2010_2026,delta_MDD,-0.0758527331693362,-0.16959742491090107,-0.0703510544656844,-0.0013285942199763557,0.0465,2000,12
Stage36_GVZ_OVXAssetRisk,common_2010_2026,delta_CAGR,-0.018021065523340422,-0.04407377127476343,-0.018925798426852047,0.010128642001846416,0.135,2000,12
Stage36_GVZ_OVXAssetRisk,common_2010_2026,delta_Sharpe,-0.3505713879003358,-0.5682433673073881,-0.3498576730670741,-0.14453374601072244,0.001,2000,12
Stage36_GVZ_OVXAssetRisk,common_2010_2026,delta_MDD,-0.0758527331693362,-0.16959742491090107,-0.0703510544656844,-0.0013285942199763557,0.0465,2000,12
