month,asset_vol_signal_month,gvz_signal_date,ovx_signal_date,gvz_level,ovx_level,gvz_causal_rank,ovx_causal_rank,gvz_active,ovx_active,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,w_KODEX200,w_BOND,w_GLD,w_USO,expected_monthly_return,expected_monthly_variance,expected_annual_log_growth,downside_risk_aversion_lambda,estimated_transaction_cost,monthly_utility,policy,solver_success,used_fallback,solver_status,solver_message,solver_iterations,objective_value,expected_annual_volatility,historical_cdar,sum_error,volatility_slack,cdar_slack,eps_mu_adjustment_KODEX200,valuation_mu_adjustment_KODEX200,credit_stress_confirmation_multiplier,credit_equity_variance_multiplier,gvz_gold_variance_multiplier,ovx_oil_variance_multiplier,gvz_mu_adjustment_GLD,ovx_mu_adjustment_USO,expected_mu_GLD,expected_mu_USO
2007-04,2007-03,,,,,,,False,False,-0.003393979911460189,-0.0018939787307535887,0.9966060200885398,-0.0033939799114601765,1.0,0.0015,1.1807066004172658e-09,0.0,0.9999976385867992,2.3614132008345316e-06,0.0,0.003720720279437263,9.63988640473245e-06,0.044590804034818764,1.0,0.0015000045867296717,0.002215894942362931,Stage36_baseline_reproduction,True,False,0,Optimization terminated successfully,12,-0.0022158949423629597,0.01075540035781046,-4.92079961226799e-05,0.0,0.11924459964218954,0.15995079200387732,-0.0,-0.011756893913204012,1.631578947368421,1.8157894736842106,1.0,1.0,0.0,0.0,0.003531139902412381,-0.013855789355276923
2007-05,2007-04,,,,,,,False,False,0.002277211701651505,0.0022772428347960687,0.9988755029794217,-0.0011244970205782634,8.895184161023039e-06,2.6685552483069118e-08,4.447592080508751e-09,5.1873062558127414e-20,0.9999887828140038,1.1217185996202345e-05,0.0,0.0032177310645918355,1.01829101512916e-05,0.038551675314194275,1.0,3.432926252589795e-08,0.003212328557152076,Stage36_baseline_reproduction,True,False,0,Optimization terminated successfully,2,-0.003212328557152076,0.011054181191544638,-0.0009962720256935231,0.0,0.11894581880845537,0.15900372797430648,-0.0,-0.014582200735994021,0.5974025974025974,1.2987012987012987,1.0,1.0,0.0,0.0,0.006771960121501379,-0.014769220740228699
2007-06,2007-05,,2007-05-31,,28.44,,,False,False,-0.011502853901367373,-0.010113022338644596,0.9873855840029946,-0.012614415997005413,0.397094732206508,0.001191284196619524,0.00019854736610325403,0.0,0.6028938480843683,0.39710615191563176,5.692061405548898e-19,0.005095810448772259,0.0003375855110995967,0.05912421231866953,1.0,0.001389834562727185,0.0034861754771209515,Stage36_baseline_reproduction,True,False,0,Optimization terminated successfully,9,-0.0034861754771209515,0.06364767185997583,-0.02030957234104136,0.0,0.06635232814002417,0.13969042765895864,0.0,-0.01734297517003403,1.0384615384615385,1.5192307692307692,1.0,1.0,0.0,0.0,0.007915445594233675,-0.011430320479609825
2007-07,2007-06,,2007-06-29,,27.44,,,False,False,0.015635040385717856,0.015635040614722075,1.002823397485157,0.0,6.542977645795964e-08,1.9628932937387894e-10,3.2714888215101824e-11,8.65667672093895e-22,0.6092837660643063,0.3907162339356937,6.118188852188553e-19,0.00353768972515414,0.0002965164457254734,0.04067317802749684,1.0,6.507483846245559e-09,0.0033372493481362785,Stage36_baseline_reproduction,True,False,0,Optimization terminated successfully,1,-0.0033372493481362785,0.05965062739574229,-0.0197138229272929,0.0,0.07034937260425772,0.1402861770727071,0.0,-0.017421088026983382,1.379746835443038,1.689873417721519,1.0,1.0,0.0,0.0,0.004269739281414942,-0.0036243439408816776
2007-08,2007-07,,2007-07-31,,30.69,,,False,False,0.008732925301267744,0.0087329257600809,1.0115809793057584,0.0,1.3108947316542547e-07,3.932684194962764e-10,6.554473658271187e-11,2.4507660303893027e-21,0.604558928764648,0.3954410712353521,6.763165310727151e-19,0.005767595340366924,0.0002908280060075273,0.06746617604835792,1.0,6.529944689678743e-09,0.005571705094581309,Stage36_baseline_reproduction,True,False,0,Optimization terminated successfully,1,-0.005571705094581309,0.05907568088554145,-0.02015434615296058,0.0,0.07092431911445855,0.13984565384703943,0.0,-0.017183473194100695,1.3,1.65,1.0,1.0,0.0,0.0,0.006542467994757923,0.0021119020949723405
2007-09,2007-08,,2007-08-31,,28.86,,,False,False,0.03034009371027731,0.03034009584196349,1.0422724410134292,0.0,6.09053193628695e-07,1.827159580886085e-09,3.0452659684210285e-10,2.775856437596188e-17,0.5980301413442428,0.40196985865575724,2.840093107110903e-17,0.005665181330164276,0.0002698526647665416,0.06636305997337207,1.0,7.098058803868292e-09,0.005480685328955535,Stage36_baseline_reproduction,True,False,0,Optimization terminated successfully,1,-0.005480685328955535,0.0569054652665146,-0.020762932867505024,0.0,0.0730945347334854,0.13923706713249498,0.0,-0.014405896795849716,1.123456790123457,1.5617283950617284,1.0,1.0,0.0,0.0,0.007256630380193924,0.0014248470361207452
2007-10,2007-09,,2007-09-28,,29.32,,,False,False,0.027097633618665823,0.02709763425654709,1.0705155577508436,0.0,1.8225179077015522e-07,5.467553723104657e-10,9.112589538506023e-11,2.7913806011666384e-17,0.581894628869611,0.41810537113038915,2.98349783547116e-17,0.007472539653896535,0.00035580884668337634,0.08753562276665816,1.0,6.557652668779907e-09,0.007242822623609891,Stage36_baseline_reproduction,True,False,0,Optimization terminated successfully,1,-0.007242822623609891,0.06534298860781099,-0.02226637700884193,0.0,0.06465701139218902,0.13773362299115807,0.0,-0.014641885407259497,1.7317073170731707,1.8658536585365852,1.0,1.0,0.0,0.0,0.008499448474214848,0.005213326308216967
2007-11,2007-10,,2007-10-31,,37.46,,,False,False,0.010910031586226153,0.012175248014544341,1.0821949162994517,0.0,0.3614904080909105,0.0010844712242727315,0.00018074520404545518,4.734067140265835e-17,0.20781743403840777,0.7921825659615922,3.4043101183097585e-17,0.015466310723615572,0.0014083333333696916,0.17714572868316872,1.0,0.0012652194283230278,0.013267588449644409,Stage36_baseline_reproduction,True,False,0,Optimization terminated successfully,8,-0.013267588449644409,0.13000000000167808,-0.062159151800535106,0.0,-1.6780743461453085e-12,0.0978408481994649,-0.0,-0.015473182093144617,1.6506024096385543,1.8253012048192772,1.0,1.0,0.0,0.0,0.016952849763063507,0.010395572715804713
2007-12,2007-11,,2007-11-30,,37.26,,,False,False,0.06526698835007223,0.06542435564305762,1.1528265192940754,0.0,0.04496208371011153,0.0001348862511303346,2.2481041855055802e-05,1.8571958160625e-18,0.24960850117672093,0.750391498823279,0.0,0.011077124202228072,0.001408333333352849,0.12447549042661976,1.0,0.000157370293024312,0.010023250254658061,Stage36_baseline_reproduction,True,False,0,Optimization terminated successfully,3,-0.010023250254658061,0.13000000000090073,-0.05745981860569771,0.0,-9.007239398783895e-13,0.1025401813943023,0.0,-0.013161772647467112,1.7976190476190477,1.8988095238095237,1.0,1.0,0.0,0.0,0.012334664423937314,0.008203389970218234
2008-01,2007-12,,2007-12-31,,36.35,,,False,False,0.08629670779574589,0.08640995874336438,1.2523116525687832,0.0,0.03235741360528342,9.707224081585027e-05,1.6178706802641714e-05,4.675525514123434e-19,0.26723102504157187,0.7327689749584281,6.018274969360211e-18,0.014781346384474234,0.0014083333333334406,0.16892615661369015,1.0,0.00011325394767257542,0.013790541620795366,Stage36_baseline_reproduction,True,False,0,Optimization terminated successfully,4,-0.013790541620795366,0.13000000000000494,-0.05080517539728461,0.0,-4.9404924595819466e-15,0.1091948246027154,-0.0,-0.012396679856036034,1.988235294117647,1.9941176470588236,1.0,1.0,0.0,0.0,0.017257490893971158,0.011078102098412252
