Feature,Period,HorizonMonths,Model,Observations,StandardizedBeta,HACPValue,SpearmanIC,ICPValue,AdjustedR2
Carry,full_2007_2026,1,FeatureOnly,232,0.00061717864079861,0.3318927157044458,0.002055108328041861,0.9751631254002163,0.0007793673010787483
Carry,full_2007_2026,1,FullControls,232,0.0018571987677194817,0.009452195883318141,0.002055108328041861,0.9751631254002163,0.03853184345049998
RollDown,full_2007_2026,1,FeatureOnly,232,-1.0001885455484421e-05,0.9836664483403236,0.003822395779652327,0.9538229160747795,-0.004346479539461212
RollDown,full_2007_2026,1,FullControls,232,0.0005138643037741618,0.28897986417696764,0.003822395779652327,0.9538229160747795,0.01173778064914488
RateMomentum,full_2007_2026,1,FeatureOnly,232,0.0004145906909122371,0.5514855697690543,0.09315834400649331,0.1572565369518163,-0.002034179524764257
RateMomentum,full_2007_2026,1,FullControls,232,0.00021920927830793707,0.8135116875816006,0.09315834400649331,0.1572565369518163,0.008934060549229295
CurveComposite,full_2007_2026,1,FeatureOnly,232,0.0006085463582567521,0.38313466853289535,0.11489482645578712,0.08074821370269594,0.0006369454540645636
CurveComposite,full_2007_2026,1,FullControls,232,0.0006768928637457229,0.4605465154373449,0.11489482645578712,0.08074821370269594,0.012362717833695802
Carry,full_2007_2026,3,FeatureOnly,230,0.002080438689926114,0.22750307136925507,0.09170601564753832,0.1657055137160293,0.012947044727226076
Carry,full_2007_2026,3,FullControls,230,0.0050112734807290895,0.0014374521892558925,0.09170601564753832,0.1657055137160293,0.07954762122945425
RollDown,full_2007_2026,3,FeatureOnly,230,-0.0003015479762130633,0.8068503610702376,-0.03890087508845815,0.557224620510003,-0.004021817715333276
RollDown,full_2007_2026,3,FullControls,230,0.0006816630105017505,0.5897463770340765,-0.03890087508845815,0.557224620510003,0.014802056770654493
RateMomentum,full_2007_2026,3,FeatureOnly,230,0.0017512248528178775,0.31869234504551625,0.13293996681124076,0.0439992412248315,0.007895437423417362
RateMomentum,full_2007_2026,3,FullControls,230,0.0009477717371364911,0.639177389845254,0.13293996681124076,0.0439992412248315,0.015305306112721184
CurveComposite,full_2007_2026,3,FeatureOnly,230,0.002343016176580793,0.17197533429107303,0.18140245932157834,0.005797084919570811,0.017598439735679428
CurveComposite,full_2007_2026,3,FullControls,230,0.0021480986657595883,0.2872676520751246,0.18140245932157834,0.005797084919570811,0.024647036919323018
Carry,full_2007_2026,6,FeatureOnly,227,0.005832427734856084,0.048226967908071405,0.24937470376655063,0.0001466808665982986,0.05413524867771269
Carry,full_2007_2026,6,FullControls,227,0.011748653867022141,5.717355249736771e-05,0.24937470376655063,0.0001466808665982986,0.18199283266545363
RollDown,full_2007_2026,6,FeatureOnly,227,-0.0016559262999687292,0.5264125358893899,-0.10491126846393596,0.11496258575759048,0.00027760322365233403
RollDown,full_2007_2026,6,FullControls,227,-0.0004662589264343163,0.8485144495496434,-0.10491126846393596,0.11496258575759048,0.021361767433096035
RateMomentum,full_2007_2026,6,FeatureOnly,227,0.003350128376214554,0.28783805438998344,0.1052139138927589,0.1139130382661253,0.01488285868222139
RateMomentum,full_2007_2026,6,FullControls,227,0.0014935088726019238,0.5756193056681812,0.1052139138927589,0.1139130382661253,0.02337457239522056
CurveComposite,full_2007_2026,6,FeatureOnly,227,0.004669036818631023,0.1285809268211073,0.181545194708732,0.006088350787908261,0.03309630657129037
CurveComposite,full_2007_2026,6,FullControls,227,0.003965271884885603,0.15623310935591891,0.181545194708732,0.006088350787908261,0.038029223777297116
Carry,common_2010_2026,1,FeatureOnly,199,0.00017062176571992592,0.8256783909196677,-0.025300746155017515,0.722799866246269,-0.004668359915809495
Carry,common_2010_2026,1,FullControls,199,0.0016185845649803559,0.05712318656631821,-0.025300746155017515,0.722799866246269,0.03392262096226806
RollDown,common_2010_2026,1,FeatureOnly,199,-0.00011642343870294369,0.8368700782657456,-0.005926602710522308,0.9337886703705917,-0.00488627916522244
RollDown,common_2010_2026,1,FullControls,199,0.0008765846572046766,0.24990065813586082,-0.005926602710522308,0.9337886703705917,0.0180464625789013
RateMomentum,common_2010_2026,1,FeatureOnly,199,0.00016522924527826498,0.8168605233927716,0.09996497639713721,0.16007562839985823,-0.00469372859624495
RateMomentum,common_2010_2026,1,FullControls,199,-0.0003149965086825432,0.7177615556402428,0.09996497639713721,0.16007562839985823,0.013241908264137847
CurveComposite,common_2010_2026,1,FeatureOnly,199,0.00031201346742174555,0.6574737414523905,0.12305466727577281,0.08335351932356377,-0.0037124821451204326
CurveComposite,common_2010_2026,1,FullControls,199,0.00011657320833523927,0.888682680808178,0.12305466727577281,0.08335351932356377,0.012553766833385271
Carry,common_2010_2026,3,FeatureOnly,197,0.0005908318683068758,0.7799396762647346,0.037097903305299974,0.6047663309836205,-0.003671854836677868
Carry,common_2010_2026,3,FullControls,197,0.004485007263223008,0.030632776361046925,0.037097903305299974,0.6047663309836205,0.09827317980761197
RollDown,common_2010_2026,3,FeatureOnly,197,-0.0004999603497362071,0.7426155659737993,-0.07184922884705337,0.3157008029873551,-0.004085385615338
RollDown,common_2010_2026,3,FullControls,197,0.0017080165095994773,0.439662750523235,-0.07184922884705337,0.3157008029873551,0.05376329529381596
RateMomentum,common_2010_2026,3,FeatureOnly,197,0.0012518265807590077,0.4968936156267446,0.15406577951900652,0.0306507566420385,0.0014095155331098619
RateMomentum,common_2010_2026,3,FullControls,197,-0.00011526403288374958,0.9501086072583119,0.15406577951900652,0.0306507566420385,0.04746305408755824
CurveComposite,common_2010_2026,3,FeatureOnly,197,0.001694976104094093,0.3268146561541202,0.19944812258082747,0.004956302091146222,0.006857543971850677
CurveComposite,common_2010_2026,3,FullControls,197,0.00103200172985538,0.5524494039086008,0.19944812258082747,0.004956302091146222,0.05019321536636445
Carry,common_2010_2026,6,FeatureOnly,194,0.0021820716861337985,0.5319755088893192,0.1571456159886265,0.02865108681174728,0.0035078642064764187
Carry,common_2010_2026,6,FullControls,194,0.008778108725386011,0.0073979354005415865,0.1571456159886265,0.02865108681174728,0.17588816329393553
RollDown,common_2010_2026,6,FeatureOnly,194,-0.0022605071617257146,0.4937531079198756,-0.1383908650507657,0.054307621823420346,0.004145740871433268
RollDown,common_2010_2026,6,FullControls,194,0.00039250860453880304,0.9289935234665562,-0.1383908650507657,0.054307621823420346,0.08713222816857502
RateMomentum,common_2010_2026,6,FeatureOnly,194,0.004313912206070832,0.2276730220205203,0.16755104304914675,0.019534710353233224,0.028858490206058685
RateMomentum,common_2010_2026,6,FullControls,194,0.0020705058479853025,0.42309521346387335,0.16755104304914675,0.019534710353233224,0.0916805041211114
CurveComposite,common_2010_2026,6,FeatureOnly,194,0.005338553681659006,0.12186690120464404,0.23424373287094294,0.0010111291182585095,0.04696351996527903
CurveComposite,common_2010_2026,6,FullControls,194,0.004176080982019182,0.11458245392057367,0.23424373287094294,0.0010111291182585095,0.10706057913405653
Carry,locked_2018_2026,1,FeatureOnly,103,0.0007979246894424157,0.4694844820764167,0.0005491367570179677,0.9956075772389448,-0.003713483062633305
Carry,locked_2018_2026,1,FullControls,103,0.0010967165727815483,0.3295751845891228,0.0005491367570179677,0.9956075772389448,0.03548544331248282
RollDown,locked_2018_2026,1,FeatureOnly,103,-0.0016472485483246362,0.04208571469158096,-0.14067785441286298,0.15637797517133045,0.01646901211702345
RollDown,locked_2018_2026,1,FullControls,103,-0.0003164088099414437,0.7739728855939279,-0.14067785441286298,0.15637797517133045,0.027629339054370372
RateMomentum,locked_2018_2026,1,FeatureOnly,103,-0.00014400212204183606,0.8949697765472404,0.1105192637174362,0.26641009918076486,-0.009699464749381992
RateMomentum,locked_2018_2026,1,FullControls,103,-0.0012360756575251416,0.3946396987698588,0.1105192637174362,0.26641009918076486,0.034823192467170916
CurveComposite,locked_2018_2026,1,FeatureOnly,103,-7.336700818111451e-05,0.9462584771958942,0.12266616878267364,0.217053874957729,-0.009848679039278885
CurveComposite,locked_2018_2026,1,FullControls,103,-0.0009943899789874775,0.47437135197237557,0.12266616878267364,0.217053874957729,0.03239612462543662
Carry,locked_2018_2026,3,FeatureOnly,101,0.002349589592734488,0.4205060526307741,0.1025043680838672,0.30771742368945193,0.006677563832290456
Carry,locked_2018_2026,3,FullControls,101,0.0030811805070028934,0.2553962660992396,0.1025043680838672,0.30771742368945193,0.15699210692255683
RollDown,locked_2018_2026,3,FeatureOnly,101,-0.00543170788310175,0.012321451020383513,-0.3480722189866045,0.00036143126002314505,0.07956830185221819
RollDown,locked_2018_2026,3,FullControls,101,-0.0017627933099481406,0.5605414470551712,-0.3480722189866045,0.00036143126002314505,0.14092487187428526
RateMomentum,locked_2018_2026,3,FeatureOnly,101,0.0012368484430011855,0.6505087537495287,0.2008969132207338,0.043962806418217995,-0.005451534215284326
RateMomentum,locked_2018_2026,3,FullControls,101,-0.0018599399983385,0.5184727243723204,0.2008969132207338,0.043962806418217995,0.14150216960270723
CurveComposite,locked_2018_2026,3,FeatureOnly,101,0.0014908982392340224,0.5640015890139292,0.22570762958648805,0.02323982135344946,-0.003345361834608429
CurveComposite,locked_2018_2026,3,FullControls,101,-0.001243539454247911,0.6501694434897307,0.22570762958648805,0.02323982135344946,0.13855691616579113
Carry,locked_2018_2026,6,FeatureOnly,98,0.006795604592399864,0.13236019619407,0.2852871232841777,0.004407952838394362,0.05069550269346956
Carry,locked_2018_2026,6,FullControls,98,0.007849380604794693,0.08764958853352375,0.2852871232841777,0.004407952838394362,0.27583097691495806
RollDown,locked_2018_2026,6,FeatureOnly,98,-0.013409529715527934,0.0003703343454930676,-0.5049633724155078,1.1432283808321936e-07,0.22754039211344923
RollDown,locked_2018_2026,6,FullControls,98,-0.009220721491930768,0.08167458189157074,-0.5049633724155078,1.1432283808321936e-07,0.2761730416345931
RateMomentum,locked_2018_2026,6,FeatureOnly,98,0.004896013820311171,0.3502274568613756,0.20287665206663735,0.04512427742545815,0.02130505632516211
RateMomentum,locked_2018_2026,6,FullControls,98,-0.00010133905469498312,0.977644778747964,0.20287665206663735,0.04512427742545815,0.21643856688001195
