Feature,Period,HorizonMonths,Model,Observations,StandardizedBeta,HACPValue,SpearmanIC,ICPValue,AdjustedR2
RealYieldState,full_2007_2026,1,FeatureOnly,181,0.0021003435419547317,0.5032624391724385,0.03892902677433064,0.6028508194498975,-0.0035541641062235563
RealYieldState,full_2007_2026,1,FullControls,181,0.0027817235786437374,0.4166370034221035,0.03892902677433064,0.6028508194498975,-0.0032053619995864313
FXState,full_2007_2026,1,FeatureOnly,184,-0.0007752654486950208,0.8057609652738933,-0.023633753395865712,0.7501484704259562,-0.005216813373561502
FXState,full_2007_2026,1,FullControls,184,3.9306170480871844e-05,0.9898227779035518,-0.023633753395865712,0.7501484704259562,-0.006518694775299316
GoldTrendState,full_2007_2026,1,FeatureOnly,184,0.008034612340202502,0.04325946095638725,0.14043073722332453,0.057256641871697246,0.024331325600015496
GoldTrendState,full_2007_2026,1,FullControls,184,0.011811588996836294,0.013801158614936568,0.14043073722332453,0.057256641871697246,0.02935087473062803
GoldCompositeState,full_2007_2026,1,FeatureOnly,181,0.005610740411678344,0.09189644983448224,0.0833039888288507,0.26488685474118073,0.00891697614831477
GoldCompositeState,full_2007_2026,1,FullControls,181,0.007439644555151562,0.044169266718786446,0.0833039888288507,0.26488685474118073,0.011456316430516478
RealYieldState,full_2007_2026,3,FeatureOnly,179,0.004687811401805799,0.48762327764840596,0.06933651371539765,0.35638729926016144,-0.0023842875505608596
RealYieldState,full_2007_2026,3,FullControls,179,0.004054430380010748,0.5550582132692735,0.06933651371539765,0.35638729926016144,0.06476334829472341
FXState,full_2007_2026,3,FeatureOnly,182,0.0020297348659109858,0.8024563147211652,0.05622508346780198,0.45091627953051766,-0.004945008812749618
FXState,full_2007_2026,3,FullControls,182,0.003980052283406648,0.6320699529847895,0.05622508346780198,0.45091627953051766,0.05651471877627545
GoldTrendState,full_2007_2026,3,FeatureOnly,182,0.025288787464162753,0.016014849636636658,0.28315340125864535,0.00010741659682304429,0.08921999322741725
GoldTrendState,full_2007_2026,3,FullControls,182,0.030408987626947305,0.00429482004643875,0.28315340125864535,0.00010741659682304429,0.1309384507958976
GoldCompositeState,full_2007_2026,3,FeatureOnly,179,0.02077681621907052,0.00789678213250015,0.25161425313330404,0.0006797610881070662,0.058494588090208466
GoldCompositeState,full_2007_2026,3,FullControls,179,0.022582191094608312,0.0023209610279085985,0.25161425313330404,0.0006797610881070662,0.11621640445906523
RealYieldState,full_2007_2026,6,FeatureOnly,176,0.005477576439217464,0.6204995700952853,0.09799471714725952,0.19570004695439783,-0.003790111370059135
RealYieldState,full_2007_2026,6,FullControls,176,0.003128505215177975,0.7458878232523561,0.09799471714725952,0.19570004695439783,0.11960661224789104
FXState,full_2007_2026,6,FeatureOnly,179,0.00617373252982472,0.6018047508976451,0.11592406198212017,0.1222719982359377,-0.0031866707738053
FXState,full_2007_2026,6,FullControls,179,0.007674417395860626,0.560477008815362,0.11592406198212017,0.1222719982359377,0.10908903715403229
GoldTrendState,full_2007_2026,6,FeatureOnly,179,0.055389692404878316,0.0039538102642831694,0.3809804783127236,1.4308310749363537e-07,0.19261020846404198
GoldTrendState,full_2007_2026,6,FullControls,179,0.05824803769217271,0.005766567581128692,0.3809804783127236,1.4308310749363537e-07,0.23092747173990402
