target_month,gold_state_signal_month,ktb_signal_date,cpi_release_date,fx_signal_date,gold_trend_signal_date,ktb_10y_pct,cpi_yoy_pct,real_yield_proxy_pct,fx_momentum_63d,gold_trend_252d,real_yield_change_3m_pctpt,real_yield_proxy_pct_rank,real_yield_proxy_pct_prior_count,real_yield_change_3m_pctpt_rank,real_yield_change_3m_pctpt_prior_count,fx_momentum_63d_rank,fx_momentum_63d_prior_count,gold_trend_252d_rank,gold_trend_252d_prior_count,real_yield_support,fx_support,gold_trend_support,gold_composite_state,real_yield_active,fx_active,gold_trend_active,gold_composite_active,raw_real_yield_support,raw_fx_support,raw_gold_trend_support,raw_gold_composite_state,raw_gold_composite_z,gold_calibration_observations,gold_calibration_slope,raw_gold_composite_z_current,calibrated_gold_alpha_active,calibrated_gold_mu_adjustment,future_1m_gold_return,future_3m_gold_return,future_6m_gold_return,recent_1m_gold_return,gold_realized_vol_21d,macro_fragility,vix6_stress_score
2007-04,2007-03,2007-03-30,2007-03-31,2007-03-30,2007-03-30,4.93,2.2,2.7299999999999995,0.019429024669229022,0.14142895653971088,-0.22999999999999998,,12,,9,,12,,12,0.5,0.5,0.5,0.5,False,False,False,False,0.5519230769230768,0.8846153846153846,0.11538461538461539,0.5173076923076922,,9,0.0,,False,0.0,-0.01855210588422962,-0.0246362354445554,0.10175337632884185,0.01677937735774382,0.22395647270924135,0.5844202898550726,0.44154815101722783
2007-05,2007-04,2007-04-30,2007-04-30,2007-04-30,2007-04-30,5.15,2.2,2.95,0.007020459102804466,0.06353535742203409,-0.009999999999999343,,13,,10,,13,,13,0.5,0.5,0.5,0.5,False,False,False,False,0.43668831168831174,0.6071428571428571,0.03571428571428571,0.35984848484848486,,10,0.0,,False,0.0,0.020373075597843515,0.021544334773923923,0.18770911352625408,-0.01855210588422962,0.12569468735551018,0.484187090336912,0.4955475396676942
2007-06,2007-05,2007-05-31,2007-05-31,2007-05-31,2007-05-31,5.32,2.4,2.9200000000000004,0.0233758090004903,0.006582500616723053,-0.3399999999999994,,14,,11,,14,,14,0.5,0.5,0.5,0.5,False,False,False,False,0.5625,0.9666666666666667,0.03333333333333333,0.5208333333333334,,11,0.0,,False,0.0,-0.02604166341920977,0.026562706907249156,0.18288295139340072,0.020373075597843515,0.31602231299293015,0.5403711811654051,0.5871695775491049
2007-07,2007-06,2007-06-29,2007-06-30,2007-06-29,2007-06-29,5.51,2.3,3.21,-0.008030080408455653,0.11061253311691122,0.4800000000000004,,15,,12,,15,,15,0.5,0.5,0.5,0.5,False,False,False,False,0.20552884615384615,0.40625,0.15625,0.25600961538461536,,12,0.0,,False,0.0,0.027916529754136388,0.1295820250519597,0.3193781548355954,-0.02604166341920977,0.14909336098812095,0.5053424251537459,0.4727490475190912
2007-08,2007-07,2007-07-31,2007-07-31,2007-07-31,2007-07-31,5.37,2.5,2.87,-0.00668093002419301,0.04158861974642836,-0.08000000000000007,,16,,13,,16,,16,0.5,0.5,0.5,0.5,False,False,False,False,0.5409663865546219,0.4411764705882353,0.08823529411764706,0.35679271708683474,,13,0.0,,False,0.0,0.02538569387966172,0.1626603693016455,0.423397384131708,0.027916529754136388,0.10235738809150939,0.5635901967596106,0.6341131253053367
2007-09,2007-08,2007-08-31,2007-08-31,2007-08-31,2007-08-31,5.57,2.5,3.0700000000000003,0.01188331091032424,0.07976711865904917,0.1499999999999999,,17,,14,,17,,17,0.5,0.5,0.5,0.5,False,False,False,False,0.33611111111111114,0.6388888888888888,0.19444444444444445,0.38981481481481484,,14,0.0,,False,0.0,0.0716986139752378,0.15227539772714072,0.47392904632884947,0.02538569387966172,0.15104011036967474,0.533153460094663,0.676341430829936
2007-10,2007-09,2007-09-28,2007-09-30,2007-09-28,2007-09-28,5.6,2.0,3.5999999999999996,-0.009424507454953712,0.20624858642904442,0.3899999999999997,,18,,15,,18,,18,0.5,0.5,0.5,0.5,False,False,False,False,0.15378289473684204,0.34210526315789475,0.5,0.33196271929824556,,15,0.0,,False,0.0,0.05801773185992043,0.16802332683622967,0.30041911901763774,0.0716986139752378,0.1354962267014722,0.5417626728110598,0.5193018641774033
2007-11,2007-10,2007-10-31,2007-10-31,2007-10-31,2007-10-31,5.56,2.3,3.26,-0.024283018610633533,0.27194962433344116,0.3899999999999997,,19,,16,,19,,19,0.5,0.5,0.5,0.5,False,False,False,False,0.2220588235294117,0.175,0.675,0.3573529411764706,,16,0.0,,False,0.0,0.01622687023261493,0.22425896823736635,0.1943019135123194,0.05801773185992043,0.2001715025040146,0.3443009566617651,0.7818130798505039
2007-12,2007-11,2007-11-30,2007-11-30,2007-11-30,2007-11-30,5.69,3.0,2.6900000000000004,-0.018981702462404826,0.20228146342166387,-0.3799999999999999,,20,,17,,20,,20,0.5,0.5,0.5,0.5,False,False,False,False,0.7678571428571428,0.30952380952380953,0.40476190476190477,0.49404761904761907,,17,0.0,,False,0.0,0.08634531547774382,0.27914650372312844,0.23981476495050513,0.01622687023261493,0.29559647815179974,0.44455432567709263,0.6626775724585523
2008-01,2007-12,2007-12-31,2007-12-31,2007-12-31,2007-12-31,5.7,3.5,2.2,0.015348836864163218,0.2707671282108688,-1.3999999999999995,,21,,18,,21,,21,0.5,0.5,0.5,0.5,False,False,False,False,0.9527511961722488,0.7954545454545454,0.6136363636363636,0.787280701754386,,18,0.0,,False,0.0,0.10895704479819779,0.11335029801161789,0.23600611086808532,0.08634531547774382,0.2504676365920665,0.5239532125125346,0.5132411542673639
