Candidate,Period,Metric,Mean,P05,P50,P95,ProbabilityPositive,Replications,BlockMonths
Stage39_NoChangeReproduction,full_2007_2026,delta_CAGR,2.270406085358445e-16,0.0,2.220446049250313e-16,4.440892098500626e-16,0.848,2000,12
Stage39_NoChangeReproduction,full_2007_2026,delta_Sharpe,-1.5890067039947552e-16,-8.881784197001252e-16,-2.220446049250313e-16,6.661338147750939e-16,0.257,2000,12
Stage39_NoChangeReproduction,full_2007_2026,delta_MDD,-3.363975764614224e-17,-5.551115123125783e-16,0.0,4.440892098500626e-16,0.354,2000,12
Stage39_CalibratedGoldAlpha,full_2007_2026,delta_CAGR,-0.0015587760647903124,-0.005231269326889576,-0.0014529466268452529,0.0017168526802430186,0.2485,2000,12
Stage39_CalibratedGoldAlpha,full_2007_2026,delta_Sharpe,0.0021710894909109943,-0.024109355308654604,0.0018645871253740731,0.03028008826204777,0.5515,2000,12
Stage39_CalibratedGoldAlpha,full_2007_2026,delta_MDD,0.0013467512359114605,-0.0031607122953201785,0.00038949431479473606,0.01022828902178458,0.686,2000,12
Stage39_NoChangeReproduction,common_2010_2026,delta_CAGR,2.4702462297909734e-16,0.0,2.220446049250313e-16,4.440892098500626e-16,0.8735,2000,12
Stage39_NoChangeReproduction,common_2010_2026,delta_Sharpe,1.680877659282487e-16,-6.661338147750939e-16,2.220446049250313e-16,9.992007221626409e-16,0.5655,2000,12
Stage39_NoChangeReproduction,common_2010_2026,delta_MDD,1.8318679906315084e-17,-4.440892098500626e-16,0.0,5.551115123125783e-16,0.393,2000,12
Stage39_CalibratedGoldAlpha,common_2010_2026,delta_CAGR,-0.0018568213312597608,-0.006276226954314135,-0.001669215132967694,0.0020073455190290465,0.23,2000,12
Stage39_CalibratedGoldAlpha,common_2010_2026,delta_Sharpe,0.0037846393958875825,-0.030147313090835525,0.003203227689384913,0.039897324912247026,0.5665,2000,12
Stage39_CalibratedGoldAlpha,common_2010_2026,delta_MDD,0.0014791233409467831,-0.003797270129211827,0.0003998479539654709,0.010678533920789567,0.713,2000,12
