month,asset_vol_signal_month,gvz_signal_date,ovx_signal_date,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,w_KODEX200,w_BOND,w_GLD,w_USO,expected_monthly_return,net_expected_monthly_return,expected_monthly_variance,expected_annual_return,expected_annual_log_growth,expected_cagr,historical_downside_deviation,historical_max_drawdown,causal_sortino_objective,causal_calmar_objective,expected_sharpe,expected_annual_volatility,estimated_transaction_cost,eps_mu_adjustment_KODEX200,valuation_mu_adjustment_KODEX200,credit_stress_confirmation_multiplier,credit_equity_variance_multiplier,gvz_gold_variance_multiplier,ovx_oil_variance_multiplier,gvz_mu_adjustment_GLD,ovx_mu_adjustment_USO,expected_mu_GLD,expected_mu_USO,policy,objective_mode,objective_value,optimized_ratio,solver_success,primary_solver_message,used_objective_restart,objective_restart_attempts,used_fallback,solver_status,solver_message,solver_iterations,historical_cdar,sum_error,volatility_slack,cdar_slack
2007-04,2007-03,,,-0.003380334681352754,-0.0018773828163361238,0.9966196653186472,-0.0033803346813527924,1.0,0.0015,2.9518650166305493e-06,0.003732748868989521,0.9903635210977494,0.00389006400074984,0.002013666032511258,0.0036407228348472784,0.0021377709690213664,9.421908949885948e-06,0.025653251628256397,0.02559672017455708,0.025927129322962653,4.621759943391798e-05,-4.6217599433906464e-05,555.0537445142618,560.9795757574942,2.4125834625017304,0.010633104316173682,0.0015029518658259123,-0.0,-0.011756893913204012,1.631578947368421,1.8157894736842106,1.0,1.0,0.0,0.0,0.003531139902412381,-0.013855789355276923,Stage40_calmar,calmar,-560.9795757574942,560.9795757574942,True,Inequality constraints incompatible,True,2,False,0,Optimization terminated successfully,5,-2.3108799716953232e-05,0.0,0.11936689568382633,0.15997689120028305
2007-05,2007-04,,,0.0032263347607673024,0.003250023749406595,0.999835093988129,-0.00016490601187102438,0.006949619722878455,2.0848859168635363e-05,2.8401294706568034e-06,0.010922267555712357,0.9890777324442876,5.421010862427522e-19,0.0,0.0030937033823634367,0.003070014392381017,9.682557378371232e-06,0.036840172708572205,0.036782077364301974,0.03746690867838433,0.0011728266275860743,-0.0011931163331124761,31.41143954447648,31.40256120762726,3.4177161833627254,0.010779178472427979,2.3688989982419637e-05,-0.0,-0.014582200735994021,0.5974025974025974,1.2987012987012987,1.0,1.0,0.0,0.0,0.006771960121501379,-0.014769220740228699,Stage40_calmar,calmar,9.682557378371232e-06,31.40256120762726,True,Positive directional derivative for linesearch,False,2,True,0,Optimization terminated successfully,8,-0.0007256149101158571,0.0,0.11922082152757202,0.15927438508988415
2007-06,2007-05,,2007-05-31,0.0005305600822629705,0.0005305600822629705,1.0003655665778446,0.0,0.0,0.0,0.0,0.011881506716371767,0.9881184932836282,5.513534408772807e-19,0.0,0.0031480603116147924,0.0031480538116147923,8.742649219845937e-06,0.03777664573937751,0.03772418984405843,0.038444779760331636,0.0010774985715316092,-0.0011315671244698233,35.05957848805306,33.9748115060733,3.688172655718564,0.010242645685473614,6.5e-09,0.0,-0.01734297517003403,1.0384615384615385,1.5192307692307692,1.0,1.0,0.0,0.0,0.007915445594233675,-0.011430320479609825,Stage40_calmar,calmar,8.742649219845937e-06,33.9748115060733,True,Positive directional derivative for linesearch,False,2,True,0,Optimization terminated successfully,1,-0.0007018529774982518,0.0,0.11975735431452639,0.15929814702250175
2007-07,2007-06,,2007-06-29,0.009961456572027285,0.009996039853894917,1.010330664725461,0.0,0.009900633074324264,2.9701899222972795e-05,4.881382644659203e-06,0.012169405543728555,0.9780678291669531,2.7755575615628914e-17,0.009762765289318378,0.0028872739889836976,0.00285268920149796,1.5039500260032898e-05,0.034232270417975524,0.03414203341641532,0.034731562750468105,0.0016813957813293862,-0.0018798576320669946,20.35943636715323,18.47563462147879,2.548169882752458,0.013434061304028458,3.458478748573769e-05,0.0,-0.017421088026983382,1.379746835443038,1.689873417721519,1.0,1.0,0.0,0.0,0.004269739281414942,-0.0036243439408816776,Stage40_calmar,calmar,1.5039500260032895e-05,18.47563462147879,True,Positive directional derivative for linesearch,False,2,True,0,Optimization terminated successfully,6,-0.0009399288160334973,0.0,0.11656593869597155,0.1590600711839665
2007-08,2007-07,,2007-07-31,-0.0022141704619189307,-0.0021473054087625685,1.008093620410855,-0.002214170461918963,0.020834517815987972,6.250355344796391e-05,4.361499708398474e-06,0.003263710450047929,0.9945964828479681,0.0021398067019839408,0.0,0.0052448619344196675,0.0051779968806997725,1.8336025089859266e-05,0.06213596256839727,0.06202594641785811,0.06398995109775692,0.0014951090153390684,-0.0017201699352451527,41.55948625211504,37.19978461816174,4.188898239572709,0.01483348580335422,6.686505371989518e-05,0.0,-0.017183473194100695,1.3,1.65,1.0,1.0,0.0,0.0,0.006542467994757923,0.0021119020949723405,Stage40_calmar,calmar,1.8336025089859276e-05,37.19978461816174,True,Positive directional derivative for linesearch,False,2,True,0,Optimization terminated successfully,10,-0.0009333709670973356,0.0,0.11516651419664578,0.15906662903290267
2007-09,2007-08,,2007-08-31,0.007609700612798985,0.007903847975265606,1.0157649110518543,0.0,0.08808706989904341,0.0002642612096971302,2.9886152769491222e-05,0.031531711537108306,0.9064971341441493,0.0619711543187412,1.217792751456396e-15,0.0046169328272641225,0.00432278396474577,3.388151630603149e-05,0.05187340757694925,0.051670118479113056,0.05302831063018874,0.001405818437000433,-0.0009030451609470802,36.89908043006643,58.721659694820374,2.5726027866992967,0.020163784259716176,0.0002941488625183521,0.0,-0.014405896795849716,1.123456790123457,1.5617283950617284,1.0,1.0,0.0,0.0,0.007256630380193924,0.0014248470361207452,Stage40_calmar,calmar,-58.721659694820374,58.721659694820374,True,Optimization terminated successfully,False,0,False,0,Optimization terminated successfully,33,-0.0009030451011143303,0.0,0.10983621574028382,0.15909695489888567
2007-10,2007-09,,2007-09-28,0.009999726098502016,0.010016160616601925,1.0259222819428422,0.0,0.004824626762591571,1.4473880287774713e-05,1.9606378121354027e-06,0.03153233391101963,0.9064953544199208,0.06196946041672874,2.851252330920561e-06,0.006680320283642461,0.0066638855088836674,2.7897188205527908e-05,0.07996662610660402,0.07979924297737084,0.08306961201720502,0.0013662270954125297,-0.0009032009543596953,58.530991205717704,91.97245819574606,4.370568524472726,0.018296618771410603,1.6434774758793747e-05,0.0,-0.014641885407259497,1.7317073170731707,1.8658536585365852,1.0,1.0,0.0,0.0,0.008499448474214848,0.005213326308216967,Stage40_calmar,calmar,-91.97245598754112,91.97245819574606,True,Optimization terminated successfully,False,0,False,0,Optimization terminated successfully,36,-0.0009032009498834981,0.0,0.1117033812285894,0.1590967990501165
2007-11,2007-10,,2007-10-31,-0.004500530278342493,-0.004485400906418858,1.0213050876497323,-0.004500530278342407,0.0045632787644931845,1.3689836293479555e-05,1.4395356301557734e-06,0.0315115753198028,0.906449613646499,0.062038811027351204,6.34700245297462e-12,0.010033463542102022,0.01001833394624879,3.41871638569709e-05,0.12022000735498548,0.12001488437184366,0.12751363378666314,0.0013310700862702448,-0.0009054642307338989,90.31831501213485,140.82680403985754,5.935462840839212,0.020254529525112423,1.512959585323256e-05,-0.0,-0.015473182093144617,1.6506024096385543,1.8253012048192772,1.0,1.0,0.0,0.0,0.016952849763063507,0.010395572715804713,Stage40_calmar,calmar,-140.82680403884166,140.82680403985754,True,Optimization terminated successfully,False,0,False,0,Optimization terminated successfully,51,-0.0009054640956144278,0.0,0.10974547047488759,0.15909453590438558
2007-12,2007-11,,2007-11-30,0.009189319835161176,0.009252388163797354,1.030690186749423,0.0,0.018019897498173038,5.405969249451912e-05,9.00863614165908e-06,0.011093526963212974,0.907559635494599,0.08134680961302533,2.7929162747864993e-08,0.00761658654751804,0.007553516484067185,4.497529137316959e-05,0.09064219780880622,0.09037234606056721,0.09458177104776744,0.003060443057758544,-0.002537218431196142,29.61734497200291,37.27774080656428,3.9016904580877942,0.02323151946124134,6.307006345085474e-05,0.0,-0.013161772647467112,1.7976190476190477,1.8988095238095237,1.0,1.0,0.0,0.0,0.012334664423937314,0.008203389970218234,Stage40_calmar,calmar,-37.2777408065617,37.27774080656428,True,Optimization terminated successfully,False,0,False,0,Optimization terminated successfully,35,-0.0025372180246633347,0.0,0.10676848053875866,0.15746278197533667
2008-01,2007-12,,2007-12-31,0.03090943938449137,0.03100126086396323,1.0625482426009443,0.0,0.027228127188227976,8.168438156468393e-05,1.0137097907175053e-05,0.017878489909997814,0.8742867020553577,0.10783480803464446,2.775583497626359e-17,0.008873385726543915,0.008781562792887698,5.558662320566328e-05,0.10537875351465237,0.10504523377541838,0.11076085312633542,0.0036119372456990505,-0.002543103209846076,29.175134102934138,43.55342429576004,4.080160884417958,0.025827107435172823,9.182293365621689e-05,-0.0,-0.012396679856036034,1.988235294117647,1.9941176470588236,1.0,1.0,0.0,0.0,0.017257490893971158,0.011078102098412252,Stage40_calmar,calmar,-43.55342429576003,43.55342429576004,True,Optimization terminated successfully,False,0,False,0,Optimization terminated successfully,50,-0.002543100692536752,0.0,0.10417289256482717,0.15745689930746326
