Candidate,Period,Metric,Mean,P05,P50,P95,ProbabilityPositive,Replications,BlockMonths
Stage44_PF_BothGuards,full_2007_2026,delta_CAGR,0.0016016826131021098,-0.0018311783171125805,0.0015589897421314225,0.005392687812403663,0.7665,2000,12
Stage44_PF_BothGuards,full_2007_2026,delta_Sharpe,-0.005225312774945389,-0.04210841737065318,-0.004170649007128158,0.028780204935663536,0.406,2000,12
Stage44_PF_BothGuards,full_2007_2026,delta_MDD,-0.003363891850472702,-0.014996456647864314,-0.003152431902351316,0.003965785782068916,0.3455,2000,12
Stage44_PF_CDaROnly,full_2007_2026,delta_CAGR,0.03267018717097661,0.007744341152226664,0.030819696437021094,0.06397381929430018,0.986,2000,12
Stage44_PF_CDaROnly,full_2007_2026,delta_Sharpe,-0.27053055426771533,-0.40943003360507574,-0.2690970257642477,-0.13440308897030073,0.001,2000,12
Stage44_PF_CDaROnly,full_2007_2026,delta_MDD,-0.12599774308685271,-0.1921101993962373,-0.12939881411467868,-0.045287395718933844,0.0,2000,12
Stage44_PF_VolOnly,full_2007_2026,delta_CAGR,0.0016193286136591163,-0.001806705708728873,0.001570559257897397,0.005411143315027033,0.77,2000,12
Stage44_PF_VolOnly,full_2007_2026,delta_Sharpe,-0.005061239261837869,-0.041849806776538954,-0.004052846241643704,0.029071296339007454,0.411,2000,12
Stage44_PF_VolOnly,full_2007_2026,delta_MDD,-0.0033632730663566246,-0.01499647460208951,-0.0031524318580810617,0.0039657857824394694,0.344,2000,12
Stage44_PF_NoGuards,full_2007_2026,delta_CAGR,0.04891563843780564,0.013692812976112068,0.04594782183284818,0.09179637052332114,0.9945,2000,12
Stage44_PF_NoGuards,full_2007_2026,delta_Sharpe,-0.2849193971423623,-0.43185706066417034,-0.2871303345059539,-0.13279749947975716,0.003,2000,12
Stage44_PF_NoGuards,full_2007_2026,delta_MDD,-0.16130546614414915,-0.2424103255979742,-0.16369404286853678,-0.061784131159763084,0.0,2000,12
Stage44_PF_BothGuards,common_2010_2026,delta_CAGR,0.00023368280849869727,-0.0032057616777405595,0.00026842142378047384,0.0035307689547642625,0.5485,2000,12
Stage44_PF_BothGuards,common_2010_2026,delta_Sharpe,-0.019274041488116525,-0.0624105672465671,-0.017231858108550102,0.018587352918842465,0.2185,2000,12
Stage44_PF_BothGuards,common_2010_2026,delta_MDD,-0.003388262061099564,-0.015965031850090444,-0.0024970633775469042,0.00394555884039902,0.389,2000,12
Stage44_PF_CDaROnly,common_2010_2026,delta_CAGR,0.03173133409319926,0.005309661963281376,0.029392534426658568,0.06633601343262892,0.9815,2000,12
Stage44_PF_CDaROnly,common_2010_2026,delta_Sharpe,-0.19791826899894835,-0.347202388438274,-0.19556299415824896,-0.06147184517276057,0.0045,2000,12
Stage44_PF_CDaROnly,common_2010_2026,delta_MDD,-0.08200977362830864,-0.14871843008784613,-0.07756185832560636,-0.022941292916069604,0.0005,2000,12
Stage44_PF_VolOnly,common_2010_2026,delta_CAGR,0.0002540911858832511,-0.003185086478422139,0.0002783307524996115,0.0035347660115694563,0.551,2000,12
Stage44_PF_VolOnly,common_2010_2026,delta_Sharpe,-0.01906528861048226,-0.062178123130904234,-0.016940253256231164,0.018718569580446744,0.2225,2000,12
Stage44_PF_VolOnly,common_2010_2026,delta_MDD,-0.003386796762073611,-0.01596504761263746,-0.0024970634641975353,0.003945315566143208,0.3885,2000,12
Stage44_PF_NoGuards,common_2010_2026,delta_CAGR,0.05038621303200001,0.012870654479368027,0.04681080984923036,0.1003578500259667,0.9945,2000,12
Stage44_PF_NoGuards,common_2010_2026,delta_Sharpe,-0.22726520005370476,-0.41057599998459937,-0.22579147159883667,-0.04566499304327833,0.018,2000,12
Stage44_PF_NoGuards,common_2010_2026,delta_MDD,-0.13300720512523886,-0.23027245672469487,-0.147429901575806,-0.020143204985540137,0.0075,2000,12
