month,signal_cutoff_month,history_end_month,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,w_KODEX200,w_BOND,w_GLD,w_USO,eps_mu_adjustment_KODEX200,valuation_mu_adjustment_KODEX200,credit_stress_confirmation_multiplier,credit_equity_variance_multiplier,gvz_gold_variance_multiplier,ovx_oil_variance_multiplier,expected_monthly_return,expected_monthly_variance,expected_annual_volatility,expected_monthly_log_growth_net,expected_annual_log_growth_net,estimated_transaction_cost,downside_semivariance_diagnostic,downside_semivariance_coefficient_in_objective,historical_cdar,policy,family,displayed_value,objective,volatility_cap,cdar_limit,cdar_confidence,solver_success,used_fallback,solver_status,solver_message,solver_iterations,objective_value,sum_error,volatility_slack,cdar_slack
2007-04,2007-03,2007-03,-0.003393985466363256,-0.0018939841237832098,0.9966060145336367,-0.0033939854663632696,1.0,0.0015,1.342580046380672e-09,5.2143652600611056e-15,0.9999973148399021,2.68516008744117e-06,5.320174306780087e-15,-0.0,-0.011756893913204012,1.631578947368421,1.8157894736842106,1.0,1.0,0.003720720218060906,9.639871713183583e-06,0.010755392161990328,0.002215895579294637,0.02659074695153564,0.0015000047029096772,8.071433779623957e-10,0.0,-4.9208029160696665e-05,Stage44_PF_NoGuards,core_ablation,,parameter_free_expected_log_growth,,,0.9,True,False,0,Optimization terminated successfully,12,-0.0022158955792947292,0.0,,
2007-05,2007-04,2007-04,0.002277218920427657,0.0022772504031919154,0.9988755046061447,-0.0011244953938552849,8.99507550246364e-06,2.6985226507390922e-08,4.497537751238781e-09,5.549125335814842e-15,0.9999883645790014,1.163542098808864e-05,4.9043692173618675e-15,-0.0,-0.014582200735994021,0.5974025974025974,1.2987012987012987,1.0,1.0,0.0032177325511113194,1.018290568102018e-05,0.011054178765165784,0.0032126064215530917,0.038551277058637104,3.4676717717657266e-08,2.767251331042521e-07,0.0,-0.0009962755518880817,Stage44_PF_NoGuards,core_ablation,,parameter_free_expected_log_growth,,,0.9,True,False,0,Optimization terminated successfully,2,-0.0032126064215530917,0.0,,
2007-06,2007-05,2007-05,-0.01635290046642639,-0.014395724353727862,0.9825409929009691,-0.01745900709903092,0.5591931750567232,0.0016775795251701695,0.00027959658752835915,0.0,0.44079497944813595,0.559205020551864,0.0,0.0,-0.01734297517003403,1.0384615384615385,1.5192307692307692,1.0,1.0,0.005853920136735592,0.000663479998601707,0.08922869484207692,0.003565001024733097,0.04278001229679716,0.0019571791127016417,0.0001224469585904607,0.0,-0.03584355298982672,Stage44_PF_NoGuards,core_ablation,,parameter_free_expected_log_growth,,,0.9,True,False,0,Optimization terminated successfully,8,-0.003565001024733097,0.0,,
2007-07,2007-06,2007-06,0.01889812294486145,0.018898123260756784,1.0011091733831778,0.0,9.025580949284517e-08,2.7076742847853554e-10,4.512790474642259e-11,0.0,0.4474024778111849,0.5525975221888151,0.0,0.0,-0.017421088026983382,1.379746835443038,1.689873417721519,1.0,1.0,0.0037321887941152466,0.0005775366410979105,0.0832492624182036,0.0034434139593395112,0.04132096751207413,6.5142267800404254e-09,0.00012446749584082243,0.0,-0.03509304749273984,Stage44_PF_NoGuards,core_ablation,,parameter_free_expected_log_growth,,,0.9,True,False,0,Optimization terminated successfully,1,-0.0034434139593395112,0.0,,
2007-08,2007-07,2007-07,0.013196581370793511,0.013196581923308472,1.0143203920507768,0.0,1.5786141743798294e-07,4.735842523139488e-10,7.893070876062446e-11,2.7729259996023624e-17,0.4425112037836249,0.5574887962163751,2.772782004001329e-17,0.0,-0.017183473194100695,1.3,1.65,1.0,1.0,0.005975294449286959,0.0005576028721764769,0.08179996617430672,0.0056964864698566845,0.06835783763828021,6.543342035722675e-09,0.00011920411292531106,0.0,-0.03564863951169672,Stage44_PF_NoGuards,core_ablation,,parameter_free_expected_log_growth,,,0.9,True,False,0,Optimization terminated successfully,1,-0.0056964864698566845,0.0,,
2007-09,2007-08,2007-08,0.04155933259353779,0.04155933492733578,1.0564748705804226,0.0,6.667994268949446e-07,2.0003982806848336e-09,3.333997133793519e-10,8.58033016462819e-22,0.4358037502927202,0.5641962497072798,6.128807260448709e-22,0.0,-0.014405896795849716,1.123456790123457,1.5617283950617284,1.0,1.0,0.0060968903997913725,0.0005161053155495444,0.07869729211729291,0.005838830535282348,0.07006596642338817,7.206734253161842e-09,0.00011548137039136321,0.0,-0.036410324627761004,Stage44_PF_NoGuards,core_ablation,,parameter_free_expected_log_growth,,,0.9,True,False,0,Optimization terminated successfully,1,-0.005838830535282348,0.0,,
2007-10,2007-09,2007-09,0.03572797694584497,0.0357279775752062,1.0942205804003844,0.0,1.7981749336759588e-07,5.394524801027877e-10,8.990874666992006e-11,1.4088492138403479e-21,0.41947759879268814,0.5805224012073118,7.578818482896459e-22,0.0,-0.014641885407259497,1.7317073170731707,1.8658536585365852,1.0,1.0,0.007759167975384736,0.0006781153040632503,0.09020744785636607,0.0074201037672181926,0.08904124520661831,6.556134917823681e-09,0.00011681983589835725,0.0,-0.03826330421288643,Stage44_PF_NoGuards,core_ablation,,parameter_free_expected_log_growth,,,0.9,True,False,0,Optimization terminated successfully,1,-0.0074201037672181926,0.0,,
2007-11,2007-10,2007-10,0.014802425326530724,0.016226870232614928,1.110417698832514,0.0,0.4069842588812017,0.001220952776643605,0.00020349212944060087,6.782743981905522e-18,1.1102230246251563e-16,0.9999999999999998,0.0,-0.0,-0.015473182093144617,1.6506024096385543,1.8253012048192772,1.0,1.0,0.016952849763063504,0.002235909205628662,0.1638014360973186,0.014410447254160668,0.172925367049928,0.001424447906088506,0.00038816936918088086,0.0,-0.08538965235155571,Stage44_PF_NoGuards,core_ablation,,parameter_free_expected_log_growth,,,0.9,True,False,0,Optimization terminated successfully,7,-0.01441044725416067,1.1102230246251565e-16,,
2007-12,2007-11,2007-11,0.08634531547774382,0.08634531547774382,1.2062970653502778,0.0,8.326672684688674e-17,2.4980018054066025e-19,2.7755575615628914e-20,6.164998058921432e-17,1.6440351785250723e-16,0.9999999999999998,5.551115123125783e-17,0.0,-0.013161772647467112,1.7976190476190477,1.8988095238095237,1.0,1.0,0.012334664423937313,0.0024903369539665127,0.17287001893792386,0.011089489446954056,0.13307387336344867,6.5e-09,0.0003687609007218369,0.0,-0.08538965235155571,Stage44_PF_NoGuards,core_ablation,,parameter_free_expected_log_growth,,,0.9,True,False,0,Optimization terminated successfully,1,-0.011089489446954056,0.0,,
2008-01,2007-12,2007-12,0.10895704479819776,0.10895704479819776,1.3377316287395826,0.0,0.0,0.0,0.0,5.640275597604228e-17,1.5171924885943302e-16,0.9999999999999998,5.752284548003469e-17,-0.0,-0.012396679856036034,1.988235294117647,1.9941176470588236,1.0,1.0,0.017257490893971154,0.0026162661958946333,0.17718689102395696,0.015949351296023838,0.19139221555228605,6.5e-09,0.00035120085783032085,0.0,-0.07654583906361545,Stage44_PF_NoGuards,core_ablation,,parameter_free_expected_log_growth,,,0.9,True,False,0,Optimization terminated successfully,1,-0.015949351296023838,0.0,,
