Strategy,Period,Start,End,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,TotalCost
Stage36_GVZ_OVXAssetRisk,full_2007_2026,2007-04,2026-07,232.0,0.10499388753644401,0.09471746379382788,1.1049112900976705,2.2018564576729873,-0.12407087222855073,0.8462412301175328,6.891137718102493,0.6293103448275862,0.03697755168008389,0.02653545189962293
Stage36_GVZ_OVXAssetRisk,common_2010_2026,2010-01,2026-07,199.0,0.09231779291550102,0.08719344303034167,1.059236031302839,2.0494518521151313,-0.12407087222855073,0.7440730548379041,4.324684030251604,0.6331658291457286,0.02794656838177176,0.018091388767247366
Stage36_GVZ_OVXAssetRisk,locked_2018_2026,2018-01,2026-07,103.0,0.12625620430876783,0.1017821983608951,1.223505157307841,2.537784595262482,-0.11931111403506678,1.0582099189155154,2.7747206697022753,0.6310679611650486,0.026155145410928424,0.008688700886939259
Stage47_B_GuardedStage36Objective_LW,full_2007_2026,2007-04,2026-07,232.0,0.10544252563085044,0.09517955190038305,1.1042913590049175,2.201804569291876,-0.12408910948932039,0.8497323098279245,6.945431620847646,0.6293103448275862,0.037152933984728,0.026683559112497472
Stage47_B_GuardedStage36Objective_LW,common_2010_2026,2010-01,2026-07,199.0,0.09285709407244735,0.08777195677705289,1.0584728994841508,2.0509361236965815,-0.12408910948932006,0.7483097787919838,4.3602291553531645,0.6331658291457286,0.028157662964705975,0.01824435524253764
Stage47_B_GuardedStage36Objective_LW,locked_2018_2026,2018-01,2026-07,103.0,0.12687086080701881,0.10256132520741583,1.2203242729403943,2.5316665154198383,-0.12001509009431299,1.0571242391879077,2.7877454187692674,0.6310679611650486,0.026670524174915687,0.008872856006759607
Stage47_C_GuardedExAnteSharpe_LW,full_2007_2026,2007-04,2026-07,232.0,0.10318100344450687,0.09291523749840265,1.1067658674087086,2.2009027922090683,-0.12137965105454052,0.8500683808865434,6.6758152946880704,0.6293103448275862,0.03844454347275155,0.027708926376390813
Stage47_C_GuardedExAnteSharpe_LW,common_2010_2026,2010-01,2026-07,199.0,0.09007784984992284,0.0851355763731143,1.05855390712597,2.032144879841304,-0.1213796510545404,0.7421165662228466,4.179943932728935,0.6331658291457286,0.029321282113296016,0.01901873348587161
Stage47_C_GuardedExAnteSharpe_LW,locked_2018_2026,2018-01,2026-07,103.0,0.12236415170910053,0.09943689856132595,1.214962637125584,2.4904232462836546,-0.11770822817889792,1.0395547839113366,2.6934877461181332,0.6310679611650486,0.027775850950281407,0.009273755055288983
Stage47_D_GuardedDownsidePenalty_LW,full_2007_2026,2007-04,2026-07,232.0,0.10552691908948719,0.09526189450013767,1.1042217703464379,2.2032667208631977,-0.12409326920470864,0.8503839069257355,6.9556900898598615,0.6293103448275862,0.03740000038690147,0.026863365603071614
Stage47_D_GuardedDownsidePenalty_LW,common_2010_2026,2010-01,2026-07,199.0,0.09295442336538584,0.08787722004212803,1.0583239962729354,2.0527429382994096,-0.12409326920470853,0.7490690184980542,4.366673262159272,0.6331658291457286,0.028445648656346308,0.01842413082981944
Stage47_D_GuardedDownsidePenalty_LW,locked_2018_2026,2018-01,2026-07,103.0,0.12704856635920114,0.10272382146402514,1.2200951928763868,2.5343565388719953,-0.1200150195411065,1.0586055549129463,2.79152110269945,0.6310679611650486,0.027196682505545567,0.009041697278044956
Stage47_E_GuardedDirectSortino_LW,full_2007_2026,2007-04,2026-07,232.0,0.10324785796297142,0.09318603035567631,1.1044629245829116,2.197183966096339,-0.12141585179680991,0.8503655530560974,6.683641231115529,0.6293103448275862,0.03828154996337278,0.02757919241792427
Stage47_E_GuardedDirectSortino_LW,common_2010_2026,2010-01,2026-07,199.0,0.09017073394396613,0.08544895495322752,1.055971845263523,2.0295588007837804,-0.12141585179681014,0.742660308432108,4.185854300163181,0.6331658291457286,0.02919127229367151,0.018931645328122488
Stage47_E_GuardedDirectSortino_LW,locked_2018_2026,2018-01,2026-07,103.0,0.12269979412053789,0.09989875078891526,1.212801510931699,2.488860133928584,-0.11732524644022269,1.045808961356442,2.700409346427941,0.6310679611650486,0.027548387322652013,0.009199566283810906
